DEPT,GR,ILD,DPHI,SitID,Pick,Formation
390.144,127.539,2.769,0.239,105883,0,5000
390.394,126.743,2.809,0.188,105883,0,5000
390.644,121.047,2.816,0.176,105883,0,5000
390.894,121.122,2.808,0.158,105883,0,5000
391.144,123.305,2.789,0.164,105883,0,5000
391.394,121.952,2.734,0.179,105883,0,5000
391.644,116.694,2.616,0.174,105883,0,5000
391.894,113.165,2.472,0.188,105883,0,5000
392.144,108.274,2.387,0.206,105883,0,5000
392.394,102.083,2.297,0.247,105883,0,5000
392.644,96.758,2.247,0.259,105883,0,5000
392.894,91.431,2.279,0.233,105883,0,5000
393.144,83.314,2.542,0.234,105883,0,5000
393.394,74.079,3.061,0.278,105883,0,5000
393.644,73.659,3.652,0.245,105883,0,5000
393.894,80.621,4.142,0.259,105883,0,5000
394.144,83.86,4.761,0.272,105883,0,5000
394.394,82.445,4.992,0.285,105883,0,5000
394.644,86.68,4.887,0.289,105883,0,5000
394.894,87.748,4.763,0.275,105883,0,5000
395.144,85.586,4.601,0.258,105883,0,5000
395.394,81.565,4.519,0.244,105883,0,5000
395.644,81.516,4.514,0.231,105883,0,5000
395.894,80.039,4.544,0.209,105883,0,5000
396.144,79.183,4.633,0.238,105883,0,5000
396.394,81.989,4.681,0.257,105883,0,5000
396.644,87.399,4.666,0.259,105883,0,5000
396.894,90.891,4.341,0.279,105883,0,5000
397.144,94.811,3.812,0.308,105883,0,5000
397.394,100.779,3.195,0.332,105883,0,5000
397.644,106.75,2.885,0.374,105883,0,5000
397.894,112.288,2.684,0.394,105883,0,5000
398.144,115.715,2.647,0.408,105883,0,5000
398.394,115.973,3.14,0.416,105883,0,5000
398.644,109.285,3.91,0.345,105883,0,5000
398.894,100.111,5.009,0.282,105883,0,5000
399.144,93.794,5.702,0.275,105883,0,5000
399.394,93.62,7.076,0.3,105883,0,5000
399.644,86.682,8.286,0.237,105883,0,5000
399.894,80.736,9.034,0.25,105883,0,5000
400.144,77.707,10.481,0.276,105883,0,5000
400.394,76.046,11.889,0.273,105883,0,5000
400.644,74.756,12.633,0.261,105883,0,5000
400.894,74.209,12.931,0.277,105883,0,5000
