DEPT,DT,NPHI,PHIF,RHOB,SW,VSH,
m,us/ft,m3/m3,m3/m3,g/cm3,,,
1991.5631363,136.56700134,0.4620000124,0.2419999987,2.1849999428,0.6432999969,0.6668999791
1991.7155363,135.60699463,0.4460000098,0.2583999932,2.1579999924,0.7628999949,0.6237000227
1991.8679363,138.4980011,0.4460000098,0.2831999958,2.1300001144,0.6316999793,0.538500011
1992.0203363,138.46740723,0.4639999866,0.2915000021,2.117000103,0.622699976,0.5116000175
1992.1727363,138.91000366,0.4850000143,0.2763999999,2.1319999695,0.6103000045,0.5713999867
1992.3251362,139.70899963,0.4620000124,0.2614000142,2.1549999714,0.622699976,0.614199996
1992.4775362,138.78390503,0.4600000083,0.2592999935,2.1689999104,0.6661000252,0.570200026
1992.6299362,135.97839355,0.4580000043,0.2551999986,2.1719999313,0.6657000184,0.5856999755
1992.7823362,133.97290039,0.4720000029,0.2533999979,2.1770000458,0.665199995,0.5867000222
1992.9347362,132.52000427,0.4629999995,0.2414000034,2.1949999332,0.673600018,0.6348000169
1993.0871362,131.78399658,0.4429999888,0.2254000008,2.2170000076,0.6901000142,0.6438999772
1993.2395362,133.35310364,0.4199999869,0.2212000042,2.2290000916,0.7192000151,0.6116999984
1993.3919362,135.07299805,0.4120000005,0.2328000069,2.2149999142,0.7012000084,0.5748000145
1993.5443362,135.11000061,0.451000005,0.2524000108,2.1879999638,0.6863999963,0.5364000201
1993.6967362,134.63800049,0.4880000055,0.2405000031,2.1970000267,0.6608999968,0.611199975
1993.8491362,133.95730591,0.5109999776,0.2242999971,2.2209999561,0.679700017,0.668900013
1994.0015362,132.70829773,0.4909999967,0.2020999938,2.2490000725,0.6848999858,0.7451000214
1994.1539362,133.03900146,0.4690000117,0.1981000006,2.260999918,0.7139999866,0.7311999798
1994.3063362,133.62600708,0.4580000043,0.2039999962,2.256000042,0.730700016,0.7024000287
1994.4587362,134.31399536,0.4589999914,0.2064999938,2.253000021,0.7366999984,0.6988999844
1994.6111362,134.7303009,0.4740000069,0.2085999995,2.243999958,0.7236999869,0.7300999761
1994.7635362,135.09979248,0.4869999886,0.2118999958,2.2330000401,0.7153000236,0.7462000251
1994.9159362,135.88900757,0.4799999893,0.2119999975,2.2309999466,0.7136999965,0.763899982
1995.0683362,135.27999878,0.4639999866,0.2161999941,2.2300000191,0.7224000096,0.7396000028
1995.2207362,133.56530762,0.4440000057,0.2216999978,2.2300000191,0.7414000034,0.6819999814
1995.3731361,132.56460571,0.4399999976,0.2229000032,2.2330000401,0.7545999885,0.6236000061
1995.5255361,131.19099426,0.4519999921,0.2153999954,2.246999979,0.7545999885,0.6075999737
1995.6779361,129.26499939,0.4359999895,0.1785999984,2.2980000973,0.9520000219,0.6782000065
1995.8303361,129.49650574,0.4129999876,0.1729000062,2.3090000153,0.9430999756,0.6754999757
1995.9827361,130.45509338,0.3919999897,0.184799999,2.2960000038,0.8062999845,0.6317999959
1996.1351361,131.72799683,0.3970000148,0.1994999945,2.2760000229,0.8539000154,0.5770999789
1996.2875361,131.91999817,0.4129999876,0.2079000026,2.2650001049,0.8388000131,0.5500000119
1996.4399361,132.14700317,0.4440000057,0.2049999982,2.2669999599,0.8306000233,0.5799999833
1996.5923361,131.42790222,0.4670000076,0.194600001,2.2750000954,0.8112999797,0.6649000049
1996.7447361,129.93170166,0.4569999874,0.1878000051,2.2820000648,0.8223000169,0.7100999951
1996.8971361,130.33700562,0.449000001,0.1915999949,2.2799999714,0.8370000124,0.6887999773
1997.0495361,130.03700256,0.4449999928,0.1984000057,2.2720000744,0.8343999982,0.6707000136
1997.2019361,129.85679626,0.4469999969,0.2004999965,2.2669999599,0.831099987,0.6754000187
1997.3543361,131.17019653,0.4410000145,0.1958999932,2.2709999084,0.8640999794,0.6895999908
1997.5067361,130.3999939,0.4309999943,0.2006999999,2.2669999599,0.8959000111,0.6644999981
1997.6591361,130.7480011,0.4300000072,0.2060000002,2.2590000629,0.8579999804,0.6243000031
1997.8115361,131.05740356,0.4359999895,0.2100999951,2.253000021,0.8647000194,0.600300014
1997.9639361,129.90800476,0.4320000112,0.2090000063,2.256000042,0.8647000194,0.6065000296
1998.1163361,132.1519928,0.4289999902,0.2179999948,2.242000103,0.8506000042,0.5907999873
1998.2687361,131.88000488,0.4079999924,0.2343000025,2.2200000286,0.8234999776,0.5684000254
1998.4211361,133.31300354,0.4099999964,0.2396000028,2.2100000381,0.8152999878,0.5444999933
1998.573536,131.77709961,0.4300000072,0.2380000055,2.2130000591,0.7605000138,0.5368000269
1998.725936,127.92189789,0.4589999914,0.2286999971,2.2260000706,0.6858000159,0.5697000027
1998.878336,119.67199707,0.4779999852,0.1953999996,2.2739999294,0.6438000202,0.6218000054
1999.030736,114.84200287,0.4569999874,0.1445000023,2.3529999256,0.5843999982,0.7135999799
1999.183136,119.27359772,0.4339999855,0.1230999976,2.4000000954,0.5555999875,0.5784999728
1999.335536,128.28340149,0.4099999964,0.1670999974,2.3299000263,0.3770999908,0.5235000253
1999.487936,135.77900696,0.3880000114,0.238499999,2.2000000477,0.2646000087,0.4830000103
1999.640336,136.75,0.398999989,0.2822999954,2.1259999275,0.2197999954,0.3759999871
1999.792736,137.23930359,0.3799999952,0.2930000126,2.1070001125,0.1930000037,0.3682999909
1999.945136,131.82350159,0.3860000074,0.296600014,2.1050000191,0.1838999987,0.3120000064
2000.097536,126.57299805,0.3759999871,0.2930999994,2.1099998951,0.1694000065,0.3355999887
2000.249936,128.05000305,0.3639999926,0.2824999988,2.128000021,0.1761000007,0.3519999981
