DEPT,GR,ILD,DPHI,NPHI,SitID,Pick,Formation
172.0,100.831,14.526,0.322,0.405,116481,0,3000
172.3,97.753,12.74,0.185,0.349,116481,0,3000
172.6,101.518,12.051,0.123,0.318,116481,0,3000
172.9,107.15,11.844,0.113,0.333,116481,0,3000
173.2,105.317,11.857,0.141,0.405,116481,0,3000
173.5,101.615,11.876,0.106,0.338,116481,0,3000
173.8,103.518,11.673,0.168,0.316,116481,0,3000
174.1,108.528,11.469,0.225,0.34,116481,0,3000
174.4,108.561,11.057,0.211,0.346,116481,0,3000
174.7,109.222,10.46,0.19,0.344,116481,0,3000
175.0,112.988,10.089,0.21,0.36,116481,0,3000
175.3,111.156,10.491,0.173,0.387,116481,0,3000
175.6,105.587,10.913,0.18,0.371,116481,0,3000
175.9,104.372,10.932,0.192,0.368,116481,0,3000
176.2,105.03,10.74,0.193,0.424,116481,0,3000
176.5,107.55,10.552,0.222,0.398,116481,0,3000
176.8,101.984,11.622,0.219,0.372,116481,0,3000
177.1,94.548,13.291,0.132,0.304,116481,0,3000
177.4,97.073,13.826,0.116,0.283,116481,0,3000
177.7,105.194,14.109,0.223,0.329,116481,0,3000
178.0,104.606,13.866,0.193,0.331,116481,0,3000
178.3,109.624,13.371,0.19,0.349,116481,0,3000
178.6,113.389,12.411,0.193,0.37,116481,0,3000
178.9,118.4,11.091,0.173,0.386,116481,0,3000
179.2,120.302,11.318,0.168,0.311,116481,0,3000
179.5,119.088,12.947,0.087,0.261,116481,0,3000
179.8,112.896,14.809,0.133,0.267,116481,0,3000
180.1,107.956,15.697,0.184,0.316,116481,0,3000
180.4,104.872,16.644,0.207,0.348,116481,0,3000
180.7,105.53,16.352,0.207,0.327,116481,0,3000
181.0,107.428,16.073,0.205,0.343,116481,0,3000
181.3,101.864,17.698,0.218,0.393,116481,0,3000
181.6,93.184,20.624,0.09,0.251,116481,0,3000
181.9,90.725,22.288,0.012,0.199,116481,0,3000
182.2,105.073,20.686,0.091,0.27,116481,0,3000
182.5,113.822,17.8,0.203,0.329,116481,0,3000
182.8,116.344,14.746,0.18,0.348,116481,0,3000
183.1,115.135,14.218,0.169,0.346,116481,0,3000
183.4,109.565,14.239,0.187,0.349,116481,0,3000
183.7,106.486,14.258,0.195,0.357,116481,0,3000
184.0,113.366,14.833,0.191,0.335,116481,0,3000
184.3,117.134,15.143,0.189,0.335,116481,0,3000
184.6,110.319,15.455,0.175,0.346,116481,0,3000
