Dept,SitID,Dept,LithID,W_Tar,SW,VSH,PHI,RW,Pick,Formation
415.08,113040,415,2,0.0,1.0,0.453,0.208,  0.8580,0,13000
415.33,113040,415,4,0.0,1.0,0.521,0.182,  0.8580,0,13000
415.58,113040,415,4,0.0,1.0,0.532,0.178,  0.8570,0,13000
415.83,113040,415,2,0.0,1.0,0.498,0.191,  0.8570,0,13000
416.08,113040,416,2,0.0,1.0,0.426,0.218,  0.8570,0,13000
416.33,113040,416,2,0.0,1.0,0.396,0.229,  0.8570,0,13000
416.58,113040,416,2,0.0,1.0,0.398,0.229,  0.8570,0,13000
416.83,113040,416,2,0.0,1.0,0.439,0.213,  0.8570,0,13000
417.08,113040,417,2,0.0,1.0,0.488,0.194,  0.8560,0,13000
417.33,113040,417,4,0.0,1.0,0.529,0.176,  0.8560,0,13000
417.58,113040,417,4,0.0,1.0,0.617,0.146,  0.8560,0,13000
417.83,113040,417,5,0.0,1.0,0.765,0.082,  0.8560,0,13000
418.08,113040,418,5,0.0,1.0,0.702,0.113,  0.8560,0,13000
418.33,113040,418,2,0.0,1.0,0.472,0.201,  0.8550,0,13000
418.58,113040,418,2,0.0,1.0,0.347,0.248,  0.8550,0,13000
418.83,113040,418,2,0.0,1.0,0.359,0.244,  0.8550,0,13000
419.08,113040,419,1,0.0,1.0,0.283,0.273,  0.8550,0,13000
419.33,113040,419,1,0.0,1.0,0.282,0.273,  0.8550,0,13000
419.58,113040,419,2,0.0,1.0,0.418,0.221,  0.8540,0,13000
419.83,113040,419,2,0.0,1.0,0.5,0.19,  0.8540,0,13000
420.08,113040,420,2,0.0,1.0,0.466,0.197,  0.8540,0,13000
420.33,113040,420,2,0.0,1.0,0.436,0.175,  0.8540,0,13000
420.58,113040,420,2,0.0,1.0,0.374,0.15,  0.8540,0,13000
420.83,113040,420,2,0.0,1.0,0.353,0.077,  0.8530,0,13000
421.08,113040,421,2,0.0,1.0,0.398,0.031,  0.8530,0,13000
421.33,113040,421,2,0.0,1.0,0.486,0.071,  0.8530,0,13000
421.58,113040,421,4,0.0,1.0,0.555,0.133,  0.8530,0,13000
421.83,113040,421,4,0.0,1.0,0.551,0.141,  0.8530,0,13000
422.08,113040,422,4,0.0,1.0,0.547,0.143,  0.8530,0,13000
422.33,113040,422,4,0.0,1.0,0.567,0.138,  0.8520,0,13000
422.58,113040,422,4,0.0,1.0,0.613,0.117,  0.8520,0,13000
422.83,113040,422,4,0.0,1.0,0.659,0.094,  0.8520,0,13000
423.08,113040,423,4,0.0,1.0,0.688,0.079,  0.8520,0,13000
423.33,113040,423,5,0.0,1.0,0.715,0.064,  0.8520,0,13000
423.58,113040,423,4,0.0,1.0,0.651,0.092,  0.8510,0,13000
423.83,113040,423,4,0.0,1.0,0.627,0.105,  0.8510,0,13000
424.08,113040,424,4,0.0,1.0,0.697,0.07,  0.8510,0,13000
424.33,113040,424,5,0.0,1.0,0.771,0.035,  0.8510,0,13000
424.58,113040,424,5,0.0,1.0,0.798,0.036,  0.8510,0,13000
424.83,113040,424,5,0.0,1.0,0.82,0.03,  0.8500,0,13000
425.08,113040,425,5,0.0,1.0,0.825,0.026,  0.8500,0,13000
425.33,113040,425,5,0.0,1.0,0.827,0.026,  0.8500,0,13000
425.58,113040,425,5,0.0,1.0,0.842,0.022,  0.8500,0,13000
425.83,113040,425,5,0.0,1.0,0.82,0.025,  0.8500,0,13000
426.08,113040,426,5,0.0,1.0,0.723,0.056,  0.8490,0,13000
426.33,113040,426,5,0.0,1.0,0.736,0.047,  0.8490,0,13000
426.58,113040,426,5,0.0,1.0,0.759,0.055,  0.8490,0,13000
426.83,113040,426,5,0.0,1.0,0.753,0.082,  0.8490,0,13000
427.08,113040,427,5,0.0,1.0,0.75,0.095,  0.8490,0,13000
427.33,113040,427,5,0.0,1.0,0.706,0.112,  0.8490,0,13000
427.58,113040,427,4,0.0,1.0,0.632,0.14,  0.8480,0,13000
427.83,113040,427,4,0.0,1.0,0.6,0.152,  0.8480,0,13000
428.08,113040,428,4,0.0,1.0,0.54,0.175,  0.8480,0,13000
428.33,113040,428,2,0.0,1.0,0.473,0.2,  0.8480,0,13000
428.58,113040,428,2,0.0,1.0,0.475,0.199,  0.8480,0,13000
428.83,113040,428,2,0.0,1.0,0.486,0.195,  0.8470,0,13000
429.08,113040,429,2,0.0,1.0,0.494,0.175,  0.8470,0,13000
429.33,113040,429,4,0.0,1.0,0.518,0.156,  0.8470,0,13000
429.58,113040,429,4,0.0,1.0,0.583,0.127,  0.8470,0,13000
429.83,113040,429,4,0.0,1.0,0.62,0.11,  0.8470,0,13000
430.08,113040,430,4,0.0,1.0,0.561,0.125,  0.8460,0,13000
430.33,113040,430,4,0.0,1.0,0.529,0.146,  0.8460,0,13000
430.58,113040,430,4,0.0,1.0,0.519,0.147,  0.8460,0,13000
430.83,113040,430,4,0.0,1.0,0.554,0.113,  0.8460,0,13000
431.08,113040,431,4,0.0,1.0,0.625,0.041,  0.8460,0,13000
431.33,113040,431,4,0.0,1.0,0.679,0.0,  0.8460,0,13000
431.58,113040,431,4,0.0,1.0,0.698,0.057,  0.8450,0,13000
431.83,113040,431,5,0.0,1.0,0.708,0.075,  0.8450,0,13000
432.08,113040,432,5,0.0,1.0,0.72,0.059,  0.8450,0,13000
432.33,113040,432,5,0.0,1.0,0.723,0.06,  0.8450,0,13000
432.58,113040,432,5,0.0,1.0,0.706,0.082,  0.8450,0,13000
432.83,113040,432,4,0.0,1.0,0.675,0.098,  0.8440,0,13000
433.08,113040,433,4,0.0,1.0,0.669,0.098,  0.8440,0,13000
433.33,113040,433,5,0.0,1.0,0.748,0.071,  0.8440,0,13000
433.58,113040,433,5,0.0,1.0,0.822,0.058,  0.8440,0,13000
433.83,113040,433,5,0.0,1.0,0.779,0.071,  0.8440,0,13000
434.08,113040,434,4,0.0,1.0,0.68,0.106,  0.8430,0,13000
434.33,113040,434,4,0.0,1.0,0.677,0.123,  0.8430,0,13000
434.58,113040,434,5,0.0,1.0,0.719,0.077,  0.8430,0,13000
434.83,113040,434,5,0.0,1.0,0.808,0.03,  0.8430,0,13000
435.08,113040,435,5,0.0,1.0,0.835,0.042,  0.8430,0,13000
435.33,113040,435,5,0.0,1.0,0.792,0.056,  0.8430,0,13000
435.58,113040,435,5,0.0,1.0,0.763,0.042,  0.8420,0,13000
435.83,113040,435,5,0.0,1.0,0.713,0.064,  0.8420,0,13000
436.08,113040,436,4,0.0,1.0,0.676,0.08,  0.8420,0,13000
436.33,113040,436,4,0.0,1.0,0.662,0.077,  0.8420,0,13000
436.58,113040,436,4,0.0,1.0,0.683,0.076,  0.8420,0,13000
436.83,113040,436,5,0.0,1.0,0.706,0.073,  0.8410,0,13000
437.08,113040,437,4,0.0,1.0,0.683,0.055,  0.8410,0,13000
437.33,113040,437,4,0.0,1.0,0.683,0.054,  0.8410,0,13000
437.58,113040,437,4,0.0,1.0,0.669,0.053,  0.8410,0,13000
437.83,113040,437,4,0.0,1.0,0.655,0.066,  0.8410,0,13000
438.08,113040,438,4,0.0,1.0,0.688,0.068,  0.8410,0,13000
438.33,113040,438,5,0.0,1.0,0.704,0.049,  0.8400,0,13000
438.58,113040,438,4,0.0,1.0,0.572,0.076,  0.8400,0,13000
438.83,113040,438,2,0.0,1.0,0.447,0.065,  0.8400,0,13000
439.08,113040,439,4,0.0,1.0,0.551,0.0,  0.8400,0,13000
439.33,113040,439,5,0.0,1.0,0.71,0.0,  0.8400,1,13000
439.58,113040,439,5,0.0,1.0,0.713,0.04,  0.8390,0,13000
439.83,113040,439,4,0.0,1.0,0.662,0.075,  0.8390,0,13000
440.08,113040,440,4,0.0,1.0,0.609,0.109,  0.8390,0,13000
440.33,113040,440,1,0.071,0.505,0.206,0.297,  0.8390,0,13000
440.58,113040,440,1,0.124,0.345,0.0,0.38,  0.8390,0,13000
440.83,113040,440,1,0.115,0.377,0.022,0.372,  0.8380,0,13000
441.08,113040,441,1,0.082,0.485,0.141,0.326,  0.8380,0,13000
441.33,113040,441,1,0.046,0.642,0.295,0.268,  0.8380,0,13000
441.58,113040,441,2,0.026,0.765,0.388,0.233,  0.8380,0,13000
441.83,113040,441,2,0.021,0.793,0.438,0.213,  0.8380,0,13000
442.08,113040,442,2,0.037,0.661,0.393,0.231,  0.8380,0,13000
442.33,113040,442,1,0.066,0.501,0.273,0.276,  0.8370,0,13000
442.58,113040,442,1,0.081,0.438,0.212,0.299,  0.8370,0,13000
442.83,113040,442,1,0.074,0.461,0.216,0.287,  0.8370,0,13000
443.08,113040,443,1,0.056,0.54,0.287,0.256,  0.8370,0,13000
443.33,113040,443,2,0.04,0.629,0.363,0.232,  0.8370,0,13000
443.58,113040,443,2,0.035,0.68,0.387,0.23,  0.8360,0,13000
443.83,113040,443,2,0.033,0.71,0.371,0.239,  0.8360,0,13000
444.08,113040,444,2,0.025,0.773,0.361,0.234,  0.8360,0,13000
444.33,113040,444,2,0.0,1.0,0.39,0.198,  0.8360,0,13000
444.58,113040,444,2,0.0,1.0,0.486,0.165,  0.8360,0,13000
444.83,113040,444,4,0.0,1.0,0.594,0.106,  0.8360,0,13000
445.08,113040,445,4,0.0,1.0,0.68,0.019,  0.8350,0,13000
445.33,113040,445,5,0.0,1.0,0.785,0.0,  0.8350,0,13000
445.58,113040,445,5,0.0,1.0,0.926,0.002,  0.8350,0,13000
445.83,113040,445,5,0.0,1.0,1.0,0.0,  0.8350,0,13000
446.08,113040,446,5,0.0,1.0,1.0,0.0,  0.8350,0,13000
446.33,113040,446,5,0.0,1.0,1.0,0.0,  0.8340,0,13000
446.58,113040,446,5,0.0,1.0,1.0,0.0,  0.8340,0,13000
446.83,113040,446,5,0.0,1.0,0.99,0.0,  0.8340,0,13000
447.08,113040,447,5,0.0,1.0,1.0,0.0,  0.8340,0,13000
447.33,113040,447,5,0.0,1.0,0.997,0.0,  0.8340,0,13000
447.58,113040,447,5,0.0,1.0,0.856,0.011,  0.8340,0,13000
447.83,113040,447,4,0.0,1.0,0.575,0.118,  0.8330,0,13000
448.08,113040,448,2,0.0,1.0,0.316,0.229,  0.8330,0,13000
448.33,113040,448,1,0.036,0.736,0.165,0.285,  0.8330,0,13000
448.58,113040,448,1,0.049,0.659,0.056,0.303,  0.8330,0,13000
448.83,113040,448,1,0.055,0.626,0.0,0.311,  0.8330,0,13000
