Dept,SitID,Dept,LithID,W_Tar,SW,VSH,PHI,RW,Pick,Formation
21.0,171529,21,2,-1.072,0.282,0.361,0.217,  0.7960,0,14000
21.25,171529,21,2,0.094,0.22,0.331,0.254,  0.7950,0,14000
21.5,171529,21,2,0.077,0.316,0.369,0.24,  0.7950,0,14000
21.75,171529,21,2,0.066,0.373,0.406,0.226,  0.7940,0,14000
22.0,171529,22,2,0.074,0.382,0.337,0.252,  0.7930,0,14000
22.25,171529,22,2,0.079,0.309,0.36,0.243,  0.7920,0,14000
22.5,171529,22,2,0.068,0.291,0.459,0.206,  0.7920,0,14000
22.75,171529,22,4,0.046,0.281,0.535,0.141,  0.7910,0,14000
23.0,171529,23,2,0.022,0.468,0.382,0.099,  0.7900,0,14000
23.25,171529,23,2,0.037,0.441,0.321,0.153,  0.7900,0,14000
23.5,171529,23,2,0.078,0.228,0.427,0.218,  0.7890,0,14000
23.75,171529,23,2,0.085,0.153,0.435,0.215,  0.7880,0,14000
24.0,171529,24,2,0.066,0.253,0.495,0.192,  0.7880,0,14000
24.25,171529,24,2,0.082,0.25,0.388,0.232,  0.7870,0,14000
24.5,171529,24,2,0.091,0.223,0.35,0.247,  0.7860,0,14000
24.75,171529,24,4,0.067,0.222,0.51,0.186,  0.7860,0,14000
25.0,171529,25,5,0.02,0.232,0.844,0.059,  0.7850,0,14000
25.25,171529,25,5,0.034,0.277,0.722,0.106,  0.7840,0,14000
25.5,171529,25,4,0.053,0.345,0.539,0.175,  0.7840,0,14000
25.75,171529,25,4,0.065,0.245,0.509,0.187,  0.7830,0,14000
26.0,171529,26,4,0.06,0.203,0.569,0.164,  0.7820,0,14000
26.25,171529,26,2,0.077,0.209,0.447,0.21,  0.7820,0,14000
26.5,171529,26,2,0.073,0.214,0.47,0.202,  0.7810,0,14000
26.75,171529,26,2,0.088,0.197,0.386,0.233,  0.7800,0,14000
27.0,171529,27,2,0.092,0.188,0.325,0.241,  0.7800,0,14000
27.25,171529,27,2,0.088,0.196,0.332,0.234,  0.7790,0,14000
27.5,171529,27,1,0.116,0.232,0.179,0.312,  0.7780,0,14000
27.75,171529,27,1,0.138,0.195,0.08,0.35,  0.7780,0,14000
28.0,171529,28,1,0.135,0.152,0.141,0.327,  0.7770,0,14000
28.25,171529,28,1,0.117,0.146,0.247,0.286,  0.7760,0,14000
28.5,171529,28,2,0.105,0.156,0.308,0.263,  0.7760,0,14000
28.75,171529,28,1,0.117,0.182,0.216,0.298,  0.7750,0,14000
29.0,171529,29,1,0.11,0.182,0.261,0.281,  0.7740,0,14000
29.25,171529,29,2,0.088,0.181,0.398,0.229,  0.7740,0,14000
29.5,171529,29,2,0.074,0.201,0.451,0.201,  0.7730,0,14000
29.75,171529,29,4,0.043,0.225,0.588,0.125,  0.7720,0,14000
30.0,171529,30,4,0.042,0.215,0.672,0.119,  0.7720,0,14000
30.25,171529,30,2,0.064,0.242,0.496,0.183,  0.7710,0,14000
30.5,171529,30,2,0.058,0.319,0.45,0.188,  0.7710,0,14000
30.75,171529,30,4,0.065,0.219,0.526,0.18,  0.7700,0,14000
31.0,171529,31,2,0.084,0.216,0.396,0.229,  0.7690,0,14000
31.25,171529,31,1,0.106,0.263,0.213,0.299,  0.7690,0,14000
31.5,171529,31,1,0.107,0.208,0.259,0.282,  0.7680,0,14000
31.75,171529,31,1,0.109,0.134,0.266,0.267,  0.7670,0,14000
32.0,171529,32,1,0.115,0.217,0.152,0.306,  0.7670,0,14000
32.25,171529,32,1,0.101,0.176,0.235,0.262,  0.7660,0,14000
32.5,171529,32,2,0.087,0.151,0.372,0.221,  0.7650,0,14000
32.75,171529,32,4,0.069,0.202,0.509,0.187,  0.7650,0,14000
33.0,171529,33,1,0.101,0.25,0.257,0.282,  0.7640,0,14000
33.25,171529,33,1,0.113,0.183,0.242,0.288,  0.7640,0,14000
33.5,171529,33,1,0.11,0.136,0.295,0.268,  0.7630,0,14000
33.75,171529,33,1,0.118,0.157,0.233,0.291,  0.7620,0,14000
34.0,171529,34,1,0.121,0.169,0.203,0.303,  0.7620,0,14000
34.25,171529,34,2,0.097,0.178,0.332,0.25,  0.7610,0,14000
34.5,171529,34,2,0.073,0.164,0.461,0.189,  0.7600,0,14000
34.75,171529,34,4,0.062,0.205,0.552,0.17,  0.7600,0,14000
35.0,171529,35,4,0.062,0.234,0.537,0.176,  0.7590,0,14000
35.25,171529,35,4,0.065,0.223,0.521,0.182,  0.7580,0,14000
35.5,171529,35,2,0.076,0.199,0.46,0.205,  0.7580,0,14000
35.75,171529,35,2,0.076,0.211,0.452,0.208,  0.7570,0,14000
36.0,171529,36,1,0.106,0.201,0.269,0.278,  0.7570,0,14000
36.25,171529,36,1,0.103,0.211,0.276,0.275,  0.7560,0,14000
36.5,171529,36,2,0.095,0.202,0.337,0.252,  0.7550,0,14000
36.75,171529,36,2,0.081,0.199,0.428,0.217,  0.7550,0,14000
37.0,171529,37,2,0.079,0.213,0.436,0.215,  0.7540,0,14000
37.25,171529,37,1,0.112,0.208,0.222,0.296,  0.7530,0,14000
37.5,171529,37,1,0.124,0.199,0.161,0.319,  0.7530,0,14000
37.75,171529,37,1,0.104,0.159,0.298,0.262,  0.7520,0,14000
38.0,171529,38,2,0.092,0.128,0.358,0.227,  0.7520,0,14000
38.25,171529,38,2,0.072,0.231,0.373,0.204,  0.7510,0,14000
38.5,171529,38,2,0.067,0.274,0.396,0.2,  0.7500,0,14000
38.75,171529,38,2,0.093,0.22,0.335,0.253,  0.7500,0,14000
39.0,171529,39,1,0.108,0.227,0.228,0.292,  0.7490,0,14000
39.25,171529,39,2,0.082,0.229,0.334,0.229,  0.7490,0,14000
39.5,171529,39,2,0.061,0.237,0.471,0.175,  0.7480,0,14000
39.75,171529,39,2,0.056,0.256,0.493,0.167,  0.7470,0,14000
40.0,171529,40,4,0.045,0.305,0.531,0.144,  0.7470,0,14000
40.25,171529,40,4,0.036,0.311,0.615,0.118,  0.7460,0,14000
40.5,171529,40,4,0.046,0.28,0.592,0.142,  0.7460,0,14000
40.75,171529,40,4,0.06,0.269,0.53,0.178,  0.7450,0,14000
41.0,171529,41,2,0.077,0.255,0.416,0.222,  0.7440,0,14000
41.25,171529,41,2,0.069,0.262,0.469,0.202,  0.7440,0,14000
41.5,171529,41,2,0.09,0.212,0.362,0.242,  0.7430,0,14000
41.75,171529,41,1,0.113,0.175,0.248,0.286,  0.7430,0,14000
42.0,171529,42,1,0.13,0.174,0.148,0.324,  0.7420,0,14000
42.25,171529,42,1,0.147,0.202,0.019,0.373,  0.7410,0,14000
42.5,171529,42,1,0.147,0.22,0.0,0.38,  0.7410,0,14000
42.75,171529,42,1,0.159,0.158,0.0,0.38,  0.7400,0,14000
43.0,171529,43,1,0.101,0.118,0.201,0.249,  0.7400,0,14000
43.25,171529,43,5,0.024,0.072,0.779,0.059,  0.7390,0,14000
43.5,171529,43,5,0.02,0.208,0.71,0.06,  0.7380,0,14000
43.75,171529,43,5,0.01,0.533,0.733,0.048,  0.7380,0,14000
44.0,171529,44,5,0.0,1.0,0.961,0.0,  0.7370,0,14000
44.25,171529,44,5,0.0,1.0,0.945,0.0,  0.7370,0,14000
44.5,171529,44,5,0.008,0.671,0.778,0.056,  0.7360,0,14000
44.75,171529,44,5,0.006,0.659,0.853,0.042,  0.7350,0,14000
45.0,171529,45,5,0.01,0.477,0.876,0.043,  0.7350,0,14000
45.25,171529,45,4,0.029,0.418,0.693,0.112,  0.7340,0,14000
45.5,171529,45,4,0.04,0.366,0.624,0.138,  0.7340,0,14000
45.75,171529,45,4,0.051,0.307,0.578,0.16,  0.7330,0,14000
46.0,171529,46,4,0.048,0.336,0.532,0.159,  0.7320,0,14000
46.25,171529,46,2,0.03,0.459,0.464,0.126,  0.7320,0,14000
46.5,171529,46,4,0.029,0.441,0.539,0.119,  0.7310,0,14000
46.75,171529,46,5,0.012,0.402,0.874,0.044,  0.7310,0,14000
47.0,171529,47,5,0.018,0.329,0.79,0.06,  0.7300,0,14000
47.25,171529,47,4,0.032,0.39,0.676,0.118,  0.7300,0,14000
47.5,171529,47,4,0.028,0.522,0.592,0.131,  0.7290,0,14000
47.75,171529,47,4,0.031,0.519,0.508,0.143,  0.7280,0,14000
48.0,171529,48,2,0.067,0.327,0.393,0.215,  0.7280,0,14000
48.25,171529,48,2,0.076,0.303,0.385,0.234,  0.7270,0,14000
48.5,171529,48,2,0.069,0.317,0.385,0.217,  0.7270,0,14000
48.75,171529,48,2,0.074,0.277,0.385,0.221,  0.7260,0,14000
49.0,171529,49,2,0.08,0.245,0.392,0.227,  0.7260,0,14000
49.25,171529,49,2,0.073,0.245,0.453,0.208,  0.7250,0,14000
49.5,171529,49,2,0.066,0.248,0.498,0.191,  0.7240,0,14000
49.75,171529,49,2,0.069,0.247,0.483,0.197,  0.7240,0,14000
50.0,171529,50,4,0.053,0.279,0.574,0.162,  0.7230,0,14000
50.25,171529,50,4,0.049,0.299,0.596,0.153,  0.7230,0,14000
50.5,171529,50,4,0.052,0.304,0.573,0.162,  0.7220,0,14000
50.75,171529,50,4,0.05,0.342,0.565,0.165,  0.7220,0,14000
51.0,171529,51,4,0.048,0.329,0.588,0.157,  0.7210,0,14000
51.25,171529,51,2,0.073,0.251,0.451,0.209,  0.7200,0,14000
51.5,171529,51,2,0.079,0.262,0.397,0.229,  0.7200,0,14000
51.75,171529,51,2,0.075,0.284,0.412,0.223,  0.7190,0,14000
52.0,171529,52,1,0.111,0.223,0.16,0.299,  0.7190,0,14000
52.25,171529,52,1,0.108,0.187,0.267,0.279,  0.7180,0,14000
52.5,171529,52,2,0.069,0.228,0.487,0.192,  0.7180,0,14000
52.75,171529,52,2,0.085,0.241,0.373,0.238,  0.7170,0,14000
53.0,171529,53,2,0.102,0.191,0.304,0.264,  0.7160,0,14000
53.25,171529,53,1,0.096,0.154,0.258,0.245,  0.7160,0,14000
53.5,171529,53,1,0.121,0.139,0.113,0.298,  0.7150,0,14000
53.75,171529,53,2,0.079,0.194,0.318,0.214,  0.7150,0,14000
54.0,171529,54,2,0.048,0.256,0.478,0.144,  0.7140,0,14000
54.25,171529,54,2,0.063,0.196,0.44,0.173,  0.7140,0,14000
54.5,171529,54,1,0.099,0.215,0.241,0.267,  0.7130,0,14000
54.75,171529,54,1,0.11,0.242,0.157,0.302,  0.7130,0,14000
55.0,171529,55,1,0.136,0.184,0.043,0.344,  0.7120,0,14000
55.25,171529,55,1,0.121,0.204,0.172,0.315,  0.7110,0,14000
55.5,171529,55,1,0.128,0.185,0.149,0.323,  0.7110,0,14000
55.75,171529,55,1,0.075,0.221,0.286,0.212,  0.7100,0,14000
56.0,171529,56,4,0.036,0.244,0.686,0.109,  0.5910,0,14000
56.25,171529,56,5,0.034,0.243,0.734,0.101,  0.5910,0,14000
56.5,171529,56,4,0.041,0.309,0.649,0.134,  0.5910,0,14000
56.75,171529,56,4,0.051,0.417,0.502,0.189,  0.5900,0,14000
57.0,171529,57,2,0.053,0.317,0.459,0.173,  0.5900,0,14000
57.25,171529,57,2,0.078,0.192,0.404,0.209,  0.5890,0,14000
57.5,171529,57,1,0.097,0.271,0.264,0.28,  0.5890,0,14000
57.75,171529,57,1,0.118,0.235,0.118,0.321,  0.5880,0,14000
58.0,171529,58,1,0.102,0.12,0.197,0.252,  0.5880,0,14000
58.25,171529,58,1,0.096,0.153,0.245,0.245,  0.5870,0,14000
58.5,171529,58,1,0.134,0.176,0.117,0.335,  0.5870,0,14000
58.75,171529,58,1,0.126,0.212,0.135,0.329,  0.5860,0,14000
59.0,171529,59,1,0.147,0.114,0.104,0.34,  0.5860,0,14000
59.25,171529,59,1,0.117,0.154,0.122,0.293,  0.5860,0,14000
59.5,171529,59,1,0.091,0.236,0.165,0.257,  0.5850,0,14000
59.75,171529,59,1,0.111,0.113,0.134,0.27,  0.5850,0,14000
60.0,171529,60,1,0.121,0.077,0.122,0.28,  0.5840,0,14000
60.25,171529,60,1,0.125,0.093,0.115,0.294,  0.5840,0,14000
60.5,171529,60,1,0.097,0.23,0.073,0.274,  0.5830,0,14000
60.75,171529,60,1,0.105,0.173,0.048,0.276,  0.5830,0,14000
61.0,171529,61,1,0.098,0.234,0.109,0.275,  0.5820,0,14000
61.25,171529,61,1,0.12,0.056,0.139,0.274,  0.5820,0,14000
61.5,171529,61,1,0.135,0.059,0.084,0.303,  0.5820,0,14000
61.75,171529,61,1,0.126,0.073,0.09,0.291,  0.5810,0,14000
62.0,171529,62,1,0.106,0.157,0.12,0.272,  0.5810,0,14000
62.25,171529,62,1,0.105,0.115,0.162,0.258,  0.5800,0,14000
62.5,171529,62,1,0.123,0.077,0.071,0.286,  0.5800,0,14000
62.75,171529,62,1,0.125,0.069,0.107,0.286,  0.5790,0,14000
63.0,171529,63,1,0.125,0.066,0.174,0.284,  0.5790,0,14000
63.25,171529,63,1,0.125,0.104,0.131,0.296,  0.5780,0,14000
63.5,171529,63,1,0.12,0.064,0.149,0.276,  0.5780,0,14000
63.75,171529,63,1,0.126,0.098,0.21,0.293,  0.5780,0,14000
64.0,171529,64,1,0.125,0.134,0.21,0.3,  0.5770,0,14000
64.25,171529,64,1,0.152,0.068,0.118,0.335,  0.5770,0,14000
64.5,171529,64,1,0.136,0.208,0.075,0.351,  0.5760,0,14000
64.75,171529,64,1,0.148,0.103,0.069,0.339,  0.5760,0,14000
65.0,171529,65,1,0.148,0.102,0.038,0.34,  0.5750,0,14000
65.25,171529,65,1,0.139,0.089,0.056,0.32,  0.5750,0,14000
65.5,171529,65,1,0.114,0.079,0.123,0.268,  0.5750,0,14000
65.75,171529,65,1,0.114,0.059,0.153,0.263,  0.5740,0,14000
66.0,171529,66,1,0.13,0.068,0.123,0.295,  0.5740,0,14000
66.25,171529,66,1,0.128,0.075,0.141,0.292,  0.5730,0,14000
66.5,171529,66,1,0.121,0.095,0.153,0.284,  0.5730,0,14000
66.75,171529,66,1,0.147,0.095,0.079,0.335,  0.5720,0,14000
67.0,171529,67,1,0.109,0.078,0.171,0.256,  0.5720,0,14000
67.25,171529,67,2,0.075,0.096,0.323,0.185,  0.5720,0,14000
67.5,171529,67,2,0.059,0.158,0.462,0.158,  0.5710,0,14000
67.75,171529,67,2,0.093,0.066,0.395,0.216,  0.5710,0,14000
68.0,171529,68,1,0.121,0.088,0.267,0.279,  0.5700,0,14000
68.25,171529,68,1,0.105,0.204,0.188,0.279,  0.5700,0,14000
68.5,171529,68,1,0.113,0.25,0.096,0.314,  0.5690,0,14000
68.75,171529,68,1,0.112,0.287,0.09,0.325,  0.5690,0,14000
69.0,171529,69,1,0.128,0.115,0.09,0.304,  0.5690,0,14000
69.25,171529,69,1,0.121,0.116,0.077,0.293,  0.5680,0,14000
69.5,171529,69,1,0.127,0.124,0.04,0.307,  0.5680,0,14000
69.75,171529,69,1,0.143,0.095,0.028,0.33,  0.5670,0,14000
70.0,171529,70,1,0.151,0.075,0.016,0.339,  0.5670,0,14000
70.25,171529,70,1,0.156,0.063,0.028,0.344,  0.5660,0,14000
70.5,171529,70,1,0.149,0.063,0.088,0.33,  0.5660,0,14000
70.75,171529,70,1,0.159,0.076,0.076,0.351,  0.5660,0,14000
71.0,171529,71,1,0.155,0.092,0.082,0.349,  0.5650,0,14000
71.25,171529,71,1,0.136,0.145,0.106,0.329,  0.5650,0,14000
71.5,171529,71,1,0.14,0.097,0.075,0.323,  0.5640,0,14000
71.75,171529,71,1,0.133,0.182,0.038,0.338,  0.5640,0,14000
72.0,171529,72,1,0.145,0.105,0.008,0.337,  0.5640,0,14000
72.25,171529,72,1,0.148,0.113,0.032,0.344,  0.5630,0,14000
72.5,171529,72,1,0.148,0.073,0.026,0.332,  0.5630,0,14000
72.75,171529,72,1,0.152,0.064,0.031,0.337,  0.5620,0,14000
73.0,171529,73,1,0.154,0.06,0.025,0.339,  0.5620,0,14000
73.25,171529,73,1,0.15,0.074,0.025,0.336,  0.5620,0,14000
73.5,171529,73,1,0.144,0.098,0.061,0.331,  0.5610,0,14000
73.75,171529,73,1,0.164,0.079,0.049,0.361,  0.5610,0,14000
74.0,171529,74,1,0.173,0.062,0.018,0.373,  0.5600,0,14000
74.25,171529,74,1,0.168,0.071,0.036,0.366,  0.5600,0,14000
74.5,171529,74,1,0.158,0.098,0.048,0.356,  0.5590,0,14000
74.75,171529,74,1,0.147,0.058,0.048,0.327,  0.5590,0,14000
75.0,171529,75,1,0.128,0.067,0.072,0.293,  0.5590,0,14000
