Dept,SitID,Dept,LithID,W_Tar,SW,VSH,PHI,RW,Pick,Formation
145.0,179253,145,5,0.0,1.0,0.765,0.089,  0.4140,0,14000
145.25,179253,145,5,0.0,1.0,0.765,0.057,  0.4130,0,14000
145.5,179253,145,4,0.0,1.0,0.678,0.0,  0.4130,0,14000
145.75,179253,145,5,0.0,1.0,0.764,0.0,  0.4130,0,14000
146.0,179253,146,5,0.0,1.0,0.868,0.0,  0.4130,0,14000
146.25,179253,146,5,0.0,1.0,0.929,0.027,  0.4130,0,14000
146.5,179253,146,5,0.0,1.0,0.903,0.037,  0.4120,0,14000
146.75,179253,146,5,0.0,1.0,0.859,0.054,  0.4120,0,14000
147.0,179253,147,5,0.0,1.0,0.963,0.014,  0.4120,0,14000
147.25,179253,147,5,0.0,1.0,0.946,0.021,  0.4120,0,14000
147.5,179253,147,5,0.0,1.0,0.781,0.083,  0.4120,0,14000
147.75,179253,147,5,0.0,1.0,0.763,0.075,  0.4110,0,14000
148.0,179253,148,5,0.0,1.0,0.815,0.042,  0.4110,0,14000
148.25,179253,148,5,0.0,1.0,0.867,0.042,  0.4110,0,14000
148.5,179253,148,5,0.0,1.0,0.919,0.031,  0.4110,0,14000
148.75,179253,148,5,0.0,1.0,0.988,0.005,  0.4110,0,14000
149.0,179253,149,5,0.0,1.0,1.0,0.0,  0.4100,0,14000
149.25,179253,149,5,0.0,1.0,0.918,0.031,  0.4100,0,14000
149.5,179253,149,5,0.0,1.0,0.788,0.071,  0.4100,0,14000
149.75,179253,149,5,0.0,1.0,0.71,0.089,  0.4100,0,14000
150.0,179253,150,5,0.0,1.0,0.718,0.06,  0.4100,0,14000
150.25,179253,150,5,0.0,1.0,0.727,0.0,  0.4100,0,14000
150.5,179253,150,4,0.0,1.0,0.683,0.039,  0.4090,0,14000
150.75,179253,150,5,0.0,1.0,0.709,0.069,  0.4090,0,14000
151.0,179253,151,5,0.0,1.0,0.804,0.062,  0.4090,0,14000
151.25,179253,151,5,0.0,1.0,0.917,0.032,  0.4090,0,14000
151.5,179253,151,5,0.0,1.0,0.925,0.028,  0.4090,0,14000
151.75,179253,151,5,0.0,1.0,0.847,0.054,  0.4080,0,14000
152.0,179253,152,5,0.0,1.0,0.743,0.077,  0.4080,0,14000
152.25,179253,152,4,0.0,1.0,0.699,0.099,  0.4080,0,14000
152.5,179253,152,5,0.0,1.0,0.716,0.096,  0.4080,0,14000
152.75,179253,152,5,0.0,1.0,0.768,0.088,  0.4080,0,14000
153.0,179253,153,5,0.0,1.0,0.768,0.088,  0.4070,0,14000
153.25,179253,153,5,0.0,1.0,0.742,0.098,  0.4070,0,14000
153.5,179253,153,5,0.0,1.0,0.803,0.075,  0.4070,0,14000
153.75,179253,153,5,0.0,1.0,0.907,0.036,  0.4070,0,14000
154.0,179253,154,5,0.0,1.0,0.889,0.042,  0.4070,0,14000
154.25,179253,154,5,0.0,1.0,0.785,0.082,  0.4060,0,14000
154.5,179253,154,4,0.0,1.0,0.663,0.128,  0.4060,0,14000
154.75,179253,154,2,0.022,0.752,0.49,0.194,  0.4060,0,14000
155.0,179253,155,1,0.058,0.55,0.299,0.267,  0.4060,0,14000
155.25,179253,155,1,0.083,0.465,0.134,0.32,  0.4060,0,14000
155.5,179253,155,1,0.096,0.42,0.029,0.339,  0.4050,0,14000
155.75,179253,155,1,0.092,0.419,0.0,0.328,  0.4050,0,14000
156.0,179253,156,1,0.102,0.381,0.0,0.34,  0.4050,0,14000
156.25,179253,156,1,0.107,0.364,0.029,0.343,  0.4050,0,14000
156.5,179253,156,1,0.124,0.326,0.003,0.37,  0.4050,0,14000
156.75,179253,156,1,0.129,0.323,0.0,0.38,  0.4050,0,14000
157.0,179253,157,1,0.128,0.326,0.0,0.38,  0.4040,0,14000
157.25,179253,157,1,0.119,0.352,0.028,0.369,  0.4040,0,14000
157.5,179253,157,1,0.123,0.354,0.0,0.38,  0.4040,0,14000
157.75,179253,157,1,0.119,0.375,0.0,0.38,  0.4040,0,14000
158.0,179253,158,1,0.114,0.4,0.0,0.38,  0.4040,0,14000
158.25,179253,158,1,0.099,0.448,0.053,0.36,  0.4030,0,14000
158.5,179253,158,1,0.079,0.523,0.088,0.337,  0.4030,0,14000
158.75,179253,158,1,0.053,0.633,0.157,0.297,  0.4030,0,14000
159.0,179253,159,1,0.048,0.669,0.2,0.3,  0.4030,0,14000
159.25,179253,159,1,0.036,0.736,0.252,0.284,  0.4030,0,14000
159.5,179253,159,2,0.0,1.0,0.443,0.212,  0.4020,0,14000
159.75,179253,159,2,0.004,0.96,0.391,0.231,  0.4020,0,14000
160.0,179253,160,2,0.0,1.0,0.477,0.199,  0.4020,0,14000
160.25,179253,160,4,0.0,1.0,0.555,0.169,  0.4020,0,14000
160.5,179253,160,4,0.0,1.0,0.668,0.126,  0.4020,0,14000
160.75,179253,160,4,0.0,0.997,0.685,0.12,  0.4020,0,14000
161.0,179253,161,5,0.0,1.0,0.785,0.082,  0.3510,0,14000
161.25,179253,161,5,0.0,1.0,0.736,0.092,  0.3510,0,14000
161.5,179253,161,4,0.0,1.0,0.623,0.095,  0.3510,0,14000
161.75,179253,161,2,0.007,0.875,0.475,0.12,  0.3510,0,14000
162.0,179253,162,2,-1.071,0.413,0.334,0.253,  0.3500,0,14000
162.25,179253,162,1,-1.087,0.376,0.242,0.288,  0.3500,0,14000
162.5,179253,162,1,-1.095,0.361,0.2,0.304,  0.3500,0,14000
162.75,179253,162,1,-1.096,0.358,0.192,0.307,  0.3500,0,14000
163.0,179253,163,1,-1.093,0.351,0.22,0.296,  0.3500,0,14000
163.25,179253,163,1,0.086,0.36,0.27,0.278,  0.3500,0,14000
163.5,179253,163,1,0.084,0.354,0.291,0.27,  0.3500,0,14000
163.75,179253,163,1,0.089,0.328,0.276,0.275,  0.3490,0,14000
164.0,179253,164,1,0.101,0.291,0.227,0.294,  0.3490,0,14000
164.25,179253,164,1,0.11,0.268,0.192,0.307,  0.3490,0,14000
164.5,179253,164,1,0.122,0.242,0.135,0.329,  0.3490,0,14000
164.75,179253,164,1,0.121,0.242,0.142,0.326,  0.3490,0,14000
165.0,179253,165,1,0.11,0.262,0.198,0.305,  0.3490,0,14000
165.25,179253,165,1,0.106,0.275,0.212,0.299,  0.3480,0,14000
165.5,179253,165,1,0.107,0.28,0.198,0.305,  0.3480,0,14000
165.75,179253,165,1,0.109,0.29,0.177,0.313,  0.3480,0,14000
166.0,179253,166,1,0.103,0.31,0.198,0.305,  0.3480,0,14000
166.25,179253,166,1,0.101,0.313,0.205,0.302,  0.3480,0,14000
166.5,179253,166,1,0.111,0.29,0.162,0.318,  0.3480,0,14000
166.75,179253,166,1,0.118,0.275,0.127,0.332,  0.3470,0,14000
167.0,179253,167,1,0.129,0.264,0.07,0.353,  0.3470,0,14000
167.25,179253,167,1,0.13,0.275,0.049,0.361,  0.3470,0,14000
167.5,179253,167,1,0.123,0.307,0.063,0.356,  0.3470,0,14000
167.75,179253,167,1,0.116,0.336,0.07,0.353,  0.3470,0,14000
168.0,179253,168,1,0.12,0.342,0.034,0.367,  0.3470,0,14000
168.25,179253,168,1,0.127,0.332,0.0,0.38,  0.3460,0,14000
168.5,179253,168,1,0.128,0.329,0.0,0.38,  0.3460,0,14000
168.75,179253,168,1,0.129,0.323,0.0,0.38,  0.3460,0,14000
169.0,179253,169,1,0.122,0.328,0.041,0.364,  0.3460,0,14000
169.25,179253,169,1,0.107,0.349,0.118,0.335,  0.3460,0,14000
169.5,179253,169,1,0.088,0.393,0.118,0.302,  0.3460,0,14000
169.75,179253,169,1,0.063,0.473,0.139,0.257,  0.3460,0,14000
170.0,179253,170,2,0.031,0.648,0.358,0.193,  0.3450,0,14000
170.25,179253,170,4,0.012,0.837,0.541,0.154,  0.3450,0,14000
170.5,179253,170,4,0.021,0.742,0.548,0.172,  0.3450,0,14000
170.75,179253,170,4,0.023,0.723,0.54,0.175,  0.3450,0,14000
171.0,179253,171,4,0.01,0.857,0.618,0.145,  0.3450,0,14000
171.25,179253,171,4,0.008,0.877,0.639,0.137,  0.3450,0,14000
171.5,179253,171,4,0.021,0.709,0.582,0.159,  0.3440,0,14000
171.75,179253,171,4,0.036,0.58,0.526,0.18,  0.3440,0,14000
172.0,179253,172,2,0.056,0.449,0.434,0.215,  0.3440,0,14000
172.25,179253,172,2,0.074,0.36,0.363,0.242,  0.3440,0,14000
172.5,179253,172,1,0.094,0.29,0.279,0.274,  0.3440,0,14000
172.75,179253,172,1,0.106,0.262,0.222,0.296,  0.3440,0,14000
173.0,179253,173,1,0.12,0.239,0.152,0.322,  0.3430,0,14000
173.25,179253,173,1,0.132,0.228,0.088,0.347,  0.3430,0,14000
173.5,179253,173,1,0.136,0.233,0.06,0.357,  0.3430,0,14000
173.75,179253,173,1,0.13,0.249,0.081,0.349,  0.3430,0,14000
174.0,179253,174,1,0.123,0.268,0.102,0.341,  0.3430,0,14000
174.25,179253,174,1,0.118,0.291,0.116,0.336,  0.3430,0,14000
174.5,179253,174,1,0.11,0.312,0.144,0.325,  0.3430,0,14000
174.75,179253,174,1,0.102,0.336,0.172,0.315,  0.3420,0,14000
175.0,179253,175,1,0.102,0.345,0.165,0.317,  0.3420,0,14000
