Dept,SitID,Dept,LithID,W_Tar,SW,VSH,PHI,RW,Pick,Formation
422.0,164584,422,5,0.0,1.0,0.902,0.037,  0.7970,0,5000
422.25,164584,422,5,0.0,1.0,0.812,0.072,  0.7970,0,5000
422.5,164584,422,4,0.0,1.0,0.676,0.123,  0.7960,0,5000
422.75,164584,422,4,0.0,1.0,0.526,0.18,  0.7960,0,5000
423.0,164584,423,2,0.003,0.97,0.406,0.226,  0.7960,1,5000
423.25,164584,423,2,0.011,0.909,0.346,0.249,  0.7960,0,5000
423.5,164584,423,2,0.017,0.858,0.332,0.254,  0.7960,0,5000
423.75,164584,423,2,0.019,0.836,0.333,0.248,  0.7960,0,5000
424.0,164584,424,4,0.0,1.0,0.197,0.23,  0.7950,0,5000
424.25,164584,424,4,0.006,0.942,0.183,0.24,  0.7950,0,5000
424.5,164584,424,1,0.038,0.708,0.275,0.276,  0.7950,0,5000
424.75,164584,424,1,0.038,0.7,0.291,0.269,  0.7950,0,5000
425.0,164584,425,1,0.03,0.745,0.277,0.256,  0.7950,0,5000
425.25,164584,425,1,0.025,0.79,0.232,0.258,  0.7940,0,5000
425.5,164584,425,2,0.031,0.738,0.309,0.249,  0.7940,0,5000
425.75,164584,425,4,0.021,0.715,0.583,0.158,  0.7940,0,5000
426.0,164584,426,4,0.013,0.772,0.675,0.124,  0.7940,0,5000
426.25,164584,426,5,0.01,0.791,0.706,0.109,  0.7940,0,5000
426.5,164584,426,5,0.009,0.803,0.722,0.098,  0.7940,0,5000
426.75,164584,426,5,0.009,0.764,0.784,0.082,  0.7930,0,5000
427.0,164584,427,5,0.007,0.747,0.83,0.065,  0.7930,0,5000
427.25,164584,427,5,0.006,0.728,0.877,0.047,  0.7930,0,5000
427.5,164584,427,5,0.006,0.715,0.878,0.047,  0.7930,0,5000
427.75,164584,427,5,0.008,0.709,0.833,0.063,  0.7930,0,5000
428.0,164584,428,5,0.011,0.715,0.773,0.086,  0.7930,0,5000
428.25,164584,428,4,0.015,0.722,0.684,0.12,  0.7920,0,5000
428.5,164584,428,4,0.013,0.747,0.669,0.117,  0.7920,0,5000
428.75,164584,428,5,0.006,0.814,0.716,0.074,  0.7920,0,5000
429.0,164584,429,5,0.004,0.801,0.792,0.041,  0.7920,0,5000
429.25,164584,429,5,0.004,0.721,0.884,0.033,  0.7920,0,5000
429.5,164584,429,5,0.004,0.691,0.916,0.031,  0.7910,0,5000
429.75,164584,429,5,0.003,0.697,0.932,0.026,  0.7910,0,5000
430.0,164584,430,5,0.0,1.0,0.993,0.003,  0.7910,0,5000
430.25,164584,430,5,0.0,1.0,1.0,0.0,  0.7910,0,5000
430.5,164584,430,5,0.0,1.0,1.0,0.0,  0.7910,0,5000
430.75,164584,430,5,0.001,0.898,0.966,0.013,  0.7910,0,5000
431.0,164584,431,5,0.0,1.0,0.83,0.065,  0.7900,0,5000
431.25,164584,431,4,0.0,1.0,0.649,0.133,  0.7900,0,5000
431.5,164584,431,2,0.0,1.0,0.347,0.248,  0.7900,0,5000
431.75,164584,431,1,0.0,1.0,0.273,0.276,  0.7900,0,5000
432.0,164584,432,2,0.0,1.0,0.304,0.265,  0.7900,0,5000
432.25,164584,432,2,0.0,1.0,0.335,0.236,  0.7900,0,5000
432.5,164584,432,2,0.0,1.0,0.382,0.202,  0.7890,0,5000
432.75,164584,432,2,0.0,1.0,0.488,0.174,  0.7890,0,5000
433.0,164584,433,4,0.0,0.997,0.641,0.129,  0.7890,0,5000
433.25,164584,433,4,0.002,0.966,0.672,0.108,  0.7890,0,5000
433.5,164584,433,4,0.003,0.946,0.583,0.138,  0.7890,0,5000
433.75,164584,433,4,0.005,0.928,0.568,0.144,  0.7890,0,5000
434.0,164584,434,4,0.006,0.907,0.584,0.144,  0.7880,0,5000
434.25,164584,434,4,0.003,0.95,0.646,0.131,  0.7880,0,5000
434.5,164584,434,5,0.0,1.0,0.722,0.105,  0.7880,0,5000
434.75,164584,434,5,0.0,1.0,0.815,0.07,  0.7880,0,5000
435.0,164584,435,5,0.0,1.0,0.815,0.07,  0.7880,0,5000
435.25,164584,435,5,0.0,1.0,0.771,0.087,  0.7870,0,5000
435.5,164584,435,4,0.0,1.0,0.696,0.115,  0.7870,0,5000
435.75,164584,435,4,0.0,1.0,0.636,0.138,  0.7870,0,5000
436.0,164584,436,4,0.0,1.0,0.561,0.145,  0.7870,0,5000
436.25,164584,436,4,0.0,1.0,0.547,0.159,  0.7870,0,5000
436.5,164584,436,4,0.0,1.0,0.563,0.166,  0.7870,0,5000
436.75,164584,436,5,0.0,1.0,0.731,0.102,  0.7860,0,5000
437.0,164584,437,5,0.0,1.0,0.868,0.05,  0.7860,0,5000
437.25,164584,437,5,0.0,1.0,0.93,0.026,  0.7860,0,5000
437.5,164584,437,5,0.0,1.0,0.916,0.032,  0.7860,0,5000
437.75,164584,437,5,0.0,1.0,0.871,0.049,  0.7860,0,5000
438.0,164584,438,5,0.0,1.0,0.842,0.06,  0.7860,0,5000
438.25,164584,438,5,0.0,1.0,0.904,0.037,  0.7850,0,5000
438.5,164584,438,5,0.0,1.0,0.95,0.019,  0.7850,0,5000
438.75,164584,438,5,0.0,1.0,1.0,0.0,  0.7850,0,5000
439.0,164584,439,5,0.0,1.0,1.0,0.0,  0.7850,0,5000
439.25,164584,439,5,0.0,1.0,0.983,0.006,  0.7850,0,5000
439.5,164584,439,5,0.0,1.0,0.832,0.064,  0.7850,0,5000
439.75,164584,439,5,0.0,1.0,0.728,0.05,  0.7840,0,5000
440.0,164584,440,5,0.0,1.0,0.713,0.01,  0.7840,0,5000
440.25,164584,440,5,0.0,1.0,0.836,0.0,  0.7840,0,5000
440.5,164584,440,5,0.0,1.0,0.988,0.0,  0.7840,0,5000
440.75,164584,440,5,0.0,1.0,1.0,0.0,  0.7840,0,5000
441.0,164584,441,5,0.0,1.0,1.0,0.0,  0.7840,0,5000
441.25,164584,441,5,0.0,1.0,1.0,0.0,  0.7830,0,5000
441.5,164584,441,5,0.0,1.0,1.0,0.0,  0.7830,0,5000
441.75,164584,441,5,0.0,1.0,1.0,0.0,  0.7830,0,5000
442.0,164584,442,4,0.0,1.0,0.7,0.104,  0.7830,0,5000
442.25,164584,442,4,0.0,1.0,0.588,0.123,  0.7830,0,5000
442.5,164584,442,2,0.0,1.0,0.467,0.177,  0.7820,0,5000
442.75,164584,442,2,0.0,1.0,0.347,0.223,  0.7820,0,5000
443.0,164584,443,2,0.015,0.878,0.304,0.257,  0.7820,0,5000
443.25,164584,443,1,0.028,0.781,0.287,0.271,  0.7820,0,5000
443.5,164584,443,1,0.032,0.747,0.279,0.274,  0.7820,0,5000
443.75,164584,443,2,0.026,0.762,0.383,0.234,  0.7820,0,5000
444.0,164584,444,2,0.018,0.816,0.427,0.212,  0.7810,0,5000
444.25,164584,444,2,0.015,0.856,0.384,0.223,  0.7810,0,5000
444.5,164584,444,1,0.016,0.867,0.264,0.256,  0.7810,0,5000
444.75,164584,444,2,0.016,0.855,0.308,0.239,  0.7810,0,5000
445.0,164584,445,2,0.014,0.859,0.386,0.213,  0.7810,0,5000
445.25,164584,445,2,0.018,0.811,0.439,0.207,  0.7810,0,5000
445.5,164584,445,2,0.019,0.796,0.448,0.203,  0.7800,0,5000
445.75,164584,445,2,0.015,0.823,0.457,0.192,  0.7800,0,5000
446.0,164584,446,4,0.012,0.835,0.536,0.166,  0.7800,0,5000
446.25,164584,446,4,0.011,0.834,0.614,0.146,  0.7800,0,5000
446.5,164584,446,4,0.009,0.852,0.649,0.133,  0.7800,0,5000
446.75,164584,446,4,0.008,0.855,0.659,0.13,  0.7800,0,5000
447.0,164584,447,4,0.008,0.865,0.659,0.13,  0.7790,0,5000
447.25,164584,447,4,0.007,0.871,0.677,0.123,  0.7790,0,5000
447.5,164584,447,5,0.005,0.885,0.712,0.109,  0.7790,0,5000
