Dept,SitID,Dept,LithID,W_Tar,SW,VSH,PHI,RW,Pick,Formation
215.0,115480,215,4,0.008,0.814,0.67,0.099,  0.7410,0,9000
215.25,115480,215,4,0.007,0.842,0.672,0.098,  0.7410,0,9000
215.5,115480,215,4,0.013,0.771,0.646,0.124,  0.7410,0,9000
215.75,115480,215,4,0.016,0.746,0.599,0.141,  0.7410,0,9000
216.0,115480,216,4,0.018,0.743,0.549,0.156,  0.7410,0,9000
216.25,115480,216,4,0.019,0.726,0.55,0.154,  0.7410,0,9000
216.5,115480,216,4,0.02,0.682,0.577,0.141,  0.7400,0,9000
216.75,115480,216,4,0.023,0.652,0.545,0.146,  0.7400,0,9000
217.0,115480,217,2,0.027,0.632,0.437,0.161,  0.7400,0,9000
217.25,115480,217,2,0.022,0.612,0.356,0.129,  0.7400,0,9000
217.5,115480,217,2,0.014,0.629,0.371,0.091,  0.7400,0,9000
217.75,115480,217,2,0.015,0.638,0.444,0.097,  0.7400,0,9000
218.0,115480,218,4,0.023,0.626,0.524,0.138,  0.7400,0,9000
218.25,115480,218,4,0.027,0.607,0.605,0.15,  0.7400,0,9000
218.5,115480,218,4,0.019,0.654,0.682,0.121,  0.7400,0,9000
218.75,115480,218,5,0.016,0.675,0.716,0.108,  0.7400,0,9000
219.0,115480,219,5,0.013,0.7,0.735,0.097,  0.7400,0,9000
219.25,115480,219,5,0.012,0.715,0.74,0.09,  0.7390,0,9000
219.5,115480,219,5,0.011,0.72,0.74,0.085,  0.7390,0,9000
219.75,115480,219,5,0.01,0.73,0.723,0.086,  0.7390,0,9000
220.0,115480,220,4,0.012,0.735,0.663,0.105,  0.7390,0,9000
220.25,115480,220,4,0.015,0.724,0.604,0.125,  0.7390,0,9000
220.5,115480,220,4,0.013,0.756,0.588,0.119,  0.7390,0,9000
220.75,115480,220,4,0.006,0.842,0.621,0.087,  0.7390,0,9000
221.0,115480,221,4,0.005,0.841,0.674,0.072,  0.7390,0,9000
221.25,115480,221,5,0.008,0.768,0.718,0.077,  0.7390,0,9000
221.5,115480,221,5,0.007,0.773,0.739,0.068,  0.7390,0,9000
221.75,115480,221,5,0.009,0.755,0.725,0.082,  0.7390,0,9000
222.0,115480,222,5,0.008,0.786,0.703,0.08,  0.7380,0,9000
222.25,115480,222,5,0.006,0.814,0.707,0.073,  0.7380,0,9000
222.5,115480,222,5,0.005,0.823,0.726,0.067,  0.7380,0,9000
222.75,115480,222,5,0.005,0.841,0.727,0.066,  0.7380,0,9000
223.0,115480,223,5,0.006,0.848,0.701,0.082,  0.7380,0,9000
223.25,115480,223,4,0.004,0.9,0.659,0.1,  0.7380,0,9000
223.5,115480,223,4,0.003,0.936,0.644,0.115,  0.7380,0,9000
223.75,115480,223,4,0.0,1.0,0.685,0.084,  0.7380,0,9000
224.0,115480,224,5,0.0,1.0,0.756,0.046,  0.7380,0,9000
224.25,115480,224,5,0.0,1.0,0.799,0.056,  0.7380,0,9000
224.5,115480,224,5,0.0,0.995,0.804,0.068,  0.7380,0,9000
224.75,115480,224,5,0.0,1.0,0.825,0.045,  0.7370,0,9000
225.0,115480,225,5,0.0,1.0,0.876,0.0,  0.7370,0,9000
225.25,115480,225,5,0.0,1.0,0.927,0.0,  0.7370,0,9000
225.5,115480,225,5,0.0,1.0,0.931,0.026,  0.7370,0,9000
225.75,115480,225,5,0.0,1.0,0.905,0.036,  0.7370,0,9000
226.0,115480,226,5,0.0,1.0,0.899,0.038,  0.7370,0,9000
226.25,115480,226,5,0.0,1.0,0.889,0.042,  0.7370,0,9000
226.5,115480,226,5,0.0,1.0,0.908,0.035,  0.7370,0,9000
226.75,115480,226,5,0.0,1.0,0.925,0.028,  0.7370,0,9000
227.0,115480,227,5,0.0,1.0,0.953,0.018,  0.7370,0,9000
227.25,115480,227,5,0.0,1.0,0.987,0.005,  0.7370,0,9000
227.5,115480,227,5,0.0,1.0,0.965,0.0,  0.7360,0,9000
227.75,115480,227,5,0.0,1.0,0.899,0.003,  0.7360,0,9000
228.0,115480,228,5,0.0,1.0,0.787,0.019,  0.7360,0,9000
228.25,115480,228,4,0.0,1.0,0.669,0.036,  0.7360,0,9000
228.5,115480,228,4,0.0,1.0,0.608,0.046,  0.7360,0,9000
228.75,115480,228,4,0.009,0.807,0.527,0.106,  0.7360,0,9000
229.0,115480,229,2,0.05,0.559,0.32,0.24,  0.7360,0,9000
229.25,115480,229,1,0.077,0.48,0.177,0.308,  0.7360,0,9000
229.5,115480,229,1,0.095,0.429,0.101,0.342,  0.7360,0,9000
229.75,115480,229,1,0.106,0.396,0.06,0.357,  0.7360,0,9000
230.0,115480,230,1,0.115,0.346,0.058,0.358,  0.7360,0,9000
230.25,115480,230,1,0.122,0.308,0.056,0.359,  0.7360,0,9000
230.5,115480,230,1,0.127,0.312,0.015,0.374,  0.7350,0,9000
230.75,115480,230,1,0.118,0.328,0.043,0.359,  0.7350,0,9000
231.0,115480,231,1,0.106,0.346,0.078,0.334,  0.7350,0,9000
231.25,115480,231,1,0.108,0.349,0.073,0.342,  0.7350,0,9000
231.5,115480,231,1,0.115,0.346,0.06,0.357,  0.7350,0,9000
231.75,115480,231,1,0.112,0.347,0.077,0.351,  0.7350,0,9000
232.0,115480,232,1,0.106,0.348,0.118,0.335,  0.7350,0,9000
232.25,115480,232,1,0.099,0.346,0.173,0.314,  0.7350,0,9000
232.5,115480,232,1,0.09,0.356,0.231,0.292,  0.7350,0,9000
232.75,115480,232,1,0.078,0.393,0.273,0.272,  0.7350,0,9000
