DEPT,GR,ILD,DPHI,SitID,Pick
433.75,132.403,7.425,0.156,113889,0
434.0,130.661,7.686,0.157,113889,0
434.25,129.355,8.061,0.159,113889,0
434.5,127.114,8.187,0.154,113889,0
434.75,121.821,8.284,0.147,113889,0
435.0,115.096,8.655,0.145,113889,0
435.25,112.233,9.06,0.157,113889,0
435.5,112.857,9.272,0.172,113889,0
435.75,115.787,9.207,0.164,113889,0
436.0,117.907,8.822,0.145,113889,0
436.25,121.086,8.28,0.141,113889,0
436.5,123.331,8.207,0.162,113889,0
436.75,126.074,8.304,0.184,113889,0
437.0,125.951,8.725,0.184,113889,0
437.25,119.101,8.929,0.171,113889,0
437.5,107.703,9.19,0.172,113889,0
437.75,108.205,9.638,0.194,113889,0
438.0,110.012,9.863,0.19,113889,0
438.25,103.598,10.131,0.179,113889,0
438.5,101.856,10.349,0.184,113889,0
438.75,102.232,10.671,0.199,113889,0
439.0,103.044,10.879,0.203,113889,0
439.25,105.725,10.926,0.2,113889,0
439.5,105.415,11.056,0.199,113889,0
439.75,108.283,10.897,0.202,113889,0
440.0,111.835,10.423,0.202,113889,0
440.25,111.837,10.29,0.203,113889,0
440.5,107.541,9.767,0.204,113889,0
440.75,102.311,10.014,0.228,113889,0
441.0,98.326,11.604,0.247,113889,0
441.25,97.643,12.471,0.266,113889,0
441.5,105.12,12.765,0.278,113889,0
441.75,109.047,12.915,0.265,113889,0
442.0,101.262,13.068,0.234,113889,0
442.25,76.97,11.878,0.2,113889,0
442.5,49.252,17.647,0.167,113889,1
442.75,35.3,27.532,0.117,113889,0
443.0,31.502,38.803,0.083,113889,0
443.25,29.387,50.531,0.062,113889,0
443.5,28.641,54.513,0.058,113889,0
443.75,29.204,54.131,0.062,113889,0
444.0,35.31,51.866,0.071,113889,0
444.25,42.85,55.74,0.099,113889,0
444.5,51.573,64.227,0.115,113889,0
444.75,48.46,69.811,0.156,113889,0
445.0,36.191,75.736,0.158,113889,0
