DEPT,GR,ILD,DPHI,SitID,Pick
175.0,126.068,4.386,0.219,144841,0
175.25,120.164,5.012,0.253,144841,0
175.5,118.998,5.107,0.261,144841,0
175.75,122.567,5.105,0.251,144841,0
176.0,127.324,4.816,0.247,144841,0
176.25,129.704,4.724,0.248,144841,0
176.5,130.91,4.543,0.244,144841,0
176.75,132.112,4.455,0.19,144841,0
177.0,130.354,4.452,0.165,144841,0
177.25,122.678,4.714,0.171,144841,0
177.5,117.962,4.804,0.217,144841,0
177.75,123.306,5.184,0.245,144841,0
178.0,128.655,5.382,0.251,144841,0
178.25,132.811,5.382,0.249,144841,0
178.5,136.384,5.276,0.247,144841,0
178.75,132.847,5.174,0.246,144841,0
179.0,128.726,4.881,0.247,144841,0
179.25,125.785,4.788,0.247,144841,0
179.5,124.023,4.694,0.25,144841,0
179.75,125.816,4.692,0.248,144841,0
180.0,127.61,4.689,0.244,144841,0
180.25,125.857,4.778,0.214,144841,0
180.5,122.915,4.962,0.184,144841,0
180.75,118.795,5.254,0.133,144841,0
181.0,115.85,5.67,0.126,144841,0
181.25,112.904,6.003,0.179,144841,0
181.5,112.926,6.355,0.211,144841,0
181.75,119.454,6.599,0.23,144841,0
182.0,124.798,6.469,0.237,144841,0
182.25,125.412,6.345,0.242,144841,0
182.5,124.838,6.222,0.243,144841,0
182.75,129.591,6.1,0.246,144841,0
183.0,130.2,6.098,0.248,144841,0
183.25,128.438,5.979,0.257,144841,0
183.5,127.277,5.975,0.26,144841,0
183.75,130.846,5.972,0.257,144841,0
184.0,133.227,5.857,0.247,144841,0
184.25,130.882,5.743,0.239,144841,0
184.5,126.161,5.525,0.239,144841,0
184.75,123.219,5.737,0.244,144841,0
185.0,119.095,5.959,0.247,144841,0
185.25,122.668,6.189,0.25,144841,0
185.5,132.159,6.186,0.253,144841,0
185.75,134.54,6.183,0.254,144841,0
186.0,135.741,6.062,0.249,144841,0
186.25,132.8,5.944,0.241,144841,0
186.5,128.084,5.828,0.222,144841,0
186.75,123.959,5.826,0.214,144841,0
187.0,117.467,6.534,0.219,144841,0
187.25,102.689,10.348,0.271,144841,0
187.5,61.276,23.591,0.292,144841,0
187.75,32.888,32.052,0.323,144841,0
188.0,37.048,35.257,0.341,144841,0
188.25,30.556,39.528,0.27,144841,0
188.5,35.905,40.284,0.281,144841,0
188.75,37.694,41.049,0.289,144841,0
189.0,35.94,38.726,0.289,144841,0
189.25,34.187,36.547,0.29,144841,0
189.5,34.788,34.491,0.297,144841,0
189.75,37.765,32.547,0.314,144841,0
190.0,39.558,30.709,0.31,144841,0
190.25,39.576,30.115,0.309,144841,0
190.5,37.819,28.968,0.319,144841,0
190.75,43.759,27.331,0.347,144841,0
191.0,56.209,24.82,0.356,144841,0
191.25,60.365,22.112,0.256,144841,0
191.5,63.342,18.597,0.247,144841,0
191.75,69.278,16.253,0.244,144841,0
192.0,77.582,15.046,0.241,144841,0
192.25,87.66,13.404,0.238,144841,0
192.5,100.707,11.941,0.237,144841,0
192.75,103.087,6.338,0.236,144841,0
193.0,102.513,6.095,0.236,144841,0
193.25,100.169,6.211,0.239,144841,0
193.5,98.411,6.329,0.242,144841,0
193.75,99.021,6.573,0.251,144841,0
194.0,101.401,6.959,0.26,144841,0
194.25,102.603,7.367,0.266,144841,0
194.5,101.437,7.651,0.22,144841,0
194.75,95.537,7.795,0.129,144841,0
195.0,82.535,7.792,0.169,144841,0
195.25,79.594,7.786,0.214,144841,0
195.5,92.632,7.637,0.249,144841,0
195.75,97.384,7.488,0.257,144841,0
196.0,104.512,6.931,0.256,144841,0
196.25,108.668,6.54,0.252,144841,0
196.5,112.242,6.292,0.245,144841,0
196.75,109.892,5.936,0.218,144841,0
197.0,107.538,5.934,0.182,144841,0
197.25,104.005,6.046,0.182,144841,0
197.5,77.984,6.16,0.214,144841,0
197.75,66.753,6.908,0.261,144841,0
198.0,60.853,7.455,0.347,144841,0
198.25,59.095,8.044,0.374,144841,0
198.5,76.876,8.042,0.294,144841,0
