DEPT,GR,ILD,DPHI,SitID,Pick
15.0,,1.425,,118065,0
15.125,,3.455,,118065,0
15.25,,19.395,,118065,0
15.375,,32.13,,118065,0
15.5,,32.84,,118065,0
15.625,,31.505,,118065,0
15.75,,31.355,,118065,0
15.875,,31.405,,118065,0
16.0,78.465,31.555,0.293,118065,0
16.125,79.17,31.71,0.2845,118065,0
16.25,81.99,33.57,0.2774,118065,0
16.375,83.205,49.845,0.2869,118065,0
16.5,82.845,49.835,0.2978,118065,0
16.625,81.93,50.03,0.3282,118065,0
16.75,80.43,50.02,0.349,118065,0
16.875,80.07,50.01,0.358,118065,0
17.0,79.71,50.0,0.3635,118065,0
17.125,79.17,49.985,0.3613,118065,0
17.25,78.405,50.175,0.3587,118065,0
17.375,77.475,47.36,0.3569,118065,0
17.5,76.14,15.555,0.3547,118065,0
17.625,74.925,13.545,0.3522,118065,0
17.75,74.85,13.615,0.352,118065,0
17.875,73.785,13.925,0.3519,118065,0
18.0,72.06,13.915,0.3539,118065,0
18.125,70.26,14.255,0.3607,118065,0
18.25,68.265,14.59,0.3688,118065,0
18.375,68.46,15.285,0.3712,118065,0
18.5,68.835,15.275,0.3647,118065,0
18.625,69.84,15.265,0.3436,118065,0
18.75,68.505,15.255,0.279,118065,0
18.875,66.84,15.045,0.2528,118065,0
19.0,65.175,14.835,0.2403,118065,0
19.125,64.2,14.825,0.2541,118065,0
19.25,64.095,14.615,0.2907,118065,0
19.375,64.005,14.215,0.2912,118065,0
19.5,65.46,13.785,0.2866,118065,0
19.625,67.005,13.185,0.2788,118065,0
19.75,69.72,12.775,0.2708,118065,0
19.875,72.465,12.485,0.2747,118065,0
20.0,73.965,12.26,0.2848,118065,0
20.125,73.86,12.145,0.2986,118065,0
20.25,72.855,12.255,0.3029,118065,0
20.375,71.775,12.325,0.3043,118065,0
20.5,72.12,12.45,0.3061,118065,0
20.625,73.44,12.505,0.3132,118065,0
20.75,75.675,12.645,0.3198,118065,0
20.875,78.585,13.035,0.3285,118065,0
21.0,76.635,13.615,0.3426,118065,0
21.125,74.445,14.395,0.351,118065,0
21.25,71.985,15.28,0.3538,118065,0
21.375,69.54,16.05,0.3508,118065,0
21.5,67.86,17.385,0.3481,118065,0
21.625,65.805,18.72,0.35,118065,0
21.75,63.495,20.035,0.3513,118065,0
21.875,60.855,21.07,0.3481,118065,0
22.0,56.235,21.785,0.3384,118065,0
