DEPT,GR,ILD,DPHI,SitID,Pick,Formation
310.0,92.368,2.313,0.22,106529,0,14000
310.25,94.241,2.253,0.233,106529,0,14000
310.5,90.394,2.212,0.243,106529,0,14000
310.75,94.944,2.183,0.243,106529,0,14000
311.0,87.141,2.119,0.247,106529,0,14000
311.25,83.172,2.099,0.252,106529,0,14000
311.5,82.794,2.091,0.246,106529,0,14000
311.75,88.922,2.098,0.237,106529,0,14000
312.0,87.814,2.122,0.228,106529,0,14000
312.25,85.977,2.146,0.214,106529,0,14000
312.5,90.283,2.21,0.184,106529,0,14000
312.75,87.045,2.299,0.089,106529,0,14000
313.0,80.701,2.435,0.174,106529,0,14000
313.25,77.585,2.523,0.213,106529,0,14000
313.5,84.57,2.584,0.213,106529,0,14000
313.75,91.735,2.608,0.207,106529,0,14000
314.0,91.052,2.623,0.203,106529,0,14000
314.25,92.803,2.647,0.197,106529,0,14000
314.5,89.93,2.722,0.194,106529,0,14000
314.75,87.239,2.794,0.2,106529,0,14000
315.0,87.53,2.878,0.21,106529,0,14000
315.25,85.873,2.982,0.212,106529,0,14000
315.5,82.756,3.066,0.214,106529,0,14000
315.75,81.221,3.112,0.204,106529,0,14000
316.0,83.457,2.998,0.197,106529,0,14000
316.25,80.765,2.867,0.2,106529,0,14000
316.5,85.013,2.751,0.206,106529,0,14000
316.75,87.006,2.666,0.211,106529,0,14000
317.0,85.289,2.568,0.215,106529,0,14000
317.25,83.145,2.534,0.218,106529,0,14000
317.5,82.281,2.501,0.211,106529,0,14000
317.75,85.431,2.515,0.208,106529,0,14000
318.0,84.564,2.548,0.212,106529,0,14000
318.25,84.49,2.64,0.213,106529,0,14000
318.5,90.014,2.781,0.184,106529,0,14000
318.75,90.73,2.833,0.105,106529,0,14000
319.0,79.946,2.865,0.155,106529,0,14000
319.25,71.171,2.859,0.186,106529,0,14000
319.5,82.109,2.833,0.213,106529,0,14000
319.75,93.717,2.833,0.219,106529,0,14000
320.0,93.461,2.838,0.223,106529,0,14000
320.25,86.326,2.875,0.224,106529,0,14000
320.5,84.671,2.934,0.228,106529,0,14000
320.75,81.249,2.912,0.232,106529,0,14000
321.0,83.487,2.832,0.232,106529,0,14000
321.25,84.568,2.728,0.218,106529,0,14000
321.5,81.574,2.613,0.201,106529,0,14000
321.75,92.695,2.815,0.211,106529,0,14000
322.0,88.786,3.166,0.24,106529,0,14000
322.25,79.583,3.627,0.376,106529,0,14000
322.5,67.462,3.988,0.414,106529,0,14000
322.75,55.826,4.329,0.325,106529,0,14000
323.0,57.516,4.569,0.305,106529,0,14000
323.25,44.723,4.646,0.301,106529,0,14000
323.5,35.765,4.672,0.297,106529,0,14000
323.75,27.477,4.654,0.292,106529,0,14000
324.0,23.386,4.619,0.285,106529,0,14000
324.25,23.371,4.619,0.283,106529,0,14000
324.5,30.111,4.645,0.284,106529,0,14000
324.75,38.675,4.688,0.285,106529,0,14000
325.0,40.672,4.911,0.277,106529,0,14000
325.25,30.678,4.975,0.216,106529,0,14000
325.5,23.728,5.068,0.197,106529,0,14000
325.75,70.265,5.192,0.16,106529,0,14000
326.0,72.077,5.27,0.207,106529,0,14000
326.25,71.515,5.389,0.226,106529,0,14000
326.5,72.048,5.51,0.243,106529,0,14000
326.75,75.989,5.614,0.248,106529,0,14000
327.0,80.416,5.698,0.231,106529,0,14000
327.25,84.238,5.751,0.222,106529,0,14000
327.5,86.171,5.772,0.217,106529,0,14000
327.75,84.698,5.782,0.214,106529,0,14000
328.0,94.723,5.76,0.209,106529,0,14000
328.25,96.596,5.654,0.204,106529,0,14000
328.5,92.019,5.508,0.2,106529,0,14000
328.75,97.359,5.386,0.198,106529,0,14000
329.0,94.243,5.237,0.199,106529,0,14000
329.25,88.388,5.159,0.201,106529,0,14000
329.5,83.384,5.101,0.234,106529,0,14000
329.75,88.908,5.082,0.255,106529,0,14000
330.0,90.231,5.168,0.273,106529,0,14000
330.25,83.343,5.216,0.265,106529,0,14000
330.5,76.938,5.495,0.261,106529,0,14000
330.75,81.551,5.693,0.267,106529,0,14000
331.0,86.77,5.908,0.277,106529,0,14000
331.25,77.02,5.997,0.28,106529,0,14000
331.5,67.879,5.941,0.267,106529,0,14000
331.75,58.007,5.82,0.265,106529,0,14000
332.0,50.997,5.712,0.224,106529,0,14000
332.25,53.294,5.513,0.205,106529,0,14000
332.5,58.514,5.321,0.206,106529,0,14000
332.75,62.151,5.117,0.226,106529,0,14000
333.0,63.232,4.865,0.237,106529,0,14000
333.25,66.261,4.661,0.23,106529,0,14000
333.5,70.871,4.473,0.23,106529,0,14000
333.75,74.934,4.326,0.22,106529,0,14000
334.0,75.225,4.238,0.208,106529,0,14000
334.25,72.9,4.175,0.229,106529,0,14000
334.5,68.688,4.206,0.249,106529,0,14000
334.75,58.755,4.268,0.263,106529,0,14000
335.0,50.831,0.674,0.283,106529,0,14000
335.25,45.037,4.72,0.315,106529,0,14000
335.5,39.12,4.908,0.377,106529,0,14000
335.75,47.078,5.17,0.288,106529,0,14000
336.0,66.414,5.376,0.254,106529,0,14000
