DEPT,GR,ILD,DPHI,NPHI,SitID,Pick,Formation
97.0,91.436,16.597,0.326,0.412,115476,0,14000
97.3,103.41,15.074,0.321,0.384,115476,0,14000
97.6,116.013,13.957,0.289,0.374,115476,0,14000
97.9,116.635,13.174,0.258,0.398,115476,0,14000
98.2,83.204,14.785,0.274,0.407,115476,0,14000
98.5,69.322,16.916,0.303,0.416,115476,0,14000
98.8,61.116,18.624,0.318,0.416,115476,0,14000
99.1,54.8,18.624,0.326,0.387,115476,0,14000
99.4,69.295,16.915,0.322,0.35,115476,0,14000
99.7,91.358,12.432,0.292,0.351,115476,0,14000
100.0,112.159,9.496,0.243,0.412,115476,0,14000
100.3,122.239,7.684,0.21,0.446,115476,0,14000
100.6,126.014,6.716,0.192,0.459,115476,0,14000
100.9,128.528,6.218,0.22,0.478,115476,0,14000
101.2,133.562,5.757,0.241,0.471,115476,0,14000
101.5,135.448,5.757,0.209,0.455,115476,0,14000
101.8,126.612,5.983,0.187,0.452,115476,0,14000
102.1,120.928,6.099,0.205,0.454,115476,0,14000
102.4,122.178,5.868,0.225,0.461,115476,0,14000
102.7,121.539,5.228,0.206,0.478,115476,0,14000
103.0,130.36,4.482,0.19,0.475,115476,0,14000
103.3,136.027,4.15,0.209,0.47,115476,0,14000
103.6,134.126,4.313,0.238,0.507,115476,0,14000
103.9,117.091,6.585,0.254,0.483,115476,0,14000
104.2,92.49,10.86,0.28,0.418,115476,0,14000
104.5,76.715,14.492,0.325,0.401,115476,0,14000
104.8,76.707,15.955,0.33,0.408,115476,0,14000
105.1,87.417,14.773,0.299,0.411,115476,0,14000
105.4,94.976,11.954,0.276,0.397,115476,0,14000
105.7,101.275,10.858,0.267,0.395,115476,0,14000
106.0,110.724,10.248,0.251,0.414,115476,0,14000
106.3,111.978,9.673,0.23,0.411,115476,0,14000
106.6,113.858,9.13,0.227,0.403,115476,0,14000
106.9,108.807,9.307,0.235,0.4,115476,0,14000
107.2,96.186,10.051,0.29,0.41,115476,0,14000
107.5,74.107,12.662,0.43,0.505,115476,0,14000
107.8,64.008,14.768,0.47,0.507,115476,0,14000
108.1,72.828,18.249,0.398,0.417,115476,0,14000
108.4,77.23,22.549,0.338,0.381,115476,0,14000
108.7,76.593,26.812,0.354,0.358,115476,0,14000
109.0,71.538,31.88,0.362,0.275,115476,0,14000
109.3,67.747,32.498,0.358,0.262,115476,0,14000
109.6,65.216,29.516,0.357,0.27,115476,0,14000
109.9,63.317,25.796,0.349,0.303,115476,0,14000
110.2,67.721,23.884,0.344,0.339,115476,0,14000
110.5,65.822,23.428,0.338,0.367,115476,0,14000
110.8,60.768,22.542,0.333,0.39,115476,0,14000
111.1,62.648,22.112,0.329,0.409,115476,0,14000
111.4,63.904,21.276,0.33,0.412,115476,0,14000
111.7,63.895,20.472,0.343,0.405,115476,0,14000
112.0,60.733,20.081,0.354,0.404,115476,0,14000
112.3,61.987,20.081,0.347,0.405,115476,0,14000
112.6,62.607,20.47,0.342,0.415,115476,0,14000
112.9,67.645,20.079,0.343,0.41,115476,0,14000
113.2,80.878,18.953,0.358,0.399,115476,0,14000
113.5,63.212,16.885,0.367,0.395,115476,0,14000
113.8,62.573,16.884,0.355,0.394,115476,0,14000
114.1,60.672,17.546,0.332,0.4,115476,0,14000
114.4,56.25,18.234,0.347,0.41,115476,0,14000
114.7,61.915,19.692,0.358,0.413,115476,0,14000
115.0,65.692,20.464,0.347,0.409,115476,0,14000
115.3,65.683,21.266,0.343,0.404,115476,0,14000
115.6,62.521,22.529,0.35,0.368,115476,0,14000
115.9,57.464,22.966,0.357,0.347,115476,0,14000
116.2,55.568,22.965,0.358,0.377,115476,0,14000
116.5,55.556,22.097,0.353,0.417,115476,0,14000
116.8,58.07,21.675,0.337,0.439,115476,0,14000
117.1,60.583,20.459,0.332,0.423,115476,0,14000
117.4,60.575,19.686,0.347,0.393,115476,0,14000
117.7,59.308,18.942,0.355,0.393,115476,0,14000
118.0,56.144,18.58,0.351,0.422,115476,0,14000
118.3,56.138,18.94,0.361,0.414,115476,0,14000
118.6,60.541,18.94,0.348,0.41,115476,0,14000
118.9,59.272,20.064,0.347,0.407,115476,0,14000
119.2,56.742,20.454,0.361,0.408,115476,0,14000
119.5,59.255,20.453,0.359,0.41,115476,0,14000
119.8,49.788,20.452,0.354,0.419,115476,0,14000
120.1,55.455,19.304,0.347,0.429,115476,0,14000
120.4,60.491,18.221,0.345,0.431,115476,0,14000
120.7,52.915,18.22,0.361,0.422,115476,0,14000
121.0,56.689,18.573,0.359,0.394,115476,0,14000
121.3,58.573,22.513,0.333,0.296,115476,0,14000
121.6,51.626,47.679,0.22,0.22,115476,0,14000
121.9,45.312,45.003,0.042,0.165,115476,0,14000
122.2,45.935,37.125,0.066,0.176,115476,0,14000
122.5,59.167,25.756,0.173,0.254,115476,0,14000
122.8,62.941,20.445,0.345,0.309,115476,0,14000
123.1,62.304,17.868,0.366,0.398,115476,0,14000
123.4,58.512,16.865,0.369,0.413,115476,0,14000
123.7,56.609,16.227,0.352,0.389,115476,0,14000
124.0,57.859,16.863,0.336,0.418,115476,0,14000
124.3,59.114,17.525,0.337,0.437,115476,0,14000
124.6,60.369,17.524,0.349,0.426,115476,0,14000
124.9,57.837,17.189,0.349,0.385,115476,0,14000
125.2,56.568,16.224,0.347,0.397,115476,0,14000
125.5,62.864,15.314,0.35,0.421,115476,0,14000
125.8,55.918,14.454,0.355,0.407,115476,0,14000
126.1,54.651,14.454,0.355,0.382,115476,0,14000
126.4,60.946,15.312,0.351,0.378,115476,0,14000
126.7,66.612,16.222,0.332,0.403,115476,0,14000
127.0,68.496,15.912,0.34,0.408,115476,0,14000
127.3,67.227,15.019,0.344,0.406,115476,0,14000
127.6,62.804,14.451,0.338,0.403,115476,0,14000
127.9,62.793,15.018,0.344,0.412,115476,0,14000
128.2,64.046,15.309,0.349,0.412,115476,0,14000
128.5,64.668,14.174,0.346,0.427,115476,0,14000
128.8,66.551,12.628,0.327,0.445,115476,0,14000
129.1,67.174,11.92,0.301,0.44,115476,0,14000
129.4,67.166,11.919,0.305,0.412,115476,0,14000
129.7,67.157,11.25,0.319,0.418,115476,0,14000
130.0,73.454,10.619,0.307,0.424,115476,0,14000
130.3,76.597,9.644,0.31,0.408,115476,0,14000
130.6,77.852,8.759,0.355,0.434,115476,0,14000
130.9,78.472,8.759,0.344,0.45,115476,0,14000
131.2,75.942,9.46,0.305,0.45,115476,0,14000
131.5,79.718,10.414,0.296,0.437,115476,0,14000
131.8,81.598,10.823,0.283,0.395,115476,0,14000
132.1,76.547,10.414,0.278,0.387,115476,0,14000
132.4,82.215,10.02,0.276,0.395,115476,0,14000
132.7,87.251,8.427,0.271,0.446,115476,0,14000
133.0,92.287,6.561,0.265,0.478,115476,0,14000
133.3,96.061,5.959,0.259,0.47,115476,0,14000
133.6,96.052,5.846,0.252,0.425,115476,0,14000
133.9,87.215,5.959,0.248,0.417,115476,0,14000
134.2,83.424,6.56,0.244,0.457,115476,0,14000
134.5,85.306,7.085,0.244,0.429,115476,0,14000
134.8,91.601,7.363,0.249,0.44,115476,0,14000
135.1,85.288,7.363,0.267,0.435,115476,0,14000
135.4,79.605,7.505,0.267,0.429,115476,0,14000
135.7,85.899,7.799,0.255,0.428,115476,0,14000
136.0,85.263,7.951,0.261,0.435,115476,0,14000
136.3,78.947,8.105,0.276,0.465,115476,0,14000
136.6,80.832,7.95,0.287,0.462,115476,0,14000
136.9,84.604,7.65,0.287,0.42,115476,0,14000
137.2,85.228,6.948,0.282,0.41,115476,0,14000
137.5,87.742,6.31,0.266,0.457,115476,0,14000
137.8,91.516,6.19,0.261,0.473,115476,0,14000
138.1,92.139,6.072,0.267,0.461,115476,0,14000
138.4,86.453,6.309,0.28,0.453,115476,0,14000
138.7,89.598,7.359,0.293,0.437,115476,0,14000
139.0,87.697,10.405,0.309,0.426,115476,0,14000
139.3,80.123,14.997,0.322,0.419,115476,0,14000
139.6,75.7,21.203,0.339,0.408,115476,0,14000
139.9,61.818,22.898,0.332,0.377,115476,0,14000
140.2,64.962,20.797,0.291,0.381,115476,0,14000
140.5,85.763,17.49,0.3,0.419,115476,0,14000
140.8,84.494,16.829,0.278,0.399,115476,0,14000
141.1,58.0,19.254,0.106,0.219,115476,0,14000
141.4,51.685,23.792,0.0,0.163,115476,0,14000
141.7,51.045,28.29,0.099,0.158,115476,0,14000
142.0,58.605,30.552,0.189,0.225,115476,0,14000
142.3,75.622,25.693,0.26,0.321,115476,0,14000
142.6,95.161,16.825,0.28,0.377,115476,0,14000
142.9,93.889,12.606,0.262,0.428,115476,0,14000
143.2,90.096,10.201,0.259,0.432,115476,0,14000
143.5,88.198,9.265,0.259,0.432,115476,0,14000
143.8,86.929,9.445,0.257,0.423,115476,0,14000
144.1,91.966,10.2,0.259,0.42,115476,0,14000
144.4,86.28,10.6,0.271,0.439,115476,0,14000
144.7,85.64,11.015,0.276,0.451,115476,0,14000
145.0,91.939,11.015,0.261,0.456,115476,0,14000
145.3,96.344,11.015,0.26,0.452,115476,0,14000
145.6,96.967,10.804,0.266,0.429,115476,0,14000
145.9,89.391,10.598,0.27,0.408,115476,0,14000
146.201,87.49,10.598,0.271,0.408,115476,0,14000
146.501,84.957,10.395,0.279,0.446,115476,0,14000
146.801,84.95,10.803,0.269,0.429,115476,0,14000
147.101,88.725,11.012,0.254,0.413,115476,0,14000
147.401,92.5,11.012,0.256,0.421,115476,0,14000
147.701,97.534,10.801,0.275,0.452,115476,0,14000
148.001,97.526,10.393,0.255,0.429,115476,0,14000
148.301,96.887,9.623,0.241,0.446,115476,0,14000
148.601,94.358,8.91,0.235,0.453,115476,0,14000
148.901,79.215,8.74,0.251,0.424,115476,0,14000
149.201,59.657,9.999,0.287,0.408,115476,0,14000
149.501,57.126,13.868,0.303,0.399,115476,0,14000
149.801,61.532,14.412,0.307,0.393,115476,0,14000
150.101,71.612,11.889,0.303,0.395,115476,0,14000
150.401,74.124,9.998,0.294,0.418,115476,0,14000
150.701,76.009,7.936,0.286,0.432,115476,0,14000
151.001,83.567,7.348,0.278,0.428,115476,0,14000
