DEPT,GR,ILD,DPHI,SitID,Pick,Formation
275.0,102.149,2.66,0.187,104838,0,14000
275.25,104.977,2.747,0.19,104838,0,14000
275.5,106.394,2.837,0.202,104838,0,14000
275.75,105.541,2.902,0.211,104838,0,14000
276.0,100.823,2.996,0.21,104838,0,14000
276.25,99.356,3.054,0.204,104838,0,14000
276.5,101.509,3.124,0.199,104838,0,14000
276.75,103.601,3.232,0.194,104838,0,14000
277.0,100.662,3.319,0.191,104838,0,14000
277.25,98.029,3.357,0.179,104838,0,14000
277.5,96.808,3.32,0.177,104838,0,14000
277.75,96.936,3.223,0.19,104838,0,14000
278.0,100.746,3.14,0.194,104838,0,14000
278.25,103.451,2.992,0.193,104838,0,14000
278.5,101.064,2.877,0.194,104838,0,14000
278.75,100.58,2.766,0.201,104838,0,14000
279.0,100.646,2.701,0.202,104838,0,14000
279.25,98.014,2.651,0.204,104838,0,14000
279.5,99.983,2.652,0.211,104838,0,14000
279.75,104.283,2.687,0.21,104838,0,14000
280.0,101.283,2.744,0.196,104838,0,14000
280.25,97.914,2.802,0.19,104838,0,14000
280.5,99.27,2.904,0.195,104838,0,14000
280.75,105.964,2.96,0.202,104838,0,14000
281.0,108.422,2.977,0.206,104838,0,14000
281.25,106.282,2.967,0.196,104838,0,14000
281.5,102.054,2.918,0.193,104838,0,14000
281.75,95.557,2.875,0.192,104838,0,14000
282.0,94.519,2.908,0.208,104838,0,14000
282.25,94.218,3.02,0.204,104838,0,14000
282.5,90.666,3.178,0.2,104838,0,14000
282.75,82.573,3.35,0.195,104838,0,14000
283.0,72.701,3.646,0.138,104838,0,14000
283.25,75.407,3.626,0.089,104838,0,14000
283.5,81.056,3.546,0.192,104838,0,14000
283.75,81.737,3.391,0.212,104838,0,14000
284.0,79.411,3.285,0.236,104838,0,14000
284.25,81.626,3.256,0.26,104838,0,14000
284.5,87.092,3.263,0.278,104838,0,14000
284.75,90.165,3.319,0.262,104838,0,14000
285.0,93.054,3.427,0.25,104838,0,14000
285.25,95.882,3.626,0.24,104838,0,14000
285.5,100.858,3.83,0.232,104838,0,14000
285.75,99.636,4.022,0.238,104838,0,14000
286.0,73.2,4.709,0.262,104838,0,14000
286.25,54.371,5.745,0.283,104838,0,14000
286.5,43.15,7.209,0.302,104838,0,14000
286.75,36.775,7.934,0.324,104838,0,14000
287.0,30.646,7.052,0.334,104838,0,14000
287.25,36.357,6.447,0.32,104838,0,14000
287.5,47.774,6.062,0.308,104838,0,14000
287.75,56.368,5.7,0.3,104838,0,14000
288.0,62.694,5.616,0.294,104838,0,14000
288.25,65.828,5.909,0.296,104838,0,14000
288.5,63.012,6.639,0.305,104838,0,14000
288.75,61.852,7.131,0.314,104838,0,14000
289.0,62.779,6.948,0.323,104838,0,14000
289.25,64.992,6.46,0.329,104838,0,14000
289.5,67.145,5.939,0.311,104838,0,14000
289.75,67.397,5.181,0.302,104838,0,14000
290.0,67.832,4.692,0.303,104838,0,14000
290.25,69.188,4.428,0.292,104838,0,14000
290.5,73.733,4.187,0.281,104838,0,14000
290.75,79.445,4.004,0.262,104838,0,14000
291.0,88.959,4.035,0.237,104838,0,14000
291.25,98.413,4.254,0.189,104838,0,14000
291.5,99.4,4.16,0.195,104838,0,14000
291.75,84.805,3.775,0.187,104838,0,14000
292.0,75.792,3.438,0.174,104838,0,14000
292.25,72.301,3.214,0.21,104838,0,14000
292.5,71.632,2.977,0.232,104838,0,14000
292.75,71.392,2.842,0.223,104838,0,14000
293.0,70.478,2.774,0.228,104838,0,14000
293.25,70.913,2.811,0.241,104838,0,14000
293.5,78.771,3.003,0.212,104838,0,14000
293.75,88.778,3.262,0.194,104838,0,14000
294.0,95.225,3.412,0.188,104838,0,14000
294.25,99.035,3.537,0.177,104838,0,14000
294.5,100.206,3.518,0.155,104838,0,14000
294.75,101.009,3.383,0.134,104838,0,14000
295.0,103.224,3.247,0.182,104838,0,14000
295.25,105.376,3.094,0.2,104838,0,14000
295.5,98.082,3.037,0.217,104838,0,14000
295.75,86.186,2.959,0.238,104838,0,14000
296.0,77.786,2.921,0.264,104838,0,14000
296.25,73.559,2.884,0.28,104838,0,14000
296.5,73.258,2.852,0.292,104838,0,14000
296.75,73.571,2.853,0.302,104838,0,14000
297.0,74.189,2.902,0.308,104838,0,14000
297.25,76.895,3.002,0.304,104838,0,14000
297.5,83.344,3.159,0.286,104838,0,14000
297.75,85.925,3.238,0.267,104838,0,14000
298.0,84.458,3.312,0.255,104838,0,14000
298.25,81.212,3.389,0.255,104838,0,14000
298.5,78.457,3.415,0.263,104838,0,14000
298.75,81.163,3.441,0.248,104838,0,14000
299.0,83.868,3.461,0.23,104838,0,14000
299.25,84.487,3.469,0.215,104838,0,14000
299.5,84.983,3.483,0.21,104838,0,14000
299.75,87.566,3.503,0.225,104838,0,14000
300.0,92.664,3.57,0.227,104838,0,14000
300.25,93.713,3.673,0.214,104838,0,14000
300.5,92.86,3.879,0.223,104838,0,14000
300.75,91.331,4.112,0.234,104838,0,14000
301.0,90.662,4.318,0.237,104838,0,14000
301.25,88.091,4.535,0.243,104838,0,14000
301.5,81.165,4.562,0.251,104838,0,14000
301.75,74.544,4.453,0.261,104838,0,14000
302.0,68.844,4.363,0.275,104838,0,14000
302.25,71.12,4.204,0.286,104838,0,14000
302.5,74.193,4.028,0.296,104838,0,14000
302.75,77.39,3.917,0.289,104838,0,14000
303.0,80.647,3.852,0.261,104838,0,14000
303.25,81.818,3.846,0.24,104838,0,14000
303.5,82.131,3.847,0.228,104838,0,14000
303.75,81.462,3.899,0.23,104838,0,14000
304.0,78.891,3.922,0.237,104838,0,14000
304.25,79.02,3.959,0.215,104838,0,14000
304.5,80.313,3.961,0.192,104838,0,14000
304.75,84.369,3.932,0.179,104838,0,14000
