DEPT,GR,ILD,DPHI,NPHI,SitID,Pick,Formation
182.88,101.956,2.9,0.236,0.574,114893,0,9500
183.13,99.596,2.855,0.222,0.561,114893,0,9500
183.38,99.357,2.817,0.205,0.555,114893,0,9500
183.63,101.496,2.739,0.165,0.569,114893,0,9500
183.88,104.362,2.731,0.185,0.596,114893,0,9500
184.13,108.158,2.749,0.254,0.586,114893,0,9500
184.38,110.101,2.813,0.242,0.584,114893,0,9500
184.63,110.32,2.899,0.232,0.573,114893,0,9500
184.88,108.227,2.999,0.229,0.551,114893,0,9500
185.13,104.148,3.12,0.218,0.541,114893,0,9500
185.38,103.579,3.216,0.22,0.545,114893,0,9500
185.63,103.733,3.32,0.221,0.545,114893,0,9500
185.88,105.543,3.447,0.225,0.536,114893,0,9500
186.13,109.075,3.54,0.249,0.522,114893,0,9500
186.38,106.45,3.543,0.255,0.545,114893,0,9500
186.63,107.465,3.476,0.234,0.566,114893,0,9500
186.88,110.335,3.367,0.214,0.592,114893,0,9500
187.13,106.256,3.322,0.202,0.592,114893,0,9500
187.38,104.827,3.306,0.213,0.579,114893,0,9500
187.63,106.172,3.304,0.21,0.579,114893,0,9500
187.88,108.774,3.325,0.213,0.584,114893,0,9500
188.13,102.381,3.415,0.232,0.58,114893,0,9500
188.38,93.804,3.759,0.233,0.552,114893,0,9500
188.63,87.674,4.412,0.235,0.545,114893,0,9500
188.88,80.353,5.684,0.23,0.557,114893,0,9500
189.13,71.975,8.174,0.221,0.549,114893,0,9500
189.38,63.727,10.805,0.214,0.523,114893,0,9500
189.63,59.321,13.795,0.247,0.494,114893,0,9500
189.88,60.466,16.308,0.3,0.512,114893,0,9500
190.13,61.549,19.353,0.331,0.524,114893,0,9500
190.38,55.556,21.977,0.354,0.513,114893,0,9500
190.63,52.73,24.916,0.328,0.454,114893,0,9500
190.88,51.363,25.963,0.319,0.442,114893,0,9500
191.13,51.257,26.813,0.331,0.448,114893,0,9500
191.38,51.743,27.581,0.348,0.464,114893,0,9500
191.63,52.032,28.377,0.336,0.466,114893,0,9500
191.88,50.804,29.358,0.335,0.481,114893,0,9500
192.13,50.158,30.319,0.337,0.488,114893,0,9500
192.38,48.066,30.396,0.344,0.489,114893,0,9500
192.63,44.714,30.427,0.337,0.479,114893,0,9500
192.88,42.359,30.742,0.336,0.473,114893,0,9500
193.13,41.453,30.488,0.334,0.469,114893,0,9500
193.38,41.81,30.023,0.333,0.447,114893,0,9500
193.63,42.03,29.234,0.326,0.443,114893,0,9500
193.88,42.449,28.06,0.323,0.448,114893,0,9500
194.13,45.846,27.185,0.332,0.456,114893,0,9500
194.38,47.259,26.81,0.333,0.47,114893,0,9500
194.63,44.969,26.309,0.329,0.463,114893,0,9500
194.88,43.138,25.991,0.324,0.468,114893,0,9500
195.13,44.289,25.408,0.325,0.471,114893,0,9500
195.38,45.303,24.883,0.331,0.456,114893,0,9500
195.63,45.457,24.587,0.333,0.455,114893,0,9500
195.88,45.217,24.43,0.331,0.455,114893,0,9500
196.13,45.111,24.232,0.331,0.455,114893,0,9500
196.38,44.935,24.168,0.326,0.458,114893,0,9500
196.63,44.296,24.372,0.321,0.447,114893,0,9500
196.88,43.987,24.799,0.318,0.445,114893,0,9500
197.13,42.226,26.32,0.329,0.442,114893,0,9500
197.38,41.392,29.622,0.338,0.431,114893,0,9500
197.63,41.413,32.372,0.333,0.424,114893,0,9500
197.88,41.635,34.86,0.319,0.428,114893,0,9500
198.13,39.674,37.135,0.319,0.418,114893,0,9500
198.38,37.447,38.486,0.318,0.429,114893,0,9500
198.63,38.411,39.819,0.315,0.441,114893,0,9500
198.88,39.081,40.742,0.317,0.438,114893,0,9500
199.13,37.452,41.15,0.318,0.425,114893,0,9500
199.38,34.496,41.269,0.319,0.429,114893,0,9500
199.63,33.793,41.317,0.313,0.45,114893,0,9500
199.88,35.008,41.119,0.307,0.448,114893,0,9500
200.13,35.891,41.011,0.309,0.448,114893,0,9500
200.38,36.644,40.751,0.315,0.45,114893,0,9500
200.63,36.731,40.647,0.33,0.453,114893,0,9500
200.88,37.814,40.688,0.319,0.457,114893,0,9500
201.13,39.49,40.803,0.322,0.462,114893,0,9500
201.38,41.499,41.443,0.328,0.456,114893,0,9500
201.63,40.595,42.408,0.326,0.451,114893,0,9500
201.88,38.702,42.76,0.306,0.445,114893,0,9500
202.13,39.452,42.723,0.297,0.444,114893,0,9500
202.38,40.933,42.534,0.307,0.462,114893,0,9500
202.63,41.22,42.413,0.321,0.465,114893,0,9500
202.88,40.448,42.151,0.306,0.461,114893,0,9500
203.13,40.209,42.128,0.311,0.469,114893,0,9500
203.38,39.639,42.158,0.32,0.471,114893,0,9500
203.63,39.86,41.963,0.297,0.457,114893,0,9500
203.88,40.344,41.778,0.291,0.457,114893,0,9500
204.13,39.64,41.515,0.301,0.455,114893,0,9500
204.38,37.219,41.252,0.308,0.448,114893,0,9500
204.63,35.453,41.063,0.309,0.448,114893,0,9500
204.88,35.477,40.808,0.311,0.458,114893,0,9500
205.13,39.933,40.635,0.308,0.455,114893,0,9500
205.38,40.626,40.67,0.308,0.45,114893,0,9500
205.63,40.246,40.708,0.309,0.453,114893,0,9500
205.88,39.142,40.597,0.317,0.458,114893,0,9500
206.13,41.415,40.27,0.327,0.465,114893,0,9500
206.38,42.765,40.013,0.325,0.473,114893,0,9500
206.63,42.851,39.84,0.323,0.474,114893,0,9500
206.88,43.142,39.652,0.321,0.453,114893,0,9500
207.13,42.633,39.401,0.312,0.439,114893,0,9500
207.38,42.461,39.08,0.302,0.453,114893,0,9500
207.63,43.147,38.762,0.295,0.453,114893,0,9500
207.88,43.635,38.449,0.286,0.447,114893,0,9500
208.13,43.988,38.067,0.27,0.474,114893,0,9500
208.38,46.918,37.21,0.262,0.475,114893,0,9500
208.63,48.464,36.436,0.267,0.469,114893,0,9500
208.88,48.686,35.226,0.286,0.467,114893,0,9500
209.13,49.109,33.811,0.307,0.471,114893,0,9500
209.38,49.333,32.448,0.313,0.479,114893,0,9500
209.63,50.08,31.2,0.311,0.484,114893,0,9500
209.88,52.421,30.22,0.304,0.474,114893,0,9500
210.13,56.61,29.862,0.291,0.47,114893,0,9500
210.38,61.728,29.297,0.274,0.48,114893,0,9500
210.63,69.891,28.637,0.241,0.48,114893,0,9500
210.88,75.406,27.585,0.212,0.453,114893,0,9500
211.13,82.376,25.151,0.293,0.453,114893,0,9500
211.38,86.434,22.11,0.315,0.466,114893,0,9500
211.63,79.511,18.199,0.312,0.47,114893,0,9500
211.88,69.94,15.765,0.307,0.471,114893,0,9500
212.13,64.737,13.934,0.286,0.476,114893,0,9500
212.38,64.297,12.16,0.27,0.484,114893,0,9500
212.63,65.645,10.827,0.195,0.486,114893,0,9500
212.88,65.999,9.448,0.184,0.451,114893,0,9500
213.13,69.727,8.679,0.228,0.466,114893,0,9500
213.38,77.36,8.736,0.237,0.488,114893,0,9500
213.63,74.806,9.187,0.227,0.508,114893,0,9500
213.88,71.782,10.703,0.244,0.52,114893,0,9500
214.13,69.027,12.244,0.278,0.508,114893,0,9500
214.38,67.199,12.506,0.269,0.513,114893,0,9500
214.63,69.935,9.342,0.294,0.467,114893,0,9500
214.88,78.755,7.225,0.291,0.466,114893,0,9500
215.13,90.159,5.871,0.237,0.493,114893,0,9500
215.38,98.651,4.676,0.206,0.514,114893,0,9500
215.63,100.99,4.999,0.178,0.568,114893,0,9500
215.88,96.914,5.91,0.234,0.584,114893,0,9500
216.13,90.914,8.133,0.246,0.489,114893,0,9500
216.38,82.007,11.997,0.253,0.455,114893,0,9500
216.63,81.698,19.111,0.27,0.449,114893,0,9500
