DEPT,GR,ILD,DPHI,NPHI,SitID,Pick,Formation,VSH,RESD
95.0,85.313,3.588,0.218,0.49,114442,0,9500,0.6190213960874181,1.2775977312606703
95.3,85.933,3.458,0.216,0.431,114442,0,9500,0.6278331238048033,1.2406932791019145
95.6,87.164,3.397,0.222,0.415,114442,0,9500,0.6453286670630307,1.222895632948032
95.9,78.036,3.597,0.242,0.46,114442,0,9500,0.5155972951206256,1.2801029448041457
96.2,53.674,4.107,0.422,0.53,114442,0,9500,0.16935324568363247,1.412695269838757
96.5,44.547,4.348,0.43,0.454,114442,0,9500,0.03963608620528765,1.4697182691643218
96.8,47.605,4.353,0.406,0.318,114442,0,9500,0.0830978013016806,1.4708675598337748
97.1,79.913,3.821,0.264,0.317,114442,0,9500,0.5422740901618059,1.3405147855772765
97.4,90.894,3.416,0.252,0.467,114442,0,9500,0.6983411580079443,1.228473203322507
97.7,93.345,2.833,0.252,0.492,114442,0,9500,0.7331759074197359,1.0413397506691882
98.0,89.091,2.534,0.266,0.507,114442,0,9500,0.6727160853072259,0.9298030282210737
98.3,87.275,2.353,0.271,0.513,114442,0,9500,0.6469062505737239,0.8556953596299475
98.6,90.334,2.311,0.266,0.444,114442,0,9500,0.6903821781341771,0.8376846584139938
98.9,87.302,2.358,0.236,0.445,114442,0,9500,0.647289987103352,0.8578180429882902
99.2,88.533,2.497,0.237,0.508,114442,0,9500,0.6647855303615794,0.9150940160953839
99.5,92.809,2.594,0.243,0.504,114442,0,9500,0.725558026683416,0.9532049409369371
99.8,96.479,2.646,0.236,0.477,114442,0,9500,0.7777177697847116,0.973052844975116
100.1,98.319,2.699,0.236,0.595,114442,0,9500,0.803868703655661,0.9928850391049578
100.4,97.722,2.752,0.233,0.601,114442,0,9500,0.7953838626116626,1.0123315537854254
100.7,92.249,2.859,0.227,0.51,114442,0,9500,0.7175990468096487,1.0504754110605354
101.0,88.607,3.028,0.227,0.479,114442,0,9500,0.6658372527020414,1.1079056380796566
101.3,89.228,3.089,0.215,0.454,114442,0,9500,0.6746631928834868,1.1278506512248272
101.6,98.382,3.093,0.204,0.419,114442,0,9500,0.8047640888914598,1.1291447268047219
101.9,100.833,3.095,0.221,0.433,114442,0,9500,0.8395988383032514,1.1297911371491103
102.2,99.623,3.098,0.229,0.484,114442,0,9500,0.8224017567902903,1.1307599698784279
102.5,96.591,3.101,0.23,0.438,114442,0,9500,0.779309565759465,1.1317278648793168
102.8,97.821,3.104,0.223,0.445,114442,0,9500,0.7967908965536322,1.1326948239652674
103.1,93.567,3.106,0.216,0.515,114442,0,9500,0.7363310744411221,1.1333389442963286
103.4,95.412,3.109,0.223,0.544,114442,0,9500,0.7625530706323731,1.1343043475397618
103.7,97.247,3.112,0.238,0.559,114442,0,9500,0.7886329421830208,1.1352688196785916
104.0,92.384,3.056,0.223,0.567,114442,0,9500,0.719517729457789,1.117110143550229
104.3,93.617,3.06,0.213,0.562,114442,0,9500,0.7370416976441372,1.1184181839328058
104.6,99.115,3.062,0.212,0.582,114442,0,9500,0.8151818250476585,1.1190715630694799
104.9,101.563,3.123,0.212,0.583,114442,0,9500,0.8499739370672694,1.1387972803451267
105.2,97.918,3.308,0.222,0.448,114442,0,9500,0.7981695055674813,1.1963468001314828
105.5,91.228,3.436,0.222,0.416,114442,0,9500,0.7030881210040839,1.2343109144786586
105.8,83.929,3.709,0.204,0.382,114442,0,9500,0.5993513458279649,1.3107649946483326
106.1,84.549,3.927,0.191,0.355,114442,0,9500,0.60816307354535,1.367878322065765
106.4,94.924,4.238,0.188,0.393,114442,0,9500,0.7556173881709475,1.4440938194469102
106.7,97.369,4.322,0.198,0.474,114442,0,9500,0.7903668627983773,1.4637205718256547
107.0,96.164,4.407,0.224,0.514,114442,0,9500,0.7732408436057175,1.4831964549745889
107.3,75.458,4.939,0.235,0.541,114442,0,9500,0.4789575627731759,1.5971649062577946
107.6,66.938,5.429,0.152,0.462,114442,0,9500,0.3578673689794324,1.6917567968814629
107.9,59.031,6.434,0.154,0.441,114442,0,9500,0.24548941565465177,1.8615979830587104
108.2,63.312,7.626,0.212,0.453,114442,0,9500,0.3063329742967898,2.0315647727379478
108.5,70.637,8.873,0.225,0.442,114442,0,9500,0.41043927353847665,2.183014084867104
108.8,76.132,9.394,0.226,0.39,114442,0,9500,0.48853676354981723,2.240072252113498
109.1,74.314,9.949,0.224,0.424,114442,0,9500,0.4626985038881943,2.297473048732861
109.4,67.623,9.956,0.215,0.45,114442,0,9500,0.36760290686073693,2.2981763889242868
109.7,67.639,9.78,0.215,0.427,114442,0,9500,0.36783030628570157,2.2803405065410907
110.0,69.477,9.254,0.226,0.42,114442,0,9500,0.39395281522853043,2.2250569710980126
110.3,69.486,9.092,0.232,0.436,114442,0,9500,0.3940807274050731,2.207396005857708
110.6,65.234,8.931,0.227,0.46,114442,0,9500,0.33364933022068355,2.189529490396565
110.9,63.418,9.105,0.215,0.476,114442,0,9500,0.3078394954871815,2.2088248114766067
111.2,68.305,9.465,0.209,0.481,114442,0,9500,0.37729580734986057,2.247601841184764
111.5,73.802,9.837,0.222,0.465,114442,0,9500,0.45542172228932165,2.286151803100197
111.8,69.551,9.662,0.236,0.48,114442,0,9500,0.39500453756899245,2.2682017011140845
112.1,67.734,9.49,0.262,0.398,114442,0,9500,0.3691804903714299,2.250239666362061
112.4,76.279,9.68,0.257,0.432,114442,0,9500,0.490625995766681,2.270062934345803
112.7,78.118,9.87,0.172,0.459,114442,0,9500,0.51676271717357,2.2895008666161027
113.0,67.77,10.854,0.176,0.515,114442,0,9500,0.3696921390776007,2.3845345969601177
113.3,54.987,11.931,0.265,0.412,114442,0,9500,0.1880142109948045,2.4791408930460235
113.6,59.265,16.746,0.308,0.412,114442,0,9500,0.24881513224476165,2.818160020939592
113.9,53.187,21.399,0.319,0.456,114442,0,9500,0.16243177568626707,3.063344659275458
114.2,51.366,21.832,0.325,0.471,114442,0,9500,0.13655087863246346,3.083377241449172
114.5,58.081,20.268,0.319,0.378,114442,0,9500,0.2319875747973682,3.0090437810021347
114.8,66.624,17.783,0.307,0.379,114442,0,9500,0.35340465526449855,2.8782435070961796
115.1,69.078,14.752,0.264,0.456,114442,0,9500,0.3882820420684713,2.691379344688195
115.4,63.603,12.468,0.226,0.483,114442,0,9500,0.31046880133833676,2.523166163958025
115.7,61.787,11.795,0.246,0.515,114442,0,9500,0.28465896660483453,2.4676765606761504
116.0,63.627,10.75,0.297,0.481,114442,0,9500,0.31080990047578394,2.374906684805797
116.3,74.0,9.084,0.281,0.306,114442,0,9500,0.45823579017326066,2.206515725079342
116.6,83.153,5.793,0.235,0.363,114442,0,9500,0.5883224737171733,1.7566520183342986
116.9,88.038,4.457,0.235,0.53,114442,0,9500,0.6577503606517315,1.4944781376235574
117.2,86.226,3.839,0.239,0.581,114442,0,9500,0.6319973757744706,1.3452145208602797
117.5,81.969,3.632,0.237,0.404,114442,0,9500,0.5714949162697797,1.2897862140392213
117.8,72.234,3.635,0.222,0.381,114442,0,9500,0.4331365786427734,1.2906118620133353
118.1,86.87,3.85,0.203,0.375,114442,0,9500,0.641150202629303,1.348075745698917
118.4,88.71,4.65,0.206,0.471,114442,0,9500,0.6673011365002521,1.536869370134587
118.7,79.582,5.831,0.238,0.509,114442,0,9500,0.537569764557847,1.7631902272102513
119.0,71.062,7.174,0.281,0.472,114442,0,9500,0.4164795707641035,1.9704647730316172
119.3,57.06,10.654,0.301,0.424,114442,0,9500,0.21747664899180338,2.365936347108972
119.6,47.324,16.122,0.315,0.398,114442,0,9500,0.07910409890073672,2.7801854191316546
119.9,44.29,19.108,0.327,0.394,114442,0,9500,0.035983482941790955,2.9501076188685875
120.2,46.131,21.416,0.332,0.418,114442,0,9500,0.062148629276800586,3.0641387731585477
120.5,49.801,21.428,0.334,0.447,114442,0,9500,0.11430837237809627,3.0646989446977164
120.8,51.032,20.662,0.334,0.457,114442,0,9500,0.13180391563632368,3.02829674840739
121.1,52.262,20.289,0.328,0.449,114442,0,9500,0.14928524643049096,3.0100793601387053
121.4,52.276,17.482,0.324,0.42,114442,0,9500,0.14948422092733518,2.861172352175064
121.7,52.893,16.232,0.312,0.396,114442,0,9500,0.15825331125253933,2.786985218590352
122.0,54.736,15.644,0.299,0.426,114442,0,9500,0.1844468825156695,2.7500880961157685
122.3,53.529,14.801,0.29,0.454,114442,0,9500,0.16729243839488925,2.694695421684848
122.6,51.107,14.814,0.308,0.484,114442,0,9500,0.13286985044084612,2.6955733546279967
122.9,57.817,15.692,0.319,0.511,114442,0,9500,0.22823548428544935,2.7531516656145003
123.2,59.049,16.005,0.314,0.464,114442,0,9500,0.24574524000773715,2.7729017982263797
123.5,49.313,16.015,0.3,0.454,114442,0,9500,0.10737268991667058,2.7735264074755377
123.8,51.761,15.727,0.287,0.466,114442,0,9500,0.14216480193628142,2.755379616357563
124.1,52.388,15.161,0.301,0.442,114442,0,9500,0.15107601690208855,2.7187270006863256
124.4,52.395,13.308,0.314,0.449,114442,0,9500,0.1511755041505107,2.5883661095836605
124.7,57.894,11.678,0.302,0.423,114442,0,9500,0.2293298440180923,2.4577075861719915
125.0,63.39,10.442,0.257,0.412,114442,0,9500,0.30744154649349315,2.3458370926588463
125.3,64.618,10.068,0.236,0.401,114442,0,9500,0.3248944523595397,2.3093630705185038
125.6,68.289,11.068,0.235,0.405,114442,0,9500,0.3770684079248957,2.404058965429873
125.9,68.299,12.635,0.27,0.436,114442,0,9500,0.37721053256549875,2.5364715322921594
126.2,68.314,14.154,0.292,0.463,114442,0,9500,0.377423719526403,2.649997976167403
126.5,67.721,15.566,0.304,0.488,114442,0,9500,0.3689957283386462,2.7450896909627898
126.8,68.338,15.873,0.309,0.445,114442,0,9500,0.3777648186638502,2.764620182590536
127.1,73.833,13.416,0.304,0.369,114442,0,9500,0.4558623086751908,2.596448769899282
127.4,82.376,10.324,0.255,0.373,114442,0,9500,0.5772793891423214,2.3344722504727136
127.7,92.139,8.564,0.201,0.413,114442,0,9500,0.7160356757630159,2.1475685384054093
128.0,100.073,7.102,0.206,0.433,114442,0,9500,0.8287973656174245,1.9603778425739742
128.3,93.992,6.978,0.239,0.378,114442,0,9500,0.7423713716667492,1.9427637758389351
128.6,84.257,7.673,0.239,0.379,114442,0,9500,0.6040130340397429,2.0377089764658898
128.9,79.396,8.435,0.229,0.429,114442,0,9500,0.5349262462426316,2.132390901533684
129.2,78.184,9.997,0.237,0.434,114442,0,9500,0.5177007398015497,2.3022860482846332
129.5,78.2,11.199,0.242,0.372,114442,0,9500,0.5179281392265146,2.415825381537027
129.8,80.038,11.642,0.227,0.373,114442,0,9500,0.5440506481693432,2.4546201078081165
130.1,83.705,11.653,0.207,0.409,114442,0,9500,0.596167753878458,2.4555645157388746
130.4,89.207,10.821,0.206,0.432,114442,0,9500,0.6743647311382205,2.381489614718093
130.7,90.436,10.43,0.213,0.428,114442,0,9500,0.6918318494683277,2.344687227784992
131.0,91.058,10.242,0.217,0.454,114442,0,9500,0.7006720021138333,2.3264978894116846
131.3,91.068,10.849,0.215,0.398,114442,0,9500,0.7008141267544361,2.3840738315838284
131.6,92.301,10.855,0.219,0.358,114442,0,9500,0.7183380949407843,2.384626724564285
131.9,97.191,9.892,0.201,0.36,114442,0,9500,0.7878370441956442,2.291727360576572
132.2,99.637,7.612,0.195,0.393,114442,0,9500,0.8226007312871344,2.0297272631482266
132.5,99.648,6.808,0.205,0.436,114442,0,9500,0.8227570683917976,1.9180998601301587
132.8,88.693,6.942,0.207,0.377,114442,0,9500,0.6670595246112271,1.9375913579456154
133.1,82.004,7.925,0.19,0.332,114442,0,9500,0.5719923525118903,2.070023581592201
133.4,82.014,8.236,0.179,0.312,114442,0,9500,0.5721344771524931,2.1085160033464474
133.7,90.558,7.504,0.174,0.315,114442,0,9500,0.693565770083684,2.015437544325637
134.0,97.881,5.884,0.164,0.336,114442,0,9500,0.7976436443972501,1.77223850226188
134.3,107.039,5.361,0.155,0.377,114442,0,9500,0.9278013902614642,1.6791523901672945
134.6,110.095,5.169,0.143,0.454,114442,0,9500,0.9712346804297365,1.6426811808222068
134.9,111.934,5.173,0.138,0.494,114442,0,9500,0.9973714018366255,1.6434547241337565
135.2,98.54,5.478,0.137,0.492,114442,0,9500,0.807009658212987,1.7007418963229732
135.5,100.38,5.693,0.141,0.425,114442,0,9500,0.8331605920839361,1.739239106510525
135.8,110.144,5.488,0.153,0.404,114442,0,9500,0.9719310911686913,1.7025657125793583
136.1,117.469,4.553,0.177,0.433,114442,0,9500,1.076037390410378,1.5157885527042851
136.4,113.825,3.848,0.185,0.522,114442,0,9500,1.0242471713746502,1.347556131552682
136.7,108.353,3.71,0.215,0.534,114442,0,9500,0.9464765680366964,1.3110345720335008
137.0,105.927,3.928,0.232,0.518,114442,0,9500,0.9119971302264123,1.3681329363138262
137.3,101.067,4.484,0.218,0.465,114442,0,9500,0.8429245548933612,1.5005177353590768
137.6,95.591,6.413,0.22,0.4,114442,0,9500,0.7650971016991664,1.8583287394981158
137.9,85.244,9.347,0.246,0.372,114442,0,9500,0.6180407360672575,2.235056506061862
138.2,91.355,10.085,0.254,0.398,114442,0,9500,0.7048931039397419,2.311050162977325
138.5,94.41,9.54,0.231,0.436,114442,0,9500,0.7483121816439539,2.255494533677675
138.8,93.812,8.532,0.211,0.423,114442,0,9500,0.7398131281358954,2.1438249726665513
139.1,97.482,7.629,0.2,0.396,114442,0,9500,0.7919728712371911,2.0319580858950164
139.4,104.807,6.574,0.192,0.392,114442,0,9500,0.8960791704788779,1.8831239963847708
139.7,108.474,6.576,0.202,0.428,114442,0,9500,0.9481962761879926,1.8834281784339877
140.0,109.706,6.965,0.226,0.456,114442,0,9500,0.9657060319102805,1.9408990429809176
140.3,99.968,7.95,0.259,0.46,114442,0,9500,0.8273050568910932,2.0731731865270846
140.6,69.515,9.601,0.312,0.368,114442,0,9500,0.3944928888628217,2.2618683012731156
140.9,64.653,13.992,0.35,0.357,114442,0,9500,0.32539188860165025,2.6384864524101563
141.2,63.444,15.973,0.339,0.432,114442,0,9500,0.30820901955274926,2.770900422864094
141.5,62.848,15.988,0.314,0.494,114442,0,9500,0.2997383909728113,2.771839066317983
141.8,63.469,14.569,0.312,0.503,114442,0,9500,0.30856433115425674,2.6788966700605314
142.1,66.529,12.787,0.307,0.455,114442,0,9500,0.3520544711787702,2.5484298118729893
142.4,70.805,11.219,0.304,0.404,114442,0,9500,0.41282696750060693,2.4176096609074698
142.7,76.303,9.846,0.31,0.497,114442,0,9500,0.49096709490412815,2.2870662969763624
143.0,78.753,9.493,0.305,0.52,114442,0,9500,0.5257876318518596,2.250555738306881
143.3,73.281,10.638,0.296,0.423,114442,0,9500,0.44801702851390607,2.3644334363460047
143.6,64.761,11.052,0.286,0.47,114442,0,9500,0.3269268347201624,2.402612311874369
143.9,61.116,12.154,0.282,0.501,114442,0,9500,0.27512240322037423,2.49765915648722
144.201,62.961,12.87,0.287,0.526,114442,0,9500,0.30134439941162505,2.5548997986085102
144.501,63.58,13.129,0.316,0.535,114442,0,9500,0.31014191466494984,2.574824285624316
144.801,64.205,13.386,0.333,0.472,114442,0,9500,0.31902470470263644,2.594210131727327
145.101,65.432,13.913,0.329,0.487,114442,0,9500,0.3364633981046228,2.6328243736117276
145.401,70.93,14.456,0.313,0.43,114442,0,9500,0.4146035255081442,2.6711102450439768
145.701,72.163,15.306,0.305,0.447,114442,0,9500,0.4321274936944922,2.7282455617260757
