DEPT,GR,ILD,DPHI,NPHI,SitID,Pick,Formation
225.0,93.982,3.678,0.263,0.472,111770,0,9500
225.25,98.975,3.611,0.259,0.481,111770,0,9500
225.5,95.878,3.544,0.269,0.481,111770,0,9500
225.75,99.004,3.414,0.274,0.5,111770,0,9500
226.0,92.173,3.289,0.249,0.526,111770,0,9500
226.25,92.811,3.229,0.25,0.506,111770,0,9500
226.5,92.828,3.17,0.264,0.484,111770,0,9500
226.75,95.332,3.171,0.252,0.479,111770,0,9500
227.0,100.325,3.232,0.244,0.473,111770,0,9500
227.25,98.473,3.358,0.234,0.475,111770,0,9500
227.5,96.621,3.488,0.24,0.479,111770,0,9500
227.75,89.788,3.624,0.221,0.5,111770,0,9500
228.0,91.049,3.765,0.207,0.491,111770,0,9500
228.25,95.421,3.911,0.247,0.514,111770,0,9500
228.5,99.17,3.987,0.251,0.493,111770,0,9500
228.75,92.34,4.065,0.228,0.488,111770,0,9500
229.0,97.332,4.144,0.211,0.474,111770,0,9500
229.25,105.44,4.224,0.219,0.471,111770,0,9500
229.5,99.229,4.226,0.23,0.486,111770,0,9500
229.75,86.797,4.308,0.227,0.47,111770,0,9500
230.0,93.034,4.31,0.209,0.487,111770,0,9500
230.25,95.539,4.312,0.214,0.503,111770,0,9500
230.5,92.442,4.232,0.223,0.483,111770,0,9500
230.75,95.568,4.155,0.222,0.467,111770,0,9500
231.0,105.542,4.003,0.228,0.483,111770,0,9500
231.25,111.783,3.929,0.26,0.5,111770,0,9500
231.5,103.706,3.857,0.281,0.517,111770,0,9500
231.75,103.72,3.787,0.262,0.5,111770,0,9500
232.0,99.378,3.934,0.263,0.491,111770,0,9500
232.25,95.66,4.086,0.236,0.473,111770,0,9500
232.5,91.939,4.245,0.229,0.465,111770,0,9500
232.75,101.29,4.247,0.232,0.478,111770,0,9500
233.0,95.703,4.169,0.223,0.477,111770,0,9500
233.25,101.945,4.016,0.227,0.462,111770,0,9500
233.5,101.957,3.942,0.242,0.461,111770,0,9500
