DEPT,GR,ILD,DPHI,NPHI,SitID,Pick,Formation,VSH,RESD
40.0,99.221,3.628,0.326,0.58,115468,0,2000,0.7045406642368661,1.2886842885886725
40.3,101.53,3.61,0.341,0.562,115468,0,2000,0.7368752767169189,1.2837105424240554
40.6,103.898,3.593,0.322,0.581,115468,0,2000,0.7700361092646731,1.278990291317044
40.9,106.329,3.507,0.305,0.602,115468,0,2000,0.8040791767999734,1.254763822593953
41.2,105.666,3.497,0.304,0.603,115468,0,2000,0.7947947038358006,1.251908317671088
41.5,103.573,3.514,0.318,0.582,115468,0,2000,0.7654848970273336,1.256757835520674
41.8,102.289,3.524,0.325,0.547,115468,0,2000,0.747504107757352,1.2595995457543563
42.1,99.209,3.541,0.301,0.541,115468,0,2000,0.7043726194773335,1.2644119971867787
42.4,101.766,3.523,0.321,0.584,115468,0,2000,0.7401801569877255,1.2593157378449955
42.7,101.098,3.492,0.299,0.611,115468,0,2000,0.7308256653737474,1.250477501661686
43.0,97.771,3.475,0.306,0.631,115468,0,2000,0.6842352557933509,1.2455973567104566
43.3,95.495,3.473,0.331,0.58,115468,0,2000,0.6523627664020126,1.245021653112816
43.6,93.652,3.462,0.319,0.556,115468,0,2000,0.6265538920838067,1.241849345253601
43.9,94.909,3.458,0.302,0.595,115468,0,2000,0.6441565806448404,1.2406932791019145
44.2,97.773,3.435,0.326,0.591,115468,0,2000,0.6842632632532729,1.2340198368782265
44.5,98.224,3.438,0.334,0.589,115468,0,2000,0.6905789454657043,1.2348928156242576
44.8,98.672,3.481,0.321,0.6,115468,0,2000,0.6968526164882524,1.2473224815628945
45.1,99.801,3.505,0.315,0.559,115468,0,2000,0.7126628276142721,1.2541933735495305
45.4,99.386,3.487,0.308,0.529,115468,0,2000,0.7068512796804384,1.2490446354840679
45.7,97.049,3.483,0.307,0.565,115468,0,2000,0.6741245627614765,1.247896862467885
46.0,92.975,3.478,0.289,0.599,115468,0,2000,0.6170733669001792,1.2464602911435991
46.3,97.884,3.423,0.275,0.607,115468,0,2000,0.6858176772789489,1.2305202809577453
46.6,98.458,3.329,0.278,0.563,115468,0,2000,0.6938558182765887,1.202674962493453
46.9,96.802,3.289,0.287,0.566,115468,0,2000,0.6706656414610984,1.1905866076401208
47.2,97.13,3.526,0.279,0.568,115468,0,2000,0.675258864888321,1.260166920046529
47.5,96.772,4.041,0.266,0.544,115468,0,2000,0.670245529562267,1.396494660728266
47.8,92.082,4.274,0.273,0.553,115468,0,2000,0.6045680360449661,1.45255249662281
48.1,89.063,4.311,0.261,0.544,115468,0,2000,0.5622907752925715,1.4611722154097206
48.4,89.639,4.138,0.281,0.556,115468,0,2000,0.5703569237501334,1.4202149959468207
48.7,90.396,3.964,0.286,0.541,115468,0,2000,0.5809577473306444,1.3772561391688987
49.0,90.1,3.789,0.277,0.562,115468,0,2000,0.5768126432621751,1.3321047712517724
49.3,89.561,3.807,0.269,0.562,115468,0,2000,0.569264632813172,1.3368441041371257
49.6,88.399,4.397,0.281,0.543,115468,0,2000,0.5529922985984377,1.4809247644740036
49.9,82.841,6.12,0.271,0.368,115468,0,2000,0.4751595674749498,1.8115637305098278
50.2,69.602,7.7,0.279,0.336,115468,0,2000,0.2897641865206759,2.0412216275600934
50.5,49.178,9.543,0.275,0.363,115468,0,2000,0.00375200579629393,2.255808949323072
50.8,35.507,7.787,0.322,0.422,115468,0,2000,-0.1876929865011515,2.052456960785626
51.1,42.215,6.629,0.434,0.51,115468,0,2000,-0.09375596592246192,1.8914554717812724
51.4,50.218,5.653,0.443,0.519,115468,0,2000,0.018315884955780758,1.732188146663816
51.7,59.709,6.141,0.321,0.392,115468,0,2000,0.1512252860160583,1.8149892237452199
52.0,45.359,7.45,0.229,0.306,115468,0,2000,-0.04972823892493664,2.0082153746724463
52.3,41.906,8.474,0.195,0.392,115468,0,2000,-0.09808311848042488,2.1370038322839164
52.6,45.514,8.118,0.255,0.446,115468,0,2000,-0.04755766078097466,2.094085050246447
52.9,58.599,4.903,0.276,0.492,115468,0,2000,0.13568114575929832,1.5898493022346278
53.2,74.592,3.301,0.312,0.549,115468,0,2000,0.35964279902629015,1.1942284822515024
53.5,89.349,2.683,0.324,0.549,115468,0,2000,0.5662958420614305,0.9869392986076183
53.8,96.177,2.483,0.323,0.56,115468,0,2000,0.6619133102354453,0.909471533904146
54.1,97.374,2.424,0.32,0.545,115468,0,2000,0.6786757749988159,0.8854231936110998
54.4,97.201,2.44,0.323,0.542,115468,0,2000,0.6762531297155552,0.892002137657368
54.7,98.454,2.518,0.314,0.602,115468,0,2000,0.6937998033567445,0.9234689070201471
55.0,92.278,2.638,0.292,0.601,115468,0,2000,0.6073127671173311,0.9700248450385066
55.3,91.798,2.76,0.291,0.586,115468,0,2000,0.6005909767360295,1.0152343029109006
55.6,99.064,2.952,0.306,0.578,115468,0,2000,0.7023420786329819,1.0824862942663638
55.9,100.627,3.22,0.309,0.566,115468,0,2000,0.7242299085620951,1.1693844651415568
56.2,99.774,3.478,0.289,0.542,115468,0,2000,0.712284726905324,1.2464602911435991
56.5,98.242,3.645,0.287,0.562,115468,0,2000,0.6908310126050031,1.2933591089410832
56.8,93.984,3.761,0.288,0.573,115468,0,2000,0.6312031304308736,1.3246875383519872
57.1,94.682,3.722,0.298,0.546,115468,0,2000,0.6409777339436831,1.3142638449440156
57.4,97.421,3.732,0.262,0.521,115468,0,2000,0.6793339503069852,1.3169469625099106
57.7,97.007,3.864,0.262,0.521,115468,0,2000,0.6735364061031126,1.3517055043386412
58.0,96.218,3.899,0.279,0.509,115468,0,2000,0.6624874631638481,1.3607226747573662
58.3,98.276,3.807,0.287,0.531,115468,0,2000,0.6913071394236785,1.3368441041371257
58.6,99.039,3.504,0.261,0.577,115468,0,2000,0.7019919853839559,1.2539080269513512
58.9,100.909,3.182,0.291,0.59,115468,0,2000,0.72817896041111,1.1575130725882181
59.2,103.589,3.053,0.274,0.578,115468,0,2000,0.7657089567067104,1.1161279892141305
59.5,101.189,3.206,0.265,0.56,115468,0,2000,0.7321000048002024,1.1650271733340873
59.8,100.09,3.716,0.263,0.552,115468,0,2000,0.7167099055730142,1.3126505120136331
60.1,100.787,4.006,0.258,0.54,115468,0,2000,0.7264705053558626,1.3877957334961275
60.4,98.078,4.189,0.244,0.532,115468,0,2000,0.6885344008913917,1.4324644291666317
60.7,99.951,4.266,0.257,0.524,115468,0,2000,0.7147633871084288,1.4506789641626794
61.0,96.561,4.11,0.26,0.518,115468,0,2000,0.6672907425404866,1.4134254615952075
61.3,94.842,3.958,0.252,0.508,115468,0,2000,0.6432183307374503,1.3757413737057322
61.6,91.33,3.994,0.242,0.511,115468,0,2000,0.5940372311142603,1.3847957387461225
61.9,89.985,4.192,0.264,0.505,115468,0,2000,0.575202214316655,1.4331803325120789
62.2,92.228,4.615,0.281,0.518,115468,0,2000,0.6066125806192787,1.5293140347997052
62.5,90.322,5.633,0.24,0.421,115468,0,2000,0.5799214713135271,1.7286439351639746
62.8,76.342,8.208,0.23,0.328,115468,0,2000,0.3841493264581188,2.105110506751258
63.1,57.84,14.612,0.262,0.329,115468,0,2000,0.1250523147188653,2.6818437933018138
63.4,49.371,23.024,0.329,0.363,115468,0,2000,0.006454725678775673,3.136537584474313
63.7,49.885,29.695,0.313,0.387,115468,0,2000,0.013652642878752716,3.3909790182247965
64.0,55.103,25.079,0.352,0.397,115468,0,2000,0.08672410581548527,3.222031241301403
64.3,55.552,21.592,0.351,0.419,115468,0,2000,0.09301178056799443,3.0723233388500906
64.6,54.64,18.835,0.341,0.433,115468,0,2000,0.08024037884352145,2.93571737207033
64.9,54.094,16.781,0.327,0.387,115468,0,2000,0.07259434228479092,2.8202478899308905
65.2,55.164,15.479,0.308,0.396,115468,0,2000,0.08757833334310902,2.7394849126280976
65.5,62.552,13.792,0.304,0.405,115468,0,2000,0.19103789029530902,2.624089438979079
65.8,67.282,12.958,0.29,0.419,115468,0,2000,0.25727553301105155,2.561714129751499
66.1,66.981,12.386,0.267,0.414,115468,0,2000,0.253060410292777,2.5165676098786953
66.4,63.404,12.216,0.269,0.39,115468,0,2000,0.20296906822211938,2.5027473865145553
66.7,71.723,12.039,0.267,0.406,115468,0,2000,0.3194660977680522,2.488152210586318
67.0,74.771,12.21,0.242,0.421,115468,0,2000,0.3621494666893172,2.502256107123097
67.3,74.601,12.792,0.25,0.422,115468,0,2000,0.35976883259593956,2.548820757269934
67.6,79.263,13.505,0.247,0.419,115468,0,2000,0.42505422167433116,2.603060727710799
67.9,75.192,13.289,0.279,0.423,115468,0,2000,0.368045037002917,2.586937377851157
68.2,73.532,12.857,0.269,0.424,115468,0,2000,0.3447988452675825,2.5538891878882293
68.5,78.07,11.629,0.233,0.449,115468,0,2000,0.40834777183080434,2.453502838229704
68.8,86.022,10.361,0.211,0.454,115468,0,2000,0.519705432481034,2.3380497224269523
69.1,88.568,9.179,0.244,0.43,115468,0,2000,0.5553589289618542,2.216919355679655
69.4,92.178,8.257,0.231,0.451,115468,0,2000,0.6059123941212264,2.1110625365281757
69.7,92.687,7.555,0.269,0.45,115468,0,2000,0.6130402926713984,2.022210919350564
70.0,90.103,7.365,0.292,0.467,115468,0,2000,0.5768546544520582,1.9967404076869237
70.3,85.041,7.526,0.286,0.483,115468,0,2000,0.5059677733892487,2.018365020897442
70.6,82.521,8.052,0.292,0.479,115468,0,2000,0.4706783738874155,2.0859217497042453
70.9,81.046,9.072,0.286,0.472,115468,0,2000,0.4500228721948743,2.2051938492775576
71.2,78.897,10.636,0.284,0.476,115468,0,2000,0.4199288565085887,2.364245413583415
71.5,77.61,11.578,0.309,0.482,115468,0,2000,0.40190605604872376,2.4491076093634705
71.8,72.859,11.262,0.278,0.47,115468,0,2000,0.3353743350037992,2.4214351147737836
72.1,71.2,10.325,0.299,0.47,115468,0,2000,0.31214214699842574,2.3345691073696297
72.4,74.872,9.575,0.262,0.486,115468,0,2000,0.3635638434153827,2.259156579452587
72.7,74.392,9.53,0.262,0.462,115468,0,2000,0.3568420530340811,2.2544457669835034
73.0,70.883,10.274,0.276,0.477,115468,0,2000,0.3077029646007744,2.3296174053753402
73.3,70.212,11.953,0.292,0.516,115468,0,2000,0.29830646179691334,2.48098312950555
73.6,74.132,14.425,0.286,0.439,115468,0,2000,0.35320108324420957,2.668963505634824
73.9,74.767,18.71,0.3,0.435,115468,0,2000,0.36209345176947294,2.929058674759399
74.2,67.102,25.994,0.34,0.436,115468,0,2000,0.2547548616180636,3.257866126863485
74.5,62.533,34.106,0.327,0.423,115468,0,2000,0.1907718194260492,3.5294736150942216
74.8,66.825,34.929,0.286,0.436,115468,0,2000,0.25087582841885414,3.5533177160180034
75.1,63.123,28.074,0.266,0.43,115468,0,2000,0.19903402010306567,3.3348442373135385
75.4,54.346,19.156,0.288,0.414,115468,0,2000,0.07612328223497418,2.952616504509878
75.7,52.874,10.046,0.302,0.423,115468,0,2000,0.055509791732316106,2.3071755407484207
76.0,61.812,6.724,0.322,0.436,115468,0,2000,0.18067513012413575,1.9056847027552573
76.3,70.376,4.923,0.269,0.503,115468,0,2000,0.30060307351052473,1.5939201320557392
76.6,77.761,4.411,0.238,0.54,115468,0,2000,0.4040206192728415,1.4841036881798564
76.9,87.56,4.226,0.278,0.548,115468,0,2000,0.541243169161121,1.4412582854948985
77.2,96.122,5.031,0.308,0.557,115468,0,2000,0.6611431050875878,1.6156207591836123
77.5,95.273,6.513,0.324,0.559,115468,0,2000,0.6492539383506606,1.8738017149538426
77.8,84.761,8.226,0.354,0.525,115468,0,2000,0.5020467290001561,2.1073010854651644
78.1,77.098,10.469,0.362,0.43,115468,0,2000,0.39473614630866877,2.3484194645378316
78.4,74.261,12.801,0.33,0.419,115468,0,2000,0.3550075644091842,2.5495240740626373
78.7,75.577,13.06,0.302,0.436,115468,0,2000,0.3734364730379194,2.5695548895447757
79.0,81.049,12.176,0.265,0.422,115468,0,2000,0.4500648833847574,2.499467622406772
79.3,85.582,11.293,0.266,0.459,115468,0,2000,0.513543791298174,2.424183950245436
79.6,89.129,10.883,0.228,0.47,115468,0,2000,0.5632150214700006,2.387202857577786
79.9,89.208,10.706,0.269,0.435,115468,0,2000,0.564321316136923,2.370805266026423
80.2,89.469,10.754,0.26,0.451,115468,0,2000,0.5679762896567557,2.3752787082736075
80.5,91.967,10.89,0.228,0.472,115468,0,2000,0.602957607099446,2.3878458552180932
80.8,92.728,11.234,0.236,0.46,115468,0,2000,0.6136144455998012,2.4189457842647317
81.1,92.99,11.465,0.273,0.435,115468,0,2000,0.6172834228495949,2.439299788529287
81.4,92.138,11.63,0.241,0.435,115468,0,2000,0.6053522449227848,2.453588826375431
81.7,89.425,12.347,0.25,0.43,115468,0,2000,0.5673601255384697,2.513413928498618
82.0,83.443,14.173,0.276,0.45,115468,0,2000,0.4835898129114989,2.6513394517514426
82.3,79.43,15.84,0.303,0.437,115468,0,2000,0.42739284457782567,2.7625390176992117
82.6,76.409,16.262,0.312,0.439,115468,0,2000,0.3850875763655089,2.7888317127159694
82.9,74.997,16.524,0.293,0.434,115468,0,2000,0.36531430966051337,2.8048144747146786
