DEPT,GR,ILD,DPHI,NPHI,SitID,Pick,Formation
375.0,114.664,3.644,0.206,0.424,178271,0,11000
375.25,116.486,3.459,0.209,0.433,178271,0,11000
375.5,113.031,3.397,0.216,0.446,178271,0,11000
375.75,112.532,3.282,0.219,0.456,178271,0,11000
376.0,117.877,3.287,0.21,0.447,178271,0,11000
376.25,121.435,3.293,0.212,0.432,178271,0,11000
376.5,122.088,3.424,0.22,0.417,178271,0,11000
376.75,118.065,3.628,0.229,0.388,178271,0,11000
377.0,105.26,3.985,0.249,0.332,178271,0,11000
377.25,60.879,4.46,0.268,0.298,178271,0,11000
377.5,49.242,5.58,0.257,0.294,178271,0,11000
377.75,39.96,7.514,0.215,0.302,178271,0,11000
378.0,42.968,10.311,0.184,0.309,178271,0,11000
378.25,38.945,12.427,0.168,0.318,178271,0,11000
378.5,34.906,12.457,0.201,0.326,178271,0,11000
378.75,31.468,11.38,0.241,0.319,178271,0,11000
379.0,28.614,10.396,0.27,0.311,178271,0,11000
379.25,26.362,9.85,0.279,0.31,178271,0,11000
379.5,29.92,8.998,0.273,0.304,178271,0,11000
379.75,34.663,7.922,0.267,0.295,178271,0,11000
380.0,46.437,6.722,0.273,0.296,178271,0,11000
380.25,57.025,5.81,0.288,0.34,178271,0,11000
380.5,57.678,5.213,0.288,0.367,178271,0,11000
380.75,61.854,5.221,0.281,0.369,178271,0,11000
381.0,70.105,5.231,0.271,0.393,178271,0,11000
381.25,67.251,5.243,0.261,0.382,178271,0,11000
381.5,60.306,5.352,0.259,0.385,178271,0,11000
381.75,56.868,5.667,0.274,0.405,178271,0,11000
382.0,40.556,6.827,0.297,0.361,178271,0,11000
382.25,28.369,8.701,0.307,0.358,178271,0,11000
382.5,33.113,9.387,0.307,0.362,178271,0,11000
382.75,32.597,9.759,0.312,0.349,178271,0,11000
383.0,30.912,9.423,0.312,0.337,178271,0,11000
383.25,36.223,7.429,0.306,0.34,178271,0,11000
383.5,50.335,6.784,0.298,0.349,178271,0,11000
383.75,61.507,5.756,0.285,0.368,178271,0,11000
384.0,75.034,5.065,0.28,0.41,178271,0,11000
384.25,79.795,4.068,0.289,0.438,178271,0,11000
384.5,74.587,3.582,0.29,0.431,178271,0,11000
384.75,72.902,3.333,0.28,0.425,178271,0,11000
385.0,84.676,3.463,0.276,0.419,178271,0,11000
385.25,87.099,3.879,0.295,0.421,178271,0,11000
385.5,88.336,3.479,0.339,0.428,178271,0,11000
385.75,82.543,3.237,0.346,0.44,178271,0,11000
386.0,55.695,3.427,0.319,0.43,178271,0,11000
386.25,50.504,4.616,0.3,0.412,178271,0,11000
386.5,42.975,5.88,0.303,0.404,178271,0,11000
386.75,34.26,6.961,0.299,0.365,178271,0,11000
387.0,30.255,7.791,0.309,0.339,178271,0,11000
387.25,39.674,7.523,0.302,0.345,178271,0,11000
387.5,60.231,6.876,0.31,0.367,178271,0,11000
387.75,62.637,6.164,0.319,0.405,178271,0,11000
388.0,64.458,5.132,0.312,0.416,178271,0,11000
388.25,63.925,3.97,0.301,0.441,178271,0,11000
388.5,63.994,3.763,0.289,0.429,178271,0,11000
388.75,71.694,3.913,0.278,0.432,178271,0,11000
389.0,68.239,3.993,0.269,0.426,178271,0,11000
389.25,67.723,3.858,0.279,0.409,178271,0,11000
389.5,73.051,3.723,0.28,0.407,178271,0,11000
389.75,86.595,3.529,0.283,0.415,178271,0,11000
390.0,88.984,3.168,0.288,0.452,178271,0,11000
390.25,92.559,3.002,0.282,0.472,178271,0,11000
390.5,96.718,2.844,0.273,0.482,178271,0,11000
390.75,93.297,2.6,0.26,0.483,178271,0,11000
391.0,75.799,2.42,0.249,0.484,178271,0,11000
391.25,67.686,2.293,0.28,0.478,178271,0,11000
391.5,67.789,2.342,0.329,0.443,178271,0,11000
391.75,67.239,2.667,0.354,0.428,178271,0,11000
392.0,64.969,3.463,0.318,0.42,178271,0,11000
392.25,60.947,4.331,0.3,0.416,178271,0,11000
392.5,58.093,5.033,0.29,0.394,178271,0,11000
392.75,56.409,5.536,0.272,0.371,178271,0,11000
393.0,58.23,5.644,0.273,0.37,178271,0,11000
393.25,60.636,5.871,0.267,0.354,178271,0,11000
393.5,63.627,5.775,0.261,0.378,178271,0,11000
393.75,60.189,5.376,0.246,0.392,178271,0,11000
394.0,46.816,4.909,0.203,0.326,178271,0,11000
394.25,41.023,4.483,0.233,0.326,178271,0,11000
394.5,43.429,5.111,0.267,0.345,178271,0,11000
394.75,51.129,6.392,0.291,0.367,178271,0,11000
395.0,55.272,7.851,0.301,0.387,178271,0,11000
395.25,59.448,7.585,0.301,0.385,178271,0,11000
395.5,57.746,7.062,0.298,0.377,178271,0,11000
395.75,66.615,6.939,0.291,0.376,178271,0,11000
396.0,65.514,6.581,0.274,0.383,178271,0,11000
396.25,62.661,6.238,0.259,0.389,178271,0,11000
396.5,62.729,5.913,0.248,0.386,178271,0,11000
396.75,66.304,5.606,0.247,0.386,178271,0,11000
397.0,68.693,5.511,0.253,0.393,178271,0,11000
397.25,69.931,5.327,0.257,0.392,178271,0,11000
397.5,71.168,5.334,0.264,0.39,178271,0,11000
397.75,75.929,5.345,0.274,0.403,178271,0,11000
398.0,81.257,5.257,0.277,0.423,178271,0,11000
398.25,88.974,4.983,0.245,0.428,178271,0,11000
398.5,88.424,4.469,0.23,0.428,178271,0,11000
398.75,92.6,4.008,0.227,0.443,178271,0,11000
399.0,96.743,3.798,0.23,0.459,178271,0,11000
399.25,100.317,3.471,0.225,0.46,178271,0,11000
399.5,100.386,3.29,0.209,0.459,178271,0,11000
399.75,99.87,3.298,0.209,0.452,178271,0,11000
400.0,95.263,3.301,0.218,0.453,178271,0,11000
400.25,97.085,3.25,0.211,0.463,178271,0,11000
400.5,97.17,3.196,0.219,0.454,178271,0,11000
400.75,94.3,3.142,0.237,0.473,178271,0,11000
401.0,92.031,3.151,0.233,0.487,178271,0,11000
401.25,103.821,3.155,0.239,0.501,178271,0,11000
401.5,103.305,3.105,0.244,0.515,178271,0,11000
401.75,103.374,3.051,0.254,0.519,178271,0,11000
402.0,106.364,2.892,0.257,0.518,178271,0,11000
402.25,107.602,2.693,0.257,0.525,178271,0,11000
402.5,106.501,2.46,0.253,0.519,178271,0,11000
402.75,104.817,2.247,0.251,0.503,178271,0,11000
403.0,101.946,2.169,0.248,0.503,178271,0,11000
403.25,97.941,2.056,0.247,0.508,178271,0,11000
403.5,95.087,2.062,0.245,0.519,178271,0,11000
403.75,94.588,2.064,0.25,0.513,178271,0,11000
404.0,96.96,2.068,0.256,0.512,178271,0,11000
404.25,101.119,2.074,0.252,0.512,178271,0,11000
404.5,100.621,2.077,0.248,0.512,178271,0,11000
404.75,99.52,2.08,0.245,0.509,178271,0,11000
405.0,100.173,2.087,0.247,0.511,178271,0,11000
405.25,99.073,2.09,0.253,0.523,178271,0,11000
