Dept,SitID,Dept,LithID,W_Tar,SW,VSH,PHI,RW,Pick,Formation
460.24,107372,460,4,0.0,1.0,0.502,0.189,  0.5780,0,7000
460.49,107372,460,2,0.005,0.954,0.343,0.222,  0.5780,0,7000
460.74,107372,460,1,0.019,0.819,0.165,0.241,  0.5770,0,7000
460.99,107372,460,1,0.027,0.756,0.052,0.251,  0.5770,0,7000
461.24,107372,461,1,0.03,0.735,0.0,0.256,  0.5770,0,7000
461.49,107372,461,1,0.031,0.731,0.0,0.263,  0.5760,0,7000
461.74,107372,461,1,0.037,0.709,0.0,0.287,  0.5760,0,7000
461.99,107372,461,1,0.033,0.743,0.0,0.284,  0.5760,0,7000
462.24,107372,462,1,0.024,0.805,0.0,0.276,  0.5760,0,7000
462.49,107372,462,1,0.023,0.816,0.004,0.284,  0.5750,0,7000
462.74,107372,462,1,0.032,0.758,0.043,0.293,  0.5750,0,7000
462.99,107372,462,1,0.03,0.767,0.109,0.283,  0.5750,0,7000
463.24,107372,463,1,0.033,0.753,0.14,0.289,  0.5740,0,7000
463.49,107372,463,1,0.032,0.759,0.151,0.294,  0.5740,0,7000
463.74,107372,463,1,0.01,0.908,0.153,0.256,  0.5740,0,7000
463.99,107372,463,1,0.0,1.0,0.162,0.229,  0.5740,0,7000
464.24,107372,464,1,0.0,1.0,0.181,0.198,  0.5730,0,7000
464.49,107372,464,1,0.0,1.0,0.239,0.161,  0.5730,0,7000
464.74,107372,464,2,0.0,1.0,0.355,0.137,  0.5730,0,7000
464.99,107372,464,2,0.0,1.0,0.459,0.178,  0.5730,0,7000
465.24,107372,465,5,0.0,1.0,0.719,0.107,  0.5720,0,7000
465.49,107372,465,4,0.0,1.0,0.696,0.115,  0.5720,0,7000
465.74,107372,465,4,0.0,1.0,0.581,0.159,  0.5720,0,7000
465.99,107372,465,4,0.0,1.0,0.535,0.177,  0.5710,0,7000
466.24,107372,466,4,0.0,1.0,0.545,0.173,  0.5710,0,7000
466.49,107372,466,4,0.0,1.0,0.611,0.148,  0.5710,0,7000
466.74,107372,466,4,0.0,1.0,0.664,0.128,  0.5710,0,7000
466.99,107372,466,4,0.0,1.0,0.659,0.13,  0.5700,0,7000
467.24,107372,467,4,0.0,1.0,0.65,0.133,  0.5700,0,7000
467.49,107372,467,4,0.0,1.0,0.669,0.126,  0.5700,0,7000
467.74,107372,467,5,0.0,1.0,0.719,0.107,  0.5690,0,7000
467.99,107372,467,4,0.0,1.0,0.673,0.124,  0.5690,0,7000
468.24,107372,468,4,0.0,1.0,0.693,0.117,  0.5690,0,7000
468.49,107372,468,5,0.0,1.0,0.822,0.068,  0.5690,0,7000
468.74,107372,468,5,0.0,1.0,0.882,0.045,  0.5680,0,7000
468.99,107372,468,5,0.0,1.0,0.874,0.048,  0.5680,0,7000
469.24,107372,469,5,0.0,1.0,0.818,0.069,  0.5680,0,7000
469.49,107372,469,5,0.0,1.0,0.726,0.104,  0.5680,0,7000
469.74,107372,469,5,0.0,1.0,0.811,0.072,  0.5670,0,7000
469.99,107372,469,5,0.0,1.0,0.772,0.087,  0.5670,0,7000
470.24,107372,470,4,0.0,1.0,0.665,0.127,  0.5670,0,7000
470.49,107372,470,4,0.0,1.0,0.527,0.18,  0.5660,0,7000
470.74,107372,470,2,0.0,1.0,0.463,0.204,  0.5660,0,7000
470.99,107372,470,4,0.0,1.0,0.642,0.136,  0.5660,0,7000
