DEPT,GR,ILD,DPHI,NPHI,SitID,Pick,Formation,VSH,RESD
360.0,90.757,3.527,0.222,0.505,103746,0,12000,0.7437021125383928,1.260450486520664
360.25,93.354,3.536,0.219,0.496,103746,0,12000,0.7830794921392448,1.2629989728256967
360.5,97.244,3.518,0.235,0.484,103746,0,12000,0.8420621670130664,1.2578954888354879
360.75,98.055,3.462,0.239,0.496,103746,0,12000,0.8543590691525701,1.241849345253601
361.0,95.546,3.374,0.24,0.509,103746,0,12000,0.816316001991023,1.2161019479605226
361.25,93.036,3.156,0.241,0.505,103746,0,12000,0.7782577721881201,1.1493085715464153
361.5,91.264,3.013,0.252,0.494,103746,0,12000,0.7513895717057519,1.1029395790938679
361.75,91.894,2.898,0.254,0.505,103746,0,12000,0.7609420357598672,1.0640242945481617
362.0,95.597,2.868,0.256,0.512,103746,0,12000,0.8170892967001655,1.0536184094816439
362.25,98.379,2.897,0.265,0.518,103746,0,12000,0.8592717649518293,1.0636791706279938
362.5,95.377,2.976,0.267,0.508,103746,0,12000,0.8137535156019031,1.0905834771802536
362.75,92.438,3.169,0.264,0.506,103746,0,12000,0.7691905126573887,1.1534192362733853
363.0,91.957,3.298,0.257,0.5,103746,0,12000,0.7618972821652785,1.1933192562735015
363.25,95.23,3.401,0.251,0.488,103746,0,12000,0.8115246073226097,1.2240724463324086
363.5,91.678,3.482,0.251,0.476,103746,0,12000,0.7576669052270276,1.2476097132545674
363.75,89.289,3.523,0.245,0.465,103746,0,12000,0.7214433550281691,1.2593157378449955
364.0,88.316,3.558,0.234,0.474,103746,0,12000,0.7066901049890358,1.2692013998074285
364.25,92.392,3.411,0.243,0.493,103746,0,12000,0.7684930311550247,1.2270084351237973
364.5,95.972,3.318,0.257,0.501,103746,0,12000,0.8227752872085673,1.1993652056274844
364.75,96.722,3.258,0.26,0.5,103746,0,12000,0.8341472682253709,1.181116579542853
365.0,93.106,3.183,0.268,0.504,103746,0,12000,0.7793191570830217,1.15782728998525
365.25,91.458,3.137,0.297,0.521,103746,0,12000,0.7543311241287652,1.1432701169624657
365.5,91.039,3.098,0.304,0.541,103746,0,12000,0.7479779774007109,1.1307599698784279
365.75,91.667,3.071,0.3,0.561,103746,0,12000,0.7575001161721145,1.1220064977217004
366.0,92.049,3.062,0.306,0.575,103746,0,12000,0.7632922451700066,1.1190715630694799
366.25,86.586,3.098,0.24,0.585,103746,0,12000,0.6804587354436088,1.1307599698784279
366.5,80.571,3.496,0.211,0.595,103746,0,12000,0.5892554476888435,1.2516223182010975
366.75,76.646,4.174,0.26,0.423,103746,0,12000,0.5297420803675712,1.4288772044355602
367.0,77.273,4.873,0.281,0.383,103746,0,12000,0.539249056497619,1.5837118159832118
367.25,79.992,5.217,0.292,0.397,103746,0,12000,0.5804762783438713,1.6519244408488458
367.5,82.344,5.575,0.295,0.404,103746,0,12000,0.6161388108125673,1.7182941110665468
367.75,80.633,5.792,0.294,0.41,103746,0,12000,0.5901955314528993,1.7564793816012618
368.0,75.169,5.829,0.294,0.408,103746,0,12000,0.5073468590851459,1.7628471746220715
368.25,70.999,5.747,0.295,0.383,103746,0,12000,0.4441186446317176,1.7486797195623713
368.5,68.121,5.643,0.306,0.369,103746,0,12000,0.4004805628099031,1.730417611092468
368.75,72.439,5.552,0.227,0.393,103746,0,12000,0.46595284818398053,1.714160024355619
369.0,67.899,5.556,0.227,0.401,103746,0,12000,0.3971144564289293,1.7148802247464892
369.25,65.329,5.591,0.228,0.383,103746,0,12000,0.35814646814468204,1.7211599506317121
369.5,67.556,5.628,0.25,0.384,103746,0,12000,0.391913670443911,1.727755916080699
369.75,59.816,5.652,0.299,0.399,103746,0,12000,0.27455482635049755,1.7320112341059246
370.0,52.507,5.624,0.324,0.412,103746,0,12000,0.16373108068140707,1.7270449326006663
370.25,48.274,5.523,0.33,0.42,103746,0,12000,0.09954761982256738,1.708923001527587
370.5,46.996,5.454,0.31,0.394,103746,0,12000,0.080169764169934,1.6963511179384008
370.75,49.468,5.346,0.291,0.37,103746,0,12000,0.11765181360131881,1.6763504882724038
371.0,59.081,5.25,0.279,0.355,103746,0,12000,0.26341028495403,1.658229981363623
371.25,63.277,5.156,0.288,0.378,103746,0,12000,0.3270327280827074,1.6401630245630352
371.5,59.29,5.111,0.3,0.382,103746,0,12000,0.2665792769973792,1.6313970363485015
371.75,56.534,5.096,0.309,0.385,103746,0,12000,0.22479103742096476,1.6284578805913277
372.0,55.994,5.128,0.31,0.397,103746,0,12000,0.21660321108886615,1.6347176696944705
372.25,57.176,5.229,0.311,0.392,103746,0,12000,0.23452545317134874,1.6542219676157157
372.5,58.912,5.413,0.315,0.409,103746,0,12000,0.2608477985649102,1.6888053152175313
372.75,61.324,5.539,0.323,0.423,103746,0,12000,0.2974200895149507,1.7118157844293695
373.0,64.044,5.68,0.311,0.412,103746,0,12000,0.3386624740025585,1.7369529932948904
373.25,71.256,5.857,0.287,0.402,103746,0,12000,0.4480154434601424,1.7676392344649037
373.5,78.529,5.962,0.268,0.406,103746,0,12000,0.5582933340404261,1.7854076725439731
373.75,85.802,6.044,0.255,0.405,103746,0,12000,0.6685712246207102,1.7990676989425458
374.0,90.737,6.164,0.241,0.407,103746,0,12000,0.743398859711278,1.81872753977972
374.25,91.304,6.214,0.23,0.419,103746,0,12000,0.7519960773599815,1.8268064202389525
374.5,86.088,6.241,0.243,0.4,103746,0,12000,0.6729077400484511,1.8311420282579447
374.75,83.7,6.118,0.261,0.396,103746,0,12000,0.6366993524909484,1.8112368802484613
375.0,82.236,5.94,0.282,0.409,103746,0,12000,0.6145012455461477,1.78171081687482
375.25,84.587,5.79,0.291,0.415,103746,0,12000,0.6501486153734882,1.756134018699129
375.5,85.4,5.708,0.294,0.43,103746,0,12000,0.6624758427957034,1.741870451540175
375.75,84.305,5.722,0.293,0.444,103746,0,12000,0.6458727505111701,1.7443201422670764
376.0,83.764,5.747,0.305,0.45,103746,0,12000,0.6376697615377156,1.7486797195623713
376.25,85.254,5.828,0.312,0.431,103746,0,12000,0.6602620971577656,1.762675604185982
376.5,89.636,5.953,0.314,0.429,103746,0,12000,0.7267047915786101,1.7838969739951402
376.75,95.371,6.026,0.315,0.419,103746,0,12000,0.8136625397537687,1.7960851001823381
377.0,92.307,5.928,0.332,0.405,103746,0,12000,0.767204206639787,1.7796885749019444
377.25,86.168,5.607,0.396,0.431,103746,0,12000,0.6741207513569103,1.7240176006248746
377.5,82.674,5.098,0.448,0.522,103746,0,12000,0.6211424824599611,1.62885026750555
377.75,82.132,4.858,0.406,0.612,103746,0,12000,0.612924330845151,1.5806288890381337
378.0,90.33,4.744,0.286,0.598,103746,0,12000,0.7372276646794925,1.5568827696190035
378.25,93.049,4.837,0.251,0.49,103746,0,12000,0.7784548865257448,1.576296761235856
378.5,93.429,4.914,0.24,0.472,103746,0,12000,0.7842166902409252,1.5920903090989516
378.75,93.874,4.954,0.247,0.501,103746,0,12000,0.7909640656442286,1.6001973496359823
379.0,93.64,5.015,0.27,0.518,103746,0,12000,0.7874160075669859,1.6124354154298568
379.25,89.038,5.047,0.111,0.528,103746,0,12000,0.7176375320478787,1.6187959887312366
379.5,84.99,5.069,0.192,0.453,103746,0,12000,0.6562591598398505,1.6231455322639616
379.75,84.941,5.091,0.246,0.485,103746,0,12000,0.6555161904134195,1.6274762391689082
380.0,74.002,5.123,0.293,0.508,103746,0,12000,0.4896520566229994,1.633742156936421
380.25,67.061,5.137,0.311,0.523,103746,0,12000,0.38440816297282077,1.6364711981447115
380.5,65.721,5.168,0.324,0.471,103746,0,12000,0.3640902235561316,1.6424877014629486
380.75,68.567,5.26,0.331,0.45,103746,0,12000,0.4072431008545623,1.6601329278884955
381.0,70.239,5.333,0.346,0.443,103746,0,12000,0.4325950372013567,1.673915806733902
381.25,76.527,5.449,0.329,0.432,103746,0,12000,0.5279377260462383,1.6954339407983963
381.5,80.663,5.641,0.316,0.422,103746,0,12000,0.5906504106935715,1.7300631274915983
381.75,83.321,5.762,0.305,0.417,103746,0,12000,0.6309527114171236,1.7512863721693346
382.0,79.214,5.886,0.316,0.436,103746,0,12000,0.5686797433691069,1.7725783487564908
382.25,77.811,5.978,0.325,0.443,103746,0,12000,0.5474065575470063,1.7880877366606145
382.5,82.806,6.073,0.311,0.456,103746,0,12000,0.6231439511189184,1.8038543635467188
382.75,91.005,6.158,0.294,0.465,103746,0,12000,0.7474624475946158,1.817753673404855
383.0,95.199,6.162,0.24,0.434,103746,0,12000,0.8110545654405817,1.8184030230228834
383.25,98.535,6.086,0.239,0.412,103746,0,12000,0.8616371370033243,1.805992694588776
383.5,100.701,5.778,0.254,0.451,103746,0,12000,0.8944794181798532,1.754059332745211
383.75,88.407,5.506,0.265,0.493,103746,0,12000,0.708069905352408,1.7058402229192748
384.0,72.915,5.257,0.283,0.519,103746,0,12000,0.4731702654693121,1.6595624240611055
384.25,50.162,5.192,0.332,0.543,103746,0,12000,0.12817468670220106,1.6471209054399956
384.5,37.007,5.166,0.349,0.54,103746,0,12000,-0.07128986033253482,1.6421006304054182
384.75,30.191,5.131,0.342,0.497,103746,0,12000,-0.1746384238132463,1.6353025208957574
385.0,40.48,5.096,0.34,0.446,103746,0,12000,-0.01863000690405611,1.6284578805913277
385.25,47.693,5.061,0.34,0.406,103746,0,12000,0.09073812519488345,1.6215660681240809
385.5,53.121,5.036,0.339,0.409,103746,0,12000,0.1730409424738304,1.616614101883068
385.75,55.961,5.002,0.337,0.418,103746,0,12000,0.2161028439241268,1.6098398316537486
386.0,53.575,4.986,0.343,0.424,103746,0,12000,0.17992478164933554,1.606635990715079
386.25,53.218,5.018,0.345,0.429,103746,0,12000,0.17451171868533702,1.6130334407680718
386.5,54.709,5.107,0.342,0.431,103746,0,12000,0.19711921694674264,1.6306141057603198
386.75,55.766,5.178,0.333,0.421,103746,0,12000,0.21314612885975784,1.644420812575067
387.0,59.226,5.231,0.333,0.404,103746,0,12000,0.26560886795061195,1.6546043760670137
387.25,66.007,5.224,0.344,0.393,103746,0,12000,0.3684267389838727,1.653265306214258
387.5,71.189,5.219,0.348,0.412,103746,0,12000,0.4469995464893078,1.6523077287353172
387.75,74.955,5.192,0.344,0.428,103746,0,12000,0.5041020538350179,1.6471209054399956
