DEPT,GR,ILD,DPHI,NPHI,SitID,Pick,Formation
393.192,80.857,2.445,0.239,0.511,107419,0,4000
393.442,82.689,2.344,0.243,0.521,107419,0,4000
393.692,82.72,2.414,0.262,0.53,107419,0,4000
393.942,79.267,2.704,0.278,0.484,107419,0,4000
394.192,72.953,3.052,0.268,0.454,107419,0,4000
394.442,65.953,3.362,0.256,0.427,107419,0,4000
394.692,60.324,3.845,0.262,0.411,107419,0,4000
394.942,57.489,4.188,0.261,0.405,107419,0,4000
395.192,55.217,4.587,0.243,0.401,107419,0,4000
395.442,53.568,4.777,0.241,0.399,107419,0,4000
395.692,55.59,4.818,0.211,0.389,107419,0,4000
395.942,59.225,4.751,0.202,0.397,107419,0,4000
396.192,61.865,4.566,0.243,0.408,107419,0,4000
396.442,61.273,4.393,0.265,0.421,107419,0,4000
396.692,60.868,4.127,0.275,0.43,107419,0,4000
396.942,63.072,3.979,0.254,0.434,107419,0,4000
397.192,67.396,3.81,0.234,0.437,107419,0,4000
397.442,71.527,3.673,0.205,0.445,107419,0,4000
397.692,78.026,3.555,0.159,0.453,107419,0,4000
397.942,87.136,3.416,0.201,0.466,107419,0,4000
398.192,92.577,3.376,0.217,0.479,107419,0,4000
398.442,89.871,3.385,0.233,0.476,107419,0,4000
398.692,84.989,3.492,0.245,0.476,107419,0,4000
398.942,77.053,3.79,0.262,0.453,107419,0,4000
399.192,64.582,3.99,0.274,0.446,107419,0,4000
399.442,55.653,4.203,0.291,0.431,107419,0,4000
399.692,59.044,4.303,0.296,0.403,107419,0,4000
399.942,68.9,4.349,0.274,0.413,107419,0,4000
400.192,75.458,4.353,0.24,0.442,107419,0,4000
400.442,83.697,4.159,0.214,0.465,107419,0,4000
400.692,80.43,3.885,0.271,0.467,107419,0,4000
400.942,76.791,3.642,0.259,0.449,107419,0,4000
401.192,79.805,3.252,0.239,0.459,107419,0,4000
401.442,80.954,2.872,0.273,0.511,107419,0,4000
401.692,77.439,2.859,0.276,0.505,107419,0,4000
401.942,73.673,2.983,0.269,0.454,107419,0,4000
402.192,66.736,3.317,0.287,0.435,107419,0,4000
402.442,61.478,3.668,0.294,0.406,107419,0,4000
402.692,62.441,3.876,0.272,0.41,107419,0,4000
402.942,71.427,3.801,0.27,0.445,107419,0,4000
403.192,78.238,3.338,0.241,0.473,107419,0,4000
403.442,81.376,2.997,0.24,0.504,107419,0,4000
403.692,85.697,2.794,0.267,0.51,107419,0,4000
403.942,88.524,2.841,0.26,0.499,107419,0,4000
404.192,85.941,2.991,0.263,0.478,107419,0,4000
404.442,81.06,3.233,0.251,0.458,107419,0,4000
404.692,76.237,3.576,0.237,0.452,107419,0,4000
404.942,70.544,3.895,0.219,0.447,107419,0,4000
405.192,69.328,4.163,0.185,0.426,107419,0,4000
405.442,72.593,4.433,0.183,0.424,107419,0,4000
405.692,79.153,4.712,0.226,0.435,107419,0,4000
405.942,83.536,4.468,0.221,0.437,107419,0,4000
406.192,82.817,4.309,0.215,0.422,107419,0,4000
406.442,74.202,4.234,0.22,0.404,107419,0,4000
406.692,72.987,4.271,0.219,0.405,107419,0,4000
406.942,75.129,4.34,0.216,0.414,107419,0,4000
407.192,77.837,4.337,0.205,0.426,107419,0,4000
407.442,76.746,4.302,0.22,0.431,107419,0,4000
407.692,71.923,4.218,0.234,0.417,107419,0,4000
407.942,67.412,3.845,0.241,0.403,107419,0,4000
408.192,61.097,3.551,0.254,0.391,107419,0,4000
408.442,50.676,3.25,0.268,0.381,107419,0,4000
408.692,42.557,2.996,0.292,0.37,107419,0,4000
408.942,39.788,2.767,0.3,0.348,107419,0,4000
409.192,45.667,2.694,0.293,0.361,107419,0,4000
409.442,50.547,2.769,0.287,0.365,107419,0,4000
409.692,55.426,2.904,0.271,0.361,107419,0,4000
409.942,62.236,3.105,0.244,0.353,107419,0,4000
410.192,66.68,3.27,0.243,0.346,107419,0,4000
410.442,64.223,3.373,0.257,0.343,107419,0,4000
410.692,58.715,3.247,0.27,0.351,107419,0,4000
410.942,52.96,3.084,0.283,0.366,107419,0,4000
411.192,49.07,2.947,0.286,0.361,107419,0,4000
411.442,50.908,2.862,0.28,0.363,107419,0,4000
411.692,51.927,2.776,0.274,0.38,107419,0,4000
411.942,47.851,2.717,0.288,0.385,107419,0,4000
412.192,43.343,2.655,0.298,0.379,107419,0,4000
412.442,39.576,2.618,0.307,0.372,107419,0,4000
412.692,38.986,2.611,0.302,0.368,107419,0,4000
412.942,43.927,2.596,0.291,0.353,107419,0,4000
413.192,52.106,2.608,0.29,0.357,107419,0,4000
413.442,62.148,2.621,0.273,0.379,107419,0,4000
413.692,68.272,2.658,0.265,0.397,107419,0,4000
413.942,74.895,2.716,0.259,0.414,107419,0,4000
414.192,74.052,2.872,0.251,0.395,107419,0,4000
414.442,80.055,2.984,0.25,0.378,107419,0,4000
414.692,82.445,3.131,0.235,0.374,107419,0,4000
414.942,82.165,3.279,0.221,0.398,107419,0,4000
