DEPT,GR,ILD,DPHI,NPHI,SitID,Pick,Formation,VSH,RESD
220.0,69.791,2.635,0.297,0.429,111800,0,4000,0.5046206701969266,0.968886977052538
220.25,67.416,2.807,0.297,0.444,111800,0,4000,0.470289861400962,1.0321198598956653
220.5,68.011,3.624,0.288,0.442,111800,0,4000,0.47889063244668784,1.2875811475588244
220.75,70.09,5.126,0.285,0.435,111800,0,4000,0.5089427383358712,1.6343275787788372
221.0,75.139,7.119,0.274,0.441,111800,0,4000,0.5819264240667447,1.9627686708124197
221.25,78.407,10.348,0.272,0.448,111800,0,4000,0.6291656169699918,2.336794230693629
221.5,79.299,13.605,0.278,0.455,111800,0,4000,0.6420595459998868,2.610438107258828
221.75,77.814,13.974,0.272,0.463,111800,0,4000,0.6205937560790414,2.637199175744716
222.0,72.172,13.341,0.266,0.465,111800,0,4000,0.5390382094572177,2.590842749765386
222.25,67.718,11.946,0.251,0.461,111800,0,4000,0.47465529477207,2.4803973314100483
222.5,64.452,11.83,0.229,0.457,111800,0,4000,0.42744501202359836,2.470639523298476
222.75,60.889,12.374,0.243,0.453,111800,0,4000,0.3759415712909578,2.515598305254583
223.0,57.029,12.713,0.265,0.448,111800,0,4000,0.32014497257414815,2.542625878564073
223.25,54.653,12.703,0.291,0.445,111800,0,4000,0.28579970870079585,2.541838973256632
223.5,51.684,12.465,0.299,0.445,111800,0,4000,0.24288258393649326,2.5229255192214888
223.75,49.012,12.233,0.31,0.453,111800,0,4000,0.20425861715635976,2.5041380355254113
224.0,46.042,12.003,0.316,0.46,111800,0,4000,0.16132703731466944,2.4851574516679125
224.25,43.073,11.996,0.317,0.455,111800,0,4000,0.11840991255036687,2.484574094497619
224.5,40.401,12.549,0.317,0.455,111800,0,4000,0.07978594577023339,2.5296417780040987
224.75,39.214,15.195,0.32,0.45,111800,0,4000,0.06262776891094496,2.7209670844797604
225.0,40.699,18.567,0.326,0.457,111800,0,4000,0.08409355883179012,2.9213863500151604
225.25,42.185,25.087,0.331,0.46,111800,0,4000,0.10557380383002313,3.222350182292449
225.5,43.373,27.726,0.339,0.451,111800,0,4000,0.12274643576669919,3.3223709617884123
225.75,44.265,31.204,0.313,0.442,111800,0,4000,0.1356403647965941,3.4405466121977497
226.0,45.751,30.899,0.311,0.449,111800,0,4000,0.157120609794827,3.430724144555494
226.25,47.533,28.18,0.3,0.461,111800,0,4000,0.18287955769984127,3.3386128613320754
226.5,52.582,22.207,0.296,0.472,111800,0,4000,0.2558632434307148,3.1004080048004825
226.75,60.602,18.151,0.279,0.477,111800,0,4000,0.3717929640806664,2.8987262065455215
227.0,65.651,14.699,0.264,0.483,111800,0,4000,0.44477664981153997,2.6877801445780083
227.25,71.591,11.476,0.227,0.492,111800,0,4000,0.5306398094949206,2.440258769502496
227.5,79.61,8.253,0.234,0.477,111800,0,4000,0.6465550750674846,2.110577982290414
227.75,81.393,6.213,0.254,0.444,111800,0,4000,0.6723284780498866,1.8266454806086696
228.0,77.236,5.564,0.25,0.459,111800,0,4000,0.612238721348908,1.7163190713277336
228.25,68.921,5.41,0.254,0.455,111800,0,4000,0.49204475286956284,1.6882509412855173
228.5,64.764,5.764,0.252,0.446,111800,0,4000,0.43195499616858396,1.7516334130420856
228.75,63.279,7.932,0.227,0.434,111800,0,4000,0.41048920624773894,2.0709064713728416
229.0,61.498,9.517,0.193,0.435,111800,0,4000,0.3847447134201124,2.2530807238409416
229.25,61.498,10.139,0.2,0.465,111800,0,4000,0.3847447134201124,2.3163903602605176
229.5,64.172,10.901,0.256,0.48,111800,0,4000,0.4233975903550215,2.3888554454928332
229.75,65.955,10.995,0.284,0.481,111800,0,4000,0.4491709933374235,2.397441533510631
230.0,65.064,10.118,0.297,0.461,111800,0,4000,0.4362915193849163,2.314317004206872
230.25,60.61,10.113,0.299,0.464,111800,0,4000,0.37190860469976866,2.313822713745808
230.5,61.502,10.483,0.286,0.477,111800,0,4000,0.3848025337296636,2.3497558513953836
230.75,61.502,11.479,0.274,0.474,111800,0,4000,0.3848025337296636,2.440520150239004
231.0,58.533,11.898,0.26,0.478,111800,0,4000,0.341885408965361,2.4763711592427518
231.25,54.376,11.784,0.262,0.476,111800,0,4000,0.28179565226438225,2.4667435277682515
231.5,51.407,10.846,0.264,0.453,111800,0,4000,0.23887852750007968,2.3837972704173374
231.75,53.486,9.891,0.254,0.414,111800,0,4000,0.26893063338926293,2.291626263777312
