DEPT,GR,ILD,DPHI,SitID,Pick,Formation
285.0,89.731,2.543,0.283,107291,0,9000
285.25,90.947,2.543,0.313,107291,0,9000
285.5,89.692,2.543,0.303,107291,0,9000
285.75,91.512,2.543,0.316,107291,0,9000
286.0,92.725,2.59,0.307,107291,0,9000
286.25,95.766,2.59,0.3,107291,0,9000
286.5,96.37,2.639,0.303,107291,0,9000
286.75,98.189,2.688,0.292,107291,0,9000
287.0,96.328,2.738,0.287,107291,0,9000
287.25,92.612,2.79,0.28,107291,0,9000
287.5,93.824,2.79,0.273,107291,0,9000
287.75,98.714,2.789,0.265,107291,0,9000
288.0,101.771,2.789,0.26,107291,0,9000
288.25,104.208,2.737,0.256,107291,0,9000
288.5,103.571,2.788,0.254,107291,0,9000
288.75,102.938,2.894,0.242,107291,0,9000
289.0,102.298,2.894,0.238,107291,0,9000
289.25,101.664,3.004,0.249,107291,0,9000
289.5,99.795,3.06,0.255,107291,0,9000
289.75,96.694,3.118,0.277,107291,0,9000
290.0,94.221,3.236,0.284,107291,0,9000
290.25,92.975,3.297,0.295,107291,0,9000
290.5,91.724,3.358,0.284,107291,0,9000
290.75,92.932,3.358,0.273,107291,0,9000
291.0,99.667,3.296,0.267,107291,0,9000
291.25,101.493,3.234,0.262,107291,0,9000
291.5,101.476,3.174,0.266,107291,0,9000
291.75,95.911,3.174,0.285,107291,0,9000
292.0,94.665,3.057,0.296,107291,0,9000
292.25,96.483,3.057,0.299,107291,0,9000
292.5,97.083,3.0,0.301,107291,0,9000
292.75,97.062,3.056,0.279,107291,0,9000
293.0,93.968,3.172,0.297,107291,0,9000
293.25,90.259,3.232,0.303,107291,0,9000
293.5,85.929,3.292,0.281,107291,0,9000
293.75,84.685,3.354,0.269,107291,0,9000
294.0,86.504,3.354,0.261,107291,0,9000
294.25,88.33,3.292,0.269,107291,0,9000
294.5,89.533,3.23,0.322,107291,0,9000
294.75,85.212,3.17,0.272,107291,0,9000
295.0,78.431,3.416,0.213,107291,0,9000
295.25,69.805,3.68,0.192,107291,0,9000
295.5,65.482,4.04,0.177,107291,0,9000
295.75,72.835,4.435,0.2,107291,0,9000
296.0,75.881,4.603,0.248,107291,0,9000
296.25,77.71,4.868,0.291,107291,0,9000
296.5,75.843,4.868,0.29,107291,0,9000
296.75,69.671,4.959,0.286,107291,0,9000
297.0,67.808,4.959,0.277,107291,0,9000
297.25,67.787,4.958,0.267,107291,0,9000
297.5,69.603,5.051,0.261,107291,0,9000
