DEPT,GR,ILD,DPHI,SitID,Pick,Formation
290.0,101.141,2.853,0.235,105772,0,7000
290.25,101.945,2.764,0.243,105772,0,7000
290.5,102.135,2.691,0.251,105772,0,7000
290.75,102.632,2.651,0.25,105772,0,7000
291.0,103.739,2.636,0.255,105772,0,7000
291.25,103.931,2.629,0.243,105772,0,7000
291.5,103.942,2.696,0.241,105772,0,7000
291.75,104.012,2.754,0.237,105772,0,7000
292.0,104.022,2.861,0.23,105772,0,7000
292.25,104.276,2.936,0.228,105772,0,7000
292.5,104.714,3.035,0.228,105772,0,7000
292.75,105.394,3.208,0.229,105772,0,7000
293.0,105.95,3.364,0.242,105772,0,7000
293.25,106.875,3.569,0.244,105772,0,7000
293.5,108.346,3.726,0.243,105772,0,7000
293.75,109.819,3.899,0.253,105772,0,7000
294.0,109.949,3.998,0.247,105772,0,7000
294.25,108.497,4.015,0.228,105772,0,7000
294.5,105.888,3.934,0.221,105772,0,7000
294.75,102.972,3.78,0.216,105772,0,7000
295.0,99.449,3.593,0.221,105772,0,7000
295.25,97.388,3.398,0.231,105772,0,7000
295.5,95.934,3.203,0.238,105772,0,7000
295.75,96.492,3.024,0.233,105772,0,7000
296.0,100.037,2.96,0.232,105772,0,7000
296.25,103.092,2.912,0.226,105772,0,7000
296.5,106.149,2.97,0.223,105772,0,7000
296.75,108.229,3.045,0.228,105772,0,7000
297.0,109.337,3.095,0.226,105772,0,7000
297.25,109.163,3.129,0.216,105772,0,7000
297.5,107.04,3.097,0.21,105772,0,7000
297.75,105.101,3.033,0.215,105772,0,7000
298.0,103.466,2.976,0.224,105772,0,7000
298.25,101.769,3.141,0.232,105772,0,7000
298.5,99.464,3.297,0.206,105772,0,7000
298.75,96.793,3.315,0.188,105772,0,7000
299.0,95.157,3.201,0.18,105772,0,7000
299.25,93.522,3.153,0.176,105772,0,7000
299.5,89.632,3.244,0.216,105772,0,7000
299.75,80.93,3.417,0.234,105772,0,7000
300.0,71.008,3.598,0.213,105772,0,7000
300.25,63.402,4.073,0.205,105772,0,7000
300.5,61.95,4.9,0.181,105772,0,7000
300.75,65.373,5.546,0.242,105772,0,7000
301.0,67.88,6.046,0.276,105772,0,7000
301.25,69.109,5.875,0.274,105772,0,7000
301.5,69.972,5.525,0.264,105772,0,7000
301.75,70.531,5.322,0.255,105772,0,7000
302.0,72.61,5.241,0.244,105772,0,7000
302.25,78.896,5.34,0.243,105772,0,7000
302.5,84.693,5.48,0.25,105772,0,7000
302.75,88.42,5.628,0.248,105772,0,7000
303.0,88.612,5.817,0.238,105772,0,7000
303.25,82.469,6.35,0.225,105772,0,7000
303.5,75.168,6.907,0.233,105772,0,7000
303.75,68.962,7.578,0.235,105772,0,7000
304.0,57.03,8.584,0.276,105772,0,7000
304.25,48.389,9.673,0.323,105772,0,7000
304.5,40.782,11.21,0.372,105772,0,7000
304.75,35.491,13.018,0.391,105772,0,7000
305.0,32.454,2.64,0.378,105772,0,7000
305.25,31.489,2.816,0.352,105772,0,7000
305.5,31.926,3.026,0.336,105772,0,7000
305.75,34.373,6.014,0.325,105772,0,7000
306.0,38.282,7.412,0.319,105772,0,7000
306.25,39.571,6.244,0.328,105772,0,7000
306.5,42.02,4.731,0.34,105772,0,7000
306.75,44.709,10.451,0.332,105772,0,7000
307.0,46.67,6.742,0.323,105772,0,7000
307.25,47.409,4.381,0.309,105772,0,7000
307.5,47.176,3.507,0.289,105772,0,7000
307.75,47.185,3.083,0.278,105772,0,7000
308.0,50.184,2.528,0.272,105772,0,7000
308.25,52.201,2.292,0.269,105772,0,7000
308.5,62.264,2.081,0.279,105772,0,7000
308.75,68.672,2.327,0.291,105772,0,7000
309.0,72.032,2.851,0.304,105772,0,7000
309.25,74.479,3.163,0.291,105772,0,7000
309.5,77.535,3.434,0.276,105772,0,7000
309.75,80.714,3.639,0.265,105772,0,7000
310.0,82.856,3.738,0.263,105772,0,7000
310.25,84.084,3.756,0.27,105772,0,7000
310.5,73.187,3.749,0.285,105772,0,7000
310.75,64.667,3.709,0.289,105772,0,7000
311.0,56.208,3.669,0.259,105772,0,7000
311.25,59.021,3.67,0.238,105772,0,7000
311.5,62.504,3.687,0.227,105772,0,7000
311.75,66.352,3.68,0.223,105772,0,7000
312.0,69.164,3.649,0.239,105772,0,7000
312.25,64.545,3.535,0.259,105772,0,7000
312.5,61.203,3.365,0.271,105772,0,7000
312.75,59.019,3.325,0.239,105772,0,7000
313.0,70.424,3.473,0.228,105772,0,7000
313.25,77.622,3.605,0.205,105772,0,7000
313.5,85.491,3.884,0.199,105772,0,7000
313.75,97.077,4.04,0.223,105772,0,7000
314.0,105.495,4.278,0.203,105772,0,7000
314.25,109.952,4.402,0.193,105772,0,7000
314.5,110.146,4.509,0.172,105772,0,7000
314.75,107.536,4.461,0.158,105772,0,7000
315.0,106.448,4.406,0.174,105772,0,7000
315.25,105.361,4.374,0.184,105772,0,7000
315.5,105.98,4.276,0.185,105772,0,7000
315.75,107.33,4.13,0.191,105772,0,7000
316.0,109.29,4.009,0.191,105772,0,7000
316.25,111.493,3.863,0.22,105772,0,7000
316.5,114.917,3.611,0.232,105772,0,7000
316.75,117.119,3.358,0.232,105772,0,7000
317.0,120.908,3.163,0.227,105772,0,7000
317.25,122.073,3.066,0.245,105772,0,7000
317.5,123.057,3.034,0.257,105772,0,7000
317.75,120.326,3.264,0.264,105772,0,7000
318.0,116.071,3.666,0.259,105772,0,7000
318.25,110.475,4.108,0.26,105772,0,7000
318.5,105.306,4.682,0.249,105772,0,7000
318.75,102.575,5.083,0.24,105772,0,7000
319.0,99.721,5.411,0.234,105772,0,7000
319.25,95.892,5.592,0.221,105772,0,7000
319.5,91.759,5.781,0.208,105772,0,7000
319.75,92.255,5.864,0.204,105772,0,7000
320.0,102.257,5.84,0.203,105772,0,7000
320.25,110.858,5.621,0.204,105772,0,7000
320.5,118.423,5.311,0.202,105772,0,7000
320.75,122.395,4.993,0.199,105772,0,7000
321.0,121.185,4.562,0.199,105772,0,7000
321.25,113.457,4.366,0.208,105772,0,7000
321.5,111.333,4.212,0.206,105772,0,7000
321.75,111.77,4.009,0.212,105772,0,7000
322.0,109.952,3.952,0.226,105772,0,7000
322.25,103.443,3.937,0.239,105772,0,7000
322.5,99.188,4.102,0.249,105772,0,7000
322.75,102.122,4.34,0.251,105772,0,7000
323.0,102.741,4.545,0.246,105772,0,7000
323.25,99.278,4.628,0.251,105772,0,7000
323.5,93.683,4.449,0.245,105772,0,7000
323.75,83.456,4.418,0.241,105772,0,7000
324.0,76.398,4.541,0.241,105772,0,7000
324.25,85.181,4.747,0.25,105772,0,7000
324.5,91.955,5.001,0.254,105772,0,7000
324.75,95.742,5.345,0.259,105772,0,7000
325.0,96.422,5.616,0.255,105772,0,7000
325.25,97.65,5.887,0.254,105772,0,7000
325.5,102.047,6.043,0.243,105772,0,7000
325.75,105.712,6.167,0.229,105772,0,7000
326.0,106.82,6.209,0.217,105772,0,7000
326.25,105.183,6.096,0.207,105772,0,7000
326.5,101.842,5.892,0.199,105772,0,7000
326.75,104.17,5.754,0.212,105772,0,7000
327.0,108.199,5.617,0.207,105772,0,7000
327.25,113.265,5.568,0.209,105772,0,7000
327.5,117.053,5.512,0.218,105772,0,7000
327.75,119.744,5.472,0.25,105772,0,7000
328.0,114.271,5.482,0.261,105772,0,7000
328.25,110.441,5.581,0.248,105772,0,7000
328.5,105.759,5.696,0.226,105772,0,7000
328.75,106.44,5.886,0.209,105772,0,7000
329.0,110.532,6.165,0.183,105772,0,7000
329.25,113.405,6.288,0.165,105772,0,7000
329.5,115.365,6.232,0.162,105772,0,7000
329.75,116.471,5.98,0.159,105772,0,7000
330.0,117.699,5.629,0.158,105772,0,7000
330.25,118.197,5.238,0.157,105772,0,7000
330.5,116.685,4.863,0.157,105772,0,7000
330.75,115.11,4.505,0.176,105772,0,7000
331.0,113.719,4.228,0.185,105772,0,7000
331.25,113.606,4.073,0.201,105772,0,7000
331.5,113.92,3.935,0.217,105772,0,7000
331.75,113.32,3.814,0.225,105772,0,7000
332.0,108.212,3.782,0.234,105772,0,7000
332.25,101.398,3.734,0.241,105772,0,7000
332.5,91.172,3.678,0.242,105772,0,7000
332.75,90.146,3.695,0.246,105772,0,7000
333.0,94.909,3.762,0.25,105772,0,7000
333.25,98.208,3.853,0.256,105772,0,7000
333.5,99.804,4.181,0.254,105772,0,7000
333.75,100.057,4.264,0.248,105772,0,7000
334.0,99.335,4.42,0.251,105772,0,7000
334.25,98.37,4.585,0.255,105772,0,7000
334.5,96.735,4.725,0.245,105772,0,7000
334.75,94.611,4.701,0.239,105772,0,7000
335.0,89.808,4.629,0.235,105772,0,7000
335.25,86.163,4.556,0.236,105772,0,7000
335.5,84.162,4.492,0.244,105772,0,7000
335.75,83.501,4.444,0.234,105772,0,7000
336.0,86.376,4.445,0.23,105772,0,7000
